Materials,ITEM,BRAND,CODE,SUPPLIER,QUANTITY,PRICE LIST,TOTAL ITEM (USD) LIST,PRICEu. (USD) WK,TOTAL ITEM (USD) WK,PRICE U. (USD) CLIEN,TOTAL ITEM (USD) CLIENT,DELIVERY TERM,,IVA
,1,WK,WK60-ED105,SCHNEIDER,2,USD 250.00,USD 500.00,USD 175.00,USD 350.00,USD 217.00,USD 434.00,Inmediata salvo venta,Immediate except for sale,"10,5"
,2,WK,WK60-3R301,SCHNEIDER,2,USD 390.00,USD 780.00,USD 234.00,USD 468.00,USD 290.16,USD 580.32,30/45 días aprox.,30/45 days approx.,21
,3,WK,WK60-3RW24,SCHNEIDER,2,USD 596.00,"USD 1,192.00",USD 357.60,USD 715.20,USD 443.42,USD 886.85,Inmediata salvo venta,Immediate except for sale,"10,5"
,4,WK,WK60-2AB17,SCHNEIDER,1,USD 570.00,USD 570.00,USD 342.00,USD 342.00,USD 424.08,USD 424.08,60 días aprox.,60 days approx.,"10,5"
,5,WK,WK60-5BB17,SCHNEIDER,1,USD 259.00,USD 259.00,USD 155.40,USD 155.40,USD 192.70,USD 192.70,Inmediata salvo venta,Immediate except for sale,21
,6,WK,WK60-K1571,SCHNEIDER,1,USD 800.00,USD 800.00,USD 476.00,USD 476.00,USD 580.72,USD 580.72,30/45 días aprox.,30/45 days approx.,21
,7,WK,WK60-S3255,SCHNEIDER,2,USD 140.00,USD 280.00,USD 84.00,USD 168.00,USD 104.16,USD 208.32,Apróx. 27/10/2017,APROX. 10/27/2017,21
,8,WK,WK60-SL359,SCHNEIDER,2,USD 246.00,USD 492.00,USD 147.60,USD 295.20,USD 183.02,USD 366.05,Apróx. 04/12/2017,APROX. 12/04/2017,21
,9,WK,WK60-AV210,SCHNEIDER,1,"USD 6,950.00","USD 6,950.00","USD 4,378.50","USD 4,378.50","USD 5,429.34","USD 5,429.34",45 días aprox.,45 days approx.,21
,10,WK,WK60-AV214,SCHNEIDER,1,"USD 7,750.00","USD 7,750.00","USD 4,882.50","USD 4,882.50","USD 6,054.30","USD 6,054.30",45 días aprox.,45 days approx.,21
,11,WK,WK60-AV255,SCHNEIDER,1,"USD 3,150.00","USD 3,150.00","USD 1,984.50","USD 1,984.50","USD 2,460.78","USD 2,460.78",45 días aprox.,45 days approx.,21
,12,WK,WK50-ED105,RITTAL,1,USD 260.00,USD 260.00,USD 182.00,USD 182.00,USD 225.68,USD 225.68,1 semana apróx.,1 week approx.,"10,5"
,13,WK,WK50-6ED10,RITTAL,1,USD 240.00,USD 240.00,USD 168.00,USD 168.00,USD 208.32,USD 208.32,Apróx. primeros días de enero 2018,APROX. First days of January 2018,"10,5"
,14,WK,WK50-6ED10,RITTAL,1,USD 240.00,USD 240.00,USD 168.00,USD 168.00,USD 208.32,USD 208.32,Apróx. primeros días de enero 2018,APROX. First days of January 2018,"10,5"
,15,WK,WK50-6ED11,RITTAL,1,USD 220.00,USD 220.00,USD 154.00,USD 154.00,USD 190.96,USD 190.96,1 semana apróx.,1 week approx.,"10,5"
,16,WK,WK50-6ED12,RITTAL,1,USD 250.00,USD 250.00,USD 175.00,USD 175.00,USD 217.00,USD 217.00,1 semana apróx.,1 week approx.,"10,5"
,17,WK,WK50-1746NI4,RITTAL,1,USD 230.00,USD 230.00,USD 161.00,USD 161.00,USD 199.64,USD 199.64,Apróx. primeros días de enero 2018,APROX. First days of January 2018,"10,5"
,18,WK,WK50-1746NI5,RITTAL,1,USD 200.00,USD 200.00,USD 140.00,USD 140.00,USD 173.60,USD 173.60,Apróx. primeros días de enero 2018,APROX. First days of January 2018,"10,5"
,19,WK,WK50-1746NI6,RITTAL,1,USD 0.00,USD 0.00,"USD 1,467.89","USD 1,467.89","USD 1,908.26","USD 1,908.26",10 días apróx.,10 days approx.,21
,20,WK,WK40-8BA0,SIEMENS,6,USD 509.00,"USD 3,054.00",USD 305.40,"USD 1,832.40",USD 378.70,"USD 2,272.18",23.03.2018,23.03.2018,21
,21,WK,WK40-8BA1,SIEMENS,6,,USD 0.00,USD 0.00,USD 0.00,USD 0.00,USD 0.00,,#VALUE!,21
,22,WK,WK40-8BA2,SIEMENS,2,"USD 1,670.00","USD 3,340.00","USD 1,002.00","USD 2,004.00","USD 1,242.48","USD 2,484.96",Inmediata,Immediate,21
,23,WK,WK40-8BA3,SIEMENS,2,"USD 2,169.00","USD 4,338.00","USD 1,301.40","USD 2,602.80","USD 1,613.74","USD 3,227.47",30.01.2018,30.01.2018,21
,24,WK,WK40-8BA4,SIEMENS,2,"USD 2,943.00","USD 5,886.00","USD 1,765.80","USD 3,531.60","USD 2,189.59","USD 4,379.18",Inmediata,Immediate,21
,25,WK,WK40-8BA5,SIEMENS,2,"USD 15,855.00","USD 31,710.00","USD 9,513.00","USD 19,026.00","USD 11,796.12","USD 23,592.24",Inmediata,Immediate,21
,26,WK,WK30-6SL324,ROCKWELL,8,USD 422.00,"USD 3,376.00",USD 253.20,"USD 2,025.60",USD 313.97,"USD 2,511.74",Inmediata,Immediate,21
,27,WK,WK30-6SL325,ROCKWELL,8,USD 140.00,"USD 1,120.00",USD 84.00,USD 672.00,USD 104.16,USD 833.28,Inmediata,Immediate,21
,28,WK,WK30-6SL326,ROCKWELL,1,USD 280.00,USD 280.00,USD 168.00,USD 168.00,USD 208.32,USD 208.32,Inmediata,Immediate,21
,29,WK,WK105-EDB00(323861),DELTA,1,USD 240.00,USD 240.00,USD 144.00,USD 144.00,USD 178.56,USD 178.56,Inmediata,Immediate,21
,30,WK,WK105-EF105(323862),DELTA,1,USD 250.00,USD 250.00,USD 150.00,USD 150.00,USD 186.00,USD 186.00,Inmediata,Immediate,21
,31,WK,WK105-EF154(323881),DELTA,1,USD 190.00,USD 190.00,USD 114.00,USD 114.00,USD 141.36,USD 141.36,Inmediata,Immediate,21
,32,WK,WK105-EF175(323886),DELTA,1,USD 190.00,USD 190.00,USD 114.00,USD 114.00,USD 141.36,USD 141.36,Inmediata,Immediate,21
,33,WK,WK105-EF159(323883),DELTA,1,USD 190.00,USD 190.00,USD 114.00,USD 114.00,USD 141.36,USD 141.36,Inmediata,Immediate,21
,34,WK,WK30-1350500,ROCKWELL,18,USD 175.74,"USD 3,163.39",USD 117.75,"USD 2,119.47",USD 138.94,"USD 2,500.98",45 días aprox.,45 days approx.,21
,35,WK,WK30-1376500,ROCKWELL,15,USD 262.45,"USD 3,936.77",USD 175.84,"USD 2,637.63",USD 207.49,"USD 3,112.41",45 días aprox.,45 days approx.,21
,36,WK,WK70-61HG40,SIEMENS,1,"USD 1,048.00","USD 1,048.00",USD 733.60,USD 733.60,USD 894.99,USD 894.99,13.03.2017 apróx.,13.03.2017 APROX.,"10,5"
,37,WK,WK70-61HG41,SIEMENS,1,"USD 1,150.00","USD 1,150.00",USD 805.00,USD 805.00,USD 982.10,USD 982.10,Inmediata,Immediate,21
,38,WK,WK70-61HG42,SIEMENS,1,USD 0.00,USD 0.00,"USD 1,467.89","USD 1,467.89","USD 1,908.26","USD 1,908.26",10 días apróx.,10 days approx.,21
,39,WK,WK90-32023,SCHNEIDER,6,USD 509.00,"USD 3,054.00",USD 305.40,"USD 1,832.40",USD 378.70,"USD 2,272.18",23.03.2018,23.03.2018,21
,40,WK,WK90-32024,SCHNEIDER,6,,USD 0.00,USD 0.00,USD 0.00,USD 0.00,USD 0.00,,#VALUE!,21
,41,WK,WK90-32100,SCHNEIDER,2,"USD 1,670.00","USD 3,340.00","USD 1,002.00","USD 2,004.00","USD 1,242.48","USD 2,484.96",Inmediata,Immediate,21
,42,WK,WK90-32101,SCHNEIDER,2,"USD 2,169.00","USD 4,338.00","USD 1,301.40","USD 2,602.80","USD 1,613.74","USD 3,227.47",30.01.2018,30.01.2018,21
,43,WK,WK90-32102,SCHNEIDER,2,"USD 2,943.00","USD 5,886.00","USD 1,765.80","USD 3,531.60","USD 2,189.59","USD 4,379.18",Inmediata,Immediate,21
,44,WK,WK60-52101,SCHNEIDER,2,"USD 15,855.00","USD 31,710.00","USD 9,513.00","USD 19,026.00","USD 11,796.12","USD 23,592.24",Inmediata,Immediate,21
,45,WK,WK88-62442,ABB,8,USD 422.00,"USD 3,376.00",USD 253.20,"USD 2,025.60",USD 313.97,"USD 2,511.74",Inmediata,Immediate,21
,46,WK,WK88-62443,ABB,8,USD 140.00,"USD 1,120.00",USD 84.00,USD 672.00,USD 104.16,USD 833.28,Inmediata,Immediate,21
,47,WK,WK88-62444,ABB,2,USD 250.00,USD 500.00,USD 175.00,USD 350.00,USD 217.00,USD 434.00,Inmediata salvo venta,Immediate except for sale,"10,5"
,48,WK,WK88-62445,ABB,2,USD 390.00,USD 780.00,USD 234.00,USD 468.00,USD 290.16,USD 580.32,30/45 días aprox.,30/45 days approx.,21
,49,WK,WK88-62446,ABB,2,USD 596.00,"USD 1,192.00",USD 357.60,USD 715.20,USD 443.42,USD 886.85,Inmediata salvo venta,Immediate except for sale,
,50,WK,WK88-62447,ABB,1,USD 570.00,USD 570.00,USD 342.00,USD 342.00,USD 424.08,USD 424.08,60 días aprox.,60 days approx.,
,51,WK,WK88-62448,ABB,1,USD 259.00,USD 259.00,USD 155.40,USD 155.40,USD 192.70,USD 192.70,Inmediata salvo venta,Immediate except for sale,21
,52,WK,WK20-GK1570,FALCO,1,USD 800.00,USD 800.00,USD 476.00,USD 476.00,USD 580.72,USD 580.72,30/45 días aprox.,30/45 days approx.,21
,53,WK,WK10-32552,ABB,2,USD 140.00,USD 280.00,USD 84.00,USD 168.00,USD 104.16,USD 208.32,Apróx. 27/10/2017,APROX. 10/27/2017,21
,54,WK,WK10-32553,ABB,2,USD 246.00,USD 492.00,USD 147.60,USD 295.20,USD 183.02,USD 366.05,Apróx. 04/12/2017,APROX. 12/04/2017,21
,,,,,,,,,,,,,,
,,Descuento,,,,,,,,,,,,
,,Final,,,,,,,"USD 91,757.39",,"USD 113,620.07",,,
