Cost Code,Concept,Group,Stage,Quantity,Unit,Unit Cost,Total,Markup %,Price w Markup
01110,LP - Concrete paving and sidewalk,1,15,Lot,1,$0.00,$0.00,15,$0.00
01120,LP - Head wall,1,2,Lot,1,$0.00,$0.00,15,$0.00
01150,LP - Culvert Installation ,1,2,Lot,1,"$2,500.00","$2,500.00",15,"$2,875.00"
01200,LP - Lot clearing - Cut trees,1,1,Lot,1,$0.00,$0.00,15,$0.00
01210,LP - Lot clearing - Debris Haul off,1,1,Lot,1,$0.00,$0.00,15,$0.00
01220,LP - Lot clearing - Slab demolition,1,1,Lot,1,$0.00,$0.00,15,$0.00
01230,LP - Fill dirt,1,2,Lot,1,$0.00,$0.00,15,$0.00
02000,Survey - Lot survey ,2,4,Lot,1,$0.00,$0.00,0,$0.00
02100,Survey - Lot staking-pins,2,4,Lot,1,$150.00,$150.00,0,$150.00
02110,Survey - Form staking-pins (Envelope),2,4,Lot,1,$300.00,$300.00,0,$300.00
02120,Survey - Form Survey,2,4,Lot,1,$350.00,$350.00,0,$350.00
03000,P - Site work - Sewer Tap,3,3,Lot,1,$0.00,$0.00,15,$0.00
03010,P - Site work - Water Tap,3,3,Lot,1,$0.00,$0.00,15,$0.00
03020,P - Site work - Storm Water,3,3,Lot,1,$0.00,$0.00,15,$0.00
03100,P - Plumbing - Underground,3,3,Lot,1,"$3,400.00","$3,400.00",15,"$3,910.00"
03110,P - Plumbing - Rough,3,9,Lot,1,"$3,400.00","$3,400.00",15,"$3,910.00"
03120,P - Plumbing - Trim,3,12,Lot,1,"$1,700.00","$1,700.00",15,"$1,955.00"
03200,P - Fixtures - Bathroom Sink Faucet ,3,15,Lot,1,$790.80,$790.80,15,$909.42
03210,P - Fixtures - Shower trim,3,15,Lot,1,$106.38,$106.38,15,$122.34
03220,P - Fixtures - Tub/shower trim,3,15,Lot,1,$150.13,$150.13,15,$172.65
03230,P - Fixtures - standing tub faucet,3,15,Lot,1,$97.81,$97.81,15,$112.48
03240,P - Fixtures - tub spout,3,15,Lot,1,$89.96,$89.96,15,$103.45
03250,P - Fixtures - kitchen faucet,3,15,Lot,1,$339.90,$339.90,15,$390.89
03260,P - Fixtures - freestanding tub,3,15,Lot,1,"$1,048.94","$1,048.94",15,"$1,206.28"
03270,P - Fixtures - toilet,3,15,Lot,1,$0.00,$0.00,15,$0.00
03280,P - Fixtures - shower drain,3,15,Lot,1,$67.75,$67.75,15,$77.91
03290,P - Fixtures - tub drain ,3,15,Lot,1,$29.22,$29.22,15,$33.60
03300,P - Fixtures - disposal,3,15,Lot,1,$105.31,$105.31,15,$121.11
03310,P - Fixtures - Disposal pneumatic button,3,15,Lot,1,$48.49,$48.49,15,$55.76
03320,P - Fixtures - Sink Pedestal,3,15,Lot,1,$132.72,$132.72,15,$152.63
03330,P - Fixtures - Pedestal,3,15,Lot,1,$122.72,$122.72,15,$141.13
03400,P - Hardware - Towel handler small,3,15,Lot,1,$145.28,$145.28,15,$167.07
03410,P - Hardware - Towel handler large,3,15,Lot,1,$85.38,$85.38,15,$98.19
03420,P - Hardware - Toilet paper holder,3,15,Lot,1,$117.24,$117.24,15,$134.83
03430,P - Hardware - hook,3,15,Lot,1,$48.40,$48.40,15,$55.66
04000,Slab - Foundation (turn key),4,5,Lot,1,"$14,952.00","$14,952.00",15,"$17,194.80"
04100,Driveway - Exterior Driveway (ROW),4,15,Lot,1,"$1,440.00","$1,440.00",15,"$1,656.00"
04110,Driveway - Interior Driveway,4,15,Lot,1,"$1,620.00","$1,620.00",15,"$1,863.00"
04200,Walkway - Exterior Walkway (ROW),4,15,Lot,1,$0.00,$0.00,15,$0.00
04210,Walkway - Interior Walkway-Flat work,4,15,Lot,1,$696.00,$696.00,15,$800.40
04300,Stamped Concrete,4,15,Lot,1,$0.00,$0.00,15,$0.00
04310,Head wall,4,5,Lot,1,$600.00,$600.00,15,$690.00
04320,Street cuts,4,5,Lot,1,$250.00,$250.00,15,$287.50
04400,Post - Tensioned wires inspection,4,6,Lot,1,$180.00,$180.00,15,$207.00
05000,Frame 1 - Wood frame pack 1 ,5,6,Lot,1,"$3,526.22","$3,526.22",15,"$4,055.15"
05010,Frame 1 - Trusses 1,5,6,Lot,1,"$7,524.46","$7,524.46",15,"$8,653.13"
05020,Frame 1 - Beams 1,5,6,Lot,1,"$1,613.35","$1,613.35",15,"$1,855.35"
05030,Frame 1 - Labor,5,6,Lot,1,"$3,888.00","$3,888.00",15,"$4,471.20"
