Item,Cost Per Item,Percent Markup,Total Sold,"Total 
Revenue",Shipping Charge/Item,Shipping Cost/Item,Profit per Item (incl. shipping),Returns,"Total 
Income"
Vans Classic Slip-On Shoes Checkerboard Flame Red Blood Drip Mens 9.5 Wmn’s 11,$10.00,360.00%,1,$36.00,$12.55,$12.55,$36.00,0,$36.00
Barbie Swan Lake Figurine - 2003 Hallmark - Music and Motion 8”  - Works!,$4.99,901.00%,1,$49.95,$11.45,$7.20,$49.21,0,$49.21
Stanley Mistletoe Twist Quencher Flowstate Tumbler CONFIRMED LIMITED EDITION,$44.99,100.00%,2,$179.96,$0.00,$10.78,$34.21,0,$68.42
Funko Pop! Baby #226 FNAF Five Nights at Freddy's Sister Location,$2.99,1237.00%,1,$39.98,$6.65,$5.33,$38.31,0,$38.31
YUKON CHARLIE'S,$9.99,130.00%,1,$22.98,$33.35,$28.23,$18.11,0,$18.11
2019 Hess Tow Truck ,$1.00,3400.00%,1,$35.00,$9.55,$7.15,$36.40,0,$36.40
2020 HESS Toy Truck,$1.00,3900.00%,1,$40.00,$9.00,$6.94,$41.06,0,$41.06
Madden 2005,$3.99,88.00%,1,$7.50,$5.55,$4.09,$4.97,0,$4.97
PS2 Guitar Hero,$4.49,479.00%,1,$26.00,$15.45,$11.20,$25.76,0,$25.76
Vintage FURBY,$6.99,400.00%,1,$34.95,$7.49,$5.49,$29.96,0,$29.96
Hess 2019 Toy Truck,$1.00,3399.00%,1,$34.99,$11.80,$9.17,$36.62,0,$36.62
2021 Hess Truck,$1.00,2900.00%,1,$30.00,$10.25,$7.35,$31.90,0,$31.90
Donald Duck Hat,$0.99,900.00%,1,$9.90,$5.50,$4.06,$10.35,0,$10.35
Tetris DS,$2.99,568.00%,1,$19.97,$5.60,$4.15,$18.43,0,$18.43
Danganronpa 2,$3.99,88.00%,1,$7.50,$5.70,$4.24,$4.97,0,$4.97
1997 Barbie Doll Ken,$1.00,899.00%,1,$9.99,$6.45,$5.04,$10.40,0,$10.40
Hess 2015 Fire Truck,$1.00,2900.00%,1,$30.00,$10.25,$7.35,$31.90,0,$31.90
2017 American Girl,$3.99,326.00%,1,$17.00,$11.00,$7.85,$16.16,0,$16.16
Rare Jakks Pacific,$1.00,649.00%,1,$7.49,$6.35,$4.81,$8.03,0,$8.03
The Voice Wii,$2.99,234.00%,1,$9.99,$5.60,$4.15,$8.45,0,$8.45
Mischief Managed,$1.99,402.00%,1,$9.99,$5.60,$4.15,$9.45,0,$9.45
Patagonia Synchilla Jacket,$4.99,300.00%,1,$19.96,$6.35,$4.81,$16.51,0,$16.51
LL Bean Womens ,$4.99,321.00%,1,$21.01,$5.65,$4.20,$17.47,0,$17.47
Nintendo Wii Family Party,$2.99,67.00%,1,$4.99,$5.55,$4.09,$3.46,0,$3.46
Cuphead Cala Maria,$4.99,534.00%,1,$31.64,$6.35,$3.75,$29.25,0,$29.25
Vintage Mattel Barbie,$1.00,899.00%,1,$9.99,$6.55,$5.17,$10.37,0,$10.37
Callaway Big Bertha 5 Divider Golf Bag,$4.99,1002.00%,1,$54.99,$53.05,$43.53,$59.52,0,$59.52
New Fingerlings Interactive White Baby Monkey Toy ,$1.99,402.00%,1,$9.99,$6.35,$4.81,$9.54,0,$9.54
Hess 2011 Toy Truck ,$1.00,1649.00%,1,$17.49,$10.25,$7.35,$19.39,0,$19.39
Funko Pop Justice League DC,$9.99,150.00%,1,$24.98,$8.00,$6.07,$16.92,0,$16.92
MLB 04 - PS2,$2.99,134.00%,1,$7.00,$5.65,$4.20,$5.46,0,$5.46
2022 Hess Holiday Truck,$1.00,3900.00%,1,$40.00,$7.95,$7.95,$39.00,0,$39.00
2019 Mini Hess Trucks,$1.00,2399.00%,1,$24.99,$7.75,$7.75,$23.99,0,$23.99
2021 Hess Toy Truck,$1.00,3849.00%,1,$39.49,$8.22,$8.22,$38.49,0,$38.49
