Day of the week,Date,Cash,Debit,Visa Card,Mastercard Card,Maestro Card,American Express Card,Cabal Card,PEDIDOS YA - food app (online payments),Transfer, TOTAL BILLING
Wednesday,1/9/2021," $  13.740,00 "," $  8.790,00 ", $  -   , $  -   ," $  4.530,00 "," $  2.350,00 "," $  3.550,00 ", $  -   , $  -   ," $  32.960,00 "
Thursday,2/9/2021," $  28.235,00 "," $  4.670,00 ", $  -   , $  -   ," $  1.350,00 ", $  -   ," $  5.540,00 ", $  -   , $  -   ," $  39.795,00 "
Friday,3/9/2021," $  52.890,00 "," $  17.150,00 ", $  -   , $  -   ," $  1.230,00 ", $  -   , $  -   , $  -   ," $  3.300,00 "," $  74.570,00 "
Saturday,4/9/2021," $  40.065,00 "," $  39.300,00 ", $  -   , $  -   ," $  3.660,00 ", $  -   ," $  7.350,00 ", $  -   ," $  3.750,00 "," $  94.125,00 "
Sunday,5/9/2021," $  29.600,00 "," $  11.830,00 ", $  -   , $  -   ," $  5.000,00 ", $  -   , $  -   , $  -   ," $  3.925,00 "," $  50.355,00 "
Monday,6/9/2021," $  24.925,00 "," $  8.650,00 "," $  2.950,00 ", $  -   , $  -   , $  -   , $  -   , $  -   ," $  9.650,00 "," $  46.175,00 "
Tuesday,7/9/2021, $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   
Wednesday,8/9/2021," $  24.730,00 "," $  18.000,00 ", $  -   , $  -   , $  -   , $  -   , $  -   , $  -   ," $  2.450,00 "," $  45.180,00 "
Thursday,9/9/2021," $  25.490,00 "," $  19.350,00 ", $  -   , $  -   ," $  1.350,00 ", $  -   , $  -   ," $  4.000,00 "," $  1.500,00 "," $  51.690,00 "
Friday,10/9/2021," $  71.267,00 "," $  30.808,00 ", $  -   , $  -   ," $  5.020,00 ", $  -   , $  -   ," $  3.300,00 "," $  6.650,00 "," $  117.045,00 "
Saturday,11/9/2021," $  41.430,00 "," $  7.470,00 "," $  5.950,00 ", $  -   ," $  10.300,00 ", $  -   , $  -   ," $  975,00 "," $  2.430,00 "," $  68.555,00 "
Sunday,12/9/2021," $  31.915,00 "," $  5.100,00 ", $  -   , $  -   , $  -   , $  -   , $  -   ," $  10.150,00 "," $  1.850,00 "," $  49.015,00 "
Monday,13/9/2021," $  34.395,00 "," $  9.390,00 "," $  3.000,00 ", $  -   ," $  2.950,00 ", $  -   , $  -   ," $  7.150,00 ", $  -   ," $  56.885,00 "
Tuesday,14/9/2021, $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   , $  -   
Wednesday,15/9/2021," $  34.250,00 "," $  13.250,00 ", $  -   , $  -   ," $  6.425,00 ", $  -   , $  -   ," $  2.775,00 "," $  3.800,00 "," $  60.500,00 "
Thursday,16/9/2021," $  32.575,00 "," $  8.625,00 "," $  6.700,00 ", $  -   ," $  3.750,00 ", $  -   ," $  7.750,00 "," $  5.000,00 "," $  1.500,00 "," $  65.900,00 "
Friday,17/9/2021," $  65.805,00 "," $  47.025,00 "," $  6.050,00 ", $  -   ," $  40.650,00 ", $  -   , $  -   ," $  2.200,00 "," $  2.750,00 "," $  164.480,00 "
Saturday,18/9/2021," $  175.375,00 "," $  56.025,00 "," $  1.600,00 ", $  -   ," $  11.875,00 "," $  4.150,00 ", $  -   ," $  3.750,00 "," $  3.800,00 "," $  256.575,00 "
Sunday,19/9/2021," $  42.555,00 "," $  9.750,00 "," $  11.850,00 "," $  3.900,00 ", $  -   , $  -   , $  -   ," $  4.050,00 "," $  5.050,00 "," $  77.155,00 "
Monday,20/9/2021," $  43.450,00 "," $  24.350,00 "," $  3.850,00 "," $  2.200,00 "," $  11.600,00 "," $  3.500,00 ", $  -   ," $  4.150,00 ", $  -   ," $  93.100,00 "
