Processes_Time,RunQueue,Swap-in,pswitch,syscall,read,write,fork,exec,sem,msg,asleep_bufio,asleep_rawio,asleep_diocio
0:01:07,"2,4",0,16870,215582,4729,1247,6,4,0,0,0,0,0
0:01:37,"2,37","0,03",10946,118160,2098,1911,1,1,0,0,0,0,0
0:02:07,"2,3","0,07",53955,160595,15263,3919,6,7,0,0,0,0,1
0:02:37,"2,4",0,27292,306624,8289,187,1,1,0,0,0,0,0
0:03:07,"4,1",0,18449,156200,4684,2280,1,1,0,0,0,0,0
0:03:37,"2,67",0,22727,237775,6859,960,1,1,0,0,0,0,1
0:04:07,"3,3",0,114116,203633,35903,496,6,7,0,0,0,0,125
0:04:37,"2,73",0,62574,219309,20042,94,1,1,0,0,0,0,1
0:05:07,"1,97",0,20271,378249,6196,114,7,7,0,0,0,0,0
0:05:37,"4,03",0,30709,288906,9872,54,1,1,0,0,0,0,9
0:06:07,"2,33",0,17704,313176,4988,362,6,7,0,0,0,0,1
0:06:37,"2,9",0,32139,348500,9740,212,1,1,0,0,0,0,1
0:07:07,"2,57",0,51596,321787,16149,87,1,1,0,0,0,0,16
0:07:37,"3,13",0,71986,264933,23010,178,1,1,0,0,0,0,0
0:08:07,"1,9",0,17342,247147,4814,583,6,7,0,0,0,0,2
0:08:37,"2,9",0,22634,295203,6418,285,1,1,0,0,0,0,1
0:09:07,"3,4",0,73155,200382,23379,561,1,1,0,0,0,0,26
0:09:37,"4,5",0,106648,182063,34224,93,1,1,0,0,0,0,14
0:10:07,"1,97",0,23511,272925,7627,129,12,12,0,0,0,0,1
0:10:37,"3,5",0,36201,220755,12027,79,1,1,0,0,0,0,1
0:11:07,"2,87",0,18824,258056,5242,222,1,1,0,0,0,0,0
0:11:37,"4,13",0,136320,245010,44846,443,1,1,0,0,0,0,115
0:12:07,"2,97",0,166770,103247,54157,104,6,7,0,0,0,0,0
0:12:37,"1,2",0,1098,29908,407,111,1,1,0,0,0,0,0
0:13:07,"2,8",0,926,27894,454,78,1,1,0,0,0,0,0
0:13:37,"1,73",0,919,26372,480,78,1,1,0,0,0,0,0
0:14:07,"3,3",0,956,32243,784,93,8,9,0,0,0,0,0
0:14:37,"1,37",0,954,26389,459,95,1,1,0,0,0,0,0
0:15:07,"1,53",0,1017,33612,834,122,11,10,0,0,0,0,0
0:15:37,"1,1",0,908,26089,493,107,1,1,0,0,0,0,0
0:16:07,"1,17",0,946,31704,756,90,6,7,0,0,0,0,0
0:16:37,"1,17",0,931,26933,454,78,1,1,0,0,0,0,0
0:17:07,"0,2",0,919,27981,654,107,1,1,0,0,0,0,0
0:17:37,"4,1",0,910,26705,640,104,1,1,0,0,0,0,0
0:18:07,"1,17",0,929,30203,840,141,6,7,0,0,0,0,0
0:18:37,"2,27",0,918,25749,662,104,1,1,0,0,0,0,0
0:19:07,"3,93",0,918,27102,601,103,1,1,0,0,0,0,0
0:19:37,"4,3",0,902,25594,651,129,1,1,0,0,0,0,0
0:20:07,"2,17",0,991,34947,1122,151,12,12,0,0,0,0,0
0:20:37,"0,4",0,918,25631,612,129,1,1,0,0,0,0,0
0:21:07,"1,4",0,904,26067,665,104,1,1,0,0,0,0,0
0:21:37,"0,93",0,909,25898,590,129,1,1,0,0,0,0,0
0:22:07,"0,53",0,948,31086,917,115,6,7,0,0,0,0,0
0:22:37,"1,13",0,929,25612,596,103,1,1,0,0,0,0,0
0:23:08,"1,37",0,1375,95346,1468,7032,40,24,0,0,0,0,0
0:23:38,"1,2",0,894,25674,632,103,1,1,0,0,0,0,0
0:24:08,"1,2",0,972,30733,863,160,6,7,0,0,0,0,0
0:24:38,"1,27",0,917,26249,675,104,1,1,0,0,0,0,0
0:25:08,"1,33",0,967,31284,833,165,7,7,0,0,0,0,0
0:25:38,"1,43",0,919,25700,684,103,1,1,0,0,0,0,0
0:26:08,"1,43",0,950,31458,830,115,6,7,0,0,0,0,0
0:26:38,"1,2",0,911,25420,651,129,1,1,0,0,0,0,0
0:27:08,"1,2",0,895,26412,627,103,1,1,0,0,0,0,0
0:27:38,"1,8",0,902,25451,626,129,1,1,0,0,0,0,0
0:28:08,"1,37",0,985,66147,909,118,7,8,0,0,0,0,0
0:28:38,"1,23",0,932,25623,608,130,1,1,0,0,0,0,0
0:29:08,"1,13",0,935,27302,690,122,3,3,0,0,0,0,0
0:29:38,"1,97",0,887,25979,589,129,1,1,0,0,0,0,0
0:30:08,"1,3",0,1011,36384,1290,161,15,16,0,0,0,0,0
0:30:38,"1,53",0,921,26304,598,129,1,1,0,0,0,0,0
0:31:08,"1,27",0,904,26925,662,103,1,1,0,0,0,0,0
0:31:38,"1,17",0,914,26435,619,103,1,1,0,0,0,0,0
0:32:08,"1,33",0,965,31118,922,141,6,7,0,0,0,0,0
0:32:38,"1,77",0,913,25773,611,104,1,1,0,0,0,0,0
0:33:08,"2,5",0,926,26802,664,129,1,1,0,0,0,0,0
0:33:38,"3,53",0,920,26395,615,104,1,1,0,0,0,0,0
0:34:08,"1,77",0,914,28894,792,136,5,5,0,0,0,0,0
0:34:38,"3,73",0,923,25851,620,103,1,1,0,0,0,0,0
0:35:08,"1,27",0,938,33405,1002,168,8,9,0,0,0,0,0
0:35:38,2,0,884,25885,627,103,1,1,0,0,0,0,0
0:36:08,"3,53",0,943,29944,750,136,5,5,0,0,0,0,0
0:36:38,"3,93",0,915,26059,661,103,1,1,0,0,0,0,0
0:37:08,"1,47",0,925,28847,728,133,2,3,0,0,0,0,0
0:37:38,"1,33",0,902,25690,665,103,1,1,0,0,0,0,0
0:38:08,"3,97",0,928,28270,729,137,5,5,0,0,0,0,0
0:38:38,"3,37",0,900,25606,672,103,1,1,0,0,0,0,0
0:39:08,"2,07",0,923,28665,710,108,2,3,0,0,0,0,0
0:39:38,"2,2",0,914,26612,677,129,1,1,0,0,0,0,0
0:40:08,"2,03",0,995,33324,997,147,11,10,0,0,0,0,0
0:40:38,"1,7",0,919,26229,653,129,1,1,0,0,0,0,0
0:41:08,"1,5","0,03",925,28525,742,108,2,3,0,0,0,0,0
0:41:38,"1,2",0,904,26045,649,129,1,1,0,0,0,0,0
0:42:08,"1,23",0,938,28065,780,111,5,5,0,0,0,0,0
0:42:38,"1,27",0,914,25782,615,129,1,1,0,0,0,0,0
0:43:08,"1,3",0,907,27928,774,108,2,3,0,0,0,0,0
0:43:38,"1,17",0,926,26113,613,129,1,1,0,0,0,0,0
0:44:08,"1,03","0,03",997,29061,822,129,7,7,0,0,0,0,0
0:44:38,"0,93",0,918,25454,588,129,1,1,0,0,0,0,0
0:45:08,"0,53",0,996,35164,1139,151,12,12,0,0,0,0,0
0:45:38,"0,03",0,930,26212,616,103,1,1,0,0,0,0,0
0:46:08,"0,77",0,930,29206,757,136,5,5,0,0,0,0,0
0:46:38,"0,4","0,03",919,25970,666,103,1,1,0,0,0,0,0
0:47:08,"0,37",0,914,26874,592,129,1,1,0,0,0,0,0
0:47:38,"1,17",0,919,27972,782,108,2,3,0,0,0,0,0
0:48:08,"0,6",0,939,28621,740,111,5,5,0,0,0,0,0
0:48:38,"0,9",0,928,26406,622,129,1,1,0,0,0,0,0
0:49:08,"0,47",0,918,26282,651,103,1,1,0,0,0,0,0
0:49:38,"2,43",0,910,26349,607,129,1,1,0,0,0,0,0
