Site Name,Year-Month,Productivity - Stamping,Efficiency - Stamping,Efficiency Invoicing - Stamping WO,Standard Time,Dealer GP - Total,Dealer GP % - Total,Discount - Total
S01 - Lima,2023-01,73.38 %,98.07 %,103.22 %,"2,601.60","333,367.64",19.69 %,"84,126.86"
S01 - Lima,2023-02,75.36 %,92.28 %,97.59 %,"2,995.75","357,343.70",19.68 %,"84,732.70"
S01 - Lima,2023-03,83.15 %,98.65 %,104.59 %,"2,621.50","310,743.82",12.99 %,"63,875.54"
S01 - Lima,2023-04,88.26 %,94.09 %,98.78 %,"3,259.50","367,178.60",14.96 %,"78,805.33"
S01 - Lima,2023-05,85.08 %,97.74 %,102.54 %,"3,876.70","390,339.75",15.10 %,"102,330.60"
S01 - Lima,2023-06,85.00 %,100.49 %,106.20 %,"3,366.66","373,819.83",15.22 %,"123,815.64"
S01 - Lima,2023-07,86.99 %,99.00 %,104.39 %,"3,904.74","423,106.14",15.75 %,"97,273.81"
S01 - Lima,2023-08,89.14 %,98.19 %,103.61 %,"3,267.75","354,692.28",13.94 %,"80,275.30"
S01 - Lima,2023-09,88.28 %,99.30 %,104.41 %,"4,375.97","418,788.02",16.52 %,"132,602.58"
S01 - Lima,2023-10,87.67 %,95.02 %,100.16 %,"3,256.35","362,181.29",14.06 %,"93,430.39"
S01 - Lima,2023-11,89.61 %,96.29 %,100.60 %,"3,464.93","455,914.10",17.17 %,"100,210.57"
S01 - Lima,2023-12,89.31 %,100.67 %,107.02 %,334.95,"75,967.96",13.11 %,"16,963.82"
S02 - Condestable,2023-01,87.54 %,89.32 %,91.57 %,256.11,"12,430.22",48.08 %,"2,617.72"
S02 - Condestable,2023-02,13.30 %,,,0.00,"18,443.59",43.59 %,"4,870.60"
S02 - Condestable,2023-03,64.79 %,98.52 %,105.32 %,30.00,"22,050.44",55.12 %,"2,575.73"
S02 - Condestable,2023-04,,96.36 %,98.18 %,5.30,"36,841.12",38.69 %,"3,861.58"
S02 - Condestable,2023-05,,93.46 %,99.69 %,6.00,"2,650.91",40.60 %,109.15
S02 - Condestable,2023-06,,,,0.00,"1,625.63",29.06 %,123.00
S02 - Condestable,2023-07,,,,0.00,"9,790.37",57.21 %,957.54
S02 - Condestable,2023-08,,,,0.00,"10,914.86",52.83 %,"1,710.71"
S02 - Condestable,2023-09,100.00 %,81.67 %,85.67 %,24.50,"15,025.68",49.48 %,"1,480.24"
S02 - Condestable,2023-10,,-15.38 %,169.23 %,0.00,"5,640.87",42.00 %,302.55
S02 - Condestable,2023-11,,,,0.00,"2,318.79",40.10 %,362.13
S02 - Condestable,2023-12,,,,0.00,"1,750.58",43.59 %,393.34
S03 - Cusco,2023-01,89.32 %,91.44 %,96.68 %,249.80,"29,956.93",41.12 %,"12,099.85"
S03 - Cusco,2023-02,81.19 %,63.26 %,66.85 %,231.40,"19,181.15",38.10 %,"4,674.24"
