Title,Artist,Location,Price,Inv#,Production Value
Cartographic Echoes: Utopian Prelude,6000012,ROOM 318,"$60,000.00",LG12011,"$30,000.00"
Culinary Echoes (Iteration 1),6000011,ROOM 318,"$50,000.00",JAK12003.1,"$25,000.00"
Culinary Echoes (Iteration 2),6000011,ROOM 318,"$50,000.00",JAK12003.2,"$25,000.00"
Culinary Echoes (Iteration 3),6000011,ROOM 318,"$50,000.00",JAK12003.3,"$25,000.00"
Culinary Echoes (Iteration 4),6000011,ROOM 318,"$50,000.00",JAK12003.4,"$25,000.00"
Culinary Echoes (Iteration 5),6000011,ROOM 318,"$50,000.00",JAK12003.5,"$25,000.00"
Culinary Echoes (Iteration 6),6000011,ROOM 318,"$50,000.00",JAK12003.6,"$25,000.00"
Culinary Echoes (Iteration 7),6000011,ROOM 318,"$50,000.00",JAK12003.7,"$25,000.00"
Abstract Vessel #56,6000009,ROOM 319 S1,"$45,000.00",EMZ10070,"$22,500.00"
Anatomical Stages: Shelf Piece Enigma II,6000012,ROOM 318,"$38,000.00",LG13045,"$19,000.00"
Abstract Vessel #38,6000007,ROOM 319 S10,"$30,000.00",DM14035,"$15,000.00"
Abstract Vessel #39,6000007,ROOM 319 S10,"$30,000.00",DM14039,"$15,000.00"
Ancient Fragments: Bay of Whispers,6000012,ROOM 318,"$30,000.00",LG13058,"$15,000.00"
Pirate's Bounty: Solomon's Echo,6000012,ROOM 318,"$30,000.00",LG13059,"$15,000.00"
Abstract Vessel #48,6000007,ROOM 319 S8,"$28,000.00",DM13082,"$14,000.00"
Grenade's Echo: Governor's Lament,6000012,ROOM 318,"$28,000.00",LG13050,"$14,000.00"
Utopian Props: Performance Prelude,6000012,ROOM 319 S14,"$25,000.00",LG11057,"$12,500.00"
Smuggler's Whimsy: Petticoat Secrets,6000012,ROOM 318,"$25,000.00",LG13047,"$12,500.00"
Ming Melodies: South China Serenade,6000012,ROOM 318,"$25,000.00",LG13048,"$12,500.00"
Antikythera Unveiled: Mechanical Resonance,6000012,ROOM 318,"$25,000.00",LG13053,"$12,500.00"
MyBOX Melodies: Bar Edition,6000012,ROOM 318,"$22,000.00",LG12065,"$11,000.00"
Anatomical Stages: Shelf Piece Enigma I,6000012,ROOM 318,"$22,000.00",LG13044,"$11,000.00"
Illuminated Boxes: Unveiling VIII,6000012,ROOM 319 S8,"$20,000.00",LG12066.1,"$10,000.00"
Sixteenth Century Symphony: Pewter Tales,6000012,ROOM 318,"$20,000.00",LG14002,"$10,000.00"
Renaissance Whispers II: Medici Secrets,6000012,ROOM 318,"$20,000.00",LG14005,"$10,000.00"
Gilded Memorial: Anonymous Legacy,6000012,ROOM 318,"$18,000.00",LG12070,"$9,000.00"
"Luminous Sunshade, Crafted in Los Angeles",6000006,ROOM 319 S10,"$16,000.00",BOC14001,"$8,000.00"
Illuminated Boxes: Unveiling X,6000012,ROOM 319 S9,"$16,000.00",LG13039,"$16,000.00"
Secure Echoes: A Diebold Rendition,6000012,ROOM 319 S9,"$16,000.00",LG14010,"$8,000.00"
Buenos Aires Breach: New Year's Overture,6000012,ROOM 318,"$16,000.00",LG13005,"$8,000.00"
Echoes of Vale: York's Lost Treasures,6000012,ROOM 318,"$16,000.00",LG13006,"$8,000.00"
Stolen Elegance: Captain's Attire,6000012,ROOM 318,"$16,000.00",LG13049,"$8,000.00"
Kreuzberg Chronicles: Ottoman Tales,6000012,ROOM 319 S4,"$15,000.00",LG12004,"$7,500.00"
Mysteries Unveiled: Allegorical Summit,6000012,ROOM 319 S4,"$15,000.00",LG12009,"$7,500.00"
