Unique ID,Date,Visited store before?,Type of experience,Years experience,Number of tools owned >$250,Number of projects per year?,Will visit again?
wx7393js,10/11/2023,TRUE,Fine carpentry,11,4,0-50,FALSE
jggfg823,8/25/2023,FALSE,Painting/Finishing,15,4,50-100,TRUE
jsbs8361,11/11/2023,FALSE,Painting/Finishing,11,8,100+,TRUE
jff83034,11/5/2023,TRUE,Construction,46,8,100+,FALSE
jfp82i39,10/24/2023,TRUE,Fine carpentry,7,1,100+,FALSE
icf94873,11/30/2023,FALSE,Remodeling,9,5,0-50,TRUE
mnclj032,12/20/2023,FALSE,Painting/Finishing,40,9,0-50,FALSE
nf03bcjd,8/25/2023,TRUE,Painting/Finishing,29,9,50-100,TRUE
983nfhj3,8/14/2023,FALSE,Painting/Finishing,49,2,100+,TRUE
jhwdj3k2,10/22/2023,FALSE,Construction,40,8,100+,FALSE
jdke72ui,10/8/2023,FALSE,Remodeling,3,4,100+,FALSE
9287dhfj,11/22/2023,FALSE,Fine carpentry,43,3,0-50,TRUE
ueiwuye8,10/12/2023,FALSE,Remodeling,5,8,0-50,FALSE
938du73e,10/16/2023,FALSE,Remodeling,38,1,50-100,FALSE
ruickf87,10/15/2023,TRUE,Fine carpentry,12,1,0-50,FALSE
837dheu3,10/20/2023,FALSE,Fine carpentry,3,1,0-50,FALSE
873jcngt,10/23/2023,FALSE,Painting/Finishing,16,3,50-100,FALSE
38729uie,10/22/2023,TRUE,Remodeling,49,2,100+,TRUE
uieudn67,8/20/2023,FALSE,Construction,12,9,50-100,FALSE
726ebcjd,11/22/2023,FALSE,Painting/Finishing,2,10,100+,FALSE
9820oknb,8/26/2023,FALSE,Painting/Finishing,24,2,100+,FALSE
938jdieu,11/30/2023,FALSE,Construction,36,4,100+,FALSE
ujdue839,9/16/2023,FALSE,Remodeling,32,5,0-50,TRUE
983udiej,12/9/2023,FALSE,Fine carpentry,19,2,100+,TRUE
jdutye83,11/18/2023,FALSE,Remodeling,35,2,100+,TRUE
due9506n,9/14/2023,TRUE,Remodeling,31,5,0-50,FALSE
273hchgd,11/4/2023,FALSE,Fine carpentry,20,7,0-50,FALSE
83kgie98,8/10/2023,FALSE,Fine carpentry,10,9,50-100,TRUE
urioplng,8/10/2023,FALSE,Painting/Finishing,31,5,0-50,FALSE
847chdu3,10/27/2023,FALSE,Remodeling,17,9,0-50,FALSE
82318dcg,11/17/2023,FALSE,Construction,33,7,50-100,FALSE
ued7ytie,9/12/2023,TRUE,Painting/Finishing,19,10,100+,FALSE
pgocazx8,12/3/2023,FALSE,Painting/Finishing,6,9,50-100,TRUE
28x738ds,12/5/2023,FALSE,Construction,25,2,50-100,TRUE
920vjdie,8/11/2023,FALSE,Remodeling,6,7,100+,FALSE
73bvjeis,8/27/2023,TRUE,Fine carpentry,3,8,50-100,TRUE
uedio485,8/31/2023,FALSE,Remodeling,24,9,100+,FALSE
8176sjdu,8/20/2023,FALSE,Painting/Finishing,19,7,100+,FALSE
2890cjgq,12/16/2023,TRUE,Painting/Finishing,31,9,100+,TRUE
219cjdue,8/14/2023,FALSE,Painting/Finishing,9,10,0-50,TRUE
98ejcng8,9/7/2023,FALSE,Construction,16,0,100+,FALSE
83727djv,12/19/2023,FALSE,Remodeling,40,8,100+,TRUE
73ndhgjo,9/8/2023,FALSE,Fine carpentry,18,7,0-50,FALSE
pcbndhf8,8/18/2023,FALSE,Remodeling,16,3,0-50,TRUE
829djcud,8/13/2023,FALSE,Remodeling,34,1,50-100,TRUE
738d9fjv,10/24/2023,FALSE,Fine carpentry,19,9,0-50,FALSE
ueid837c,10/15/2023,TRUE,Fine carpentry,30,8,0-50,FALSE
920985jg,11/27/2023,FALSE,Fine carpentry,33,6,0-50,TRUE
juducu73,9/21/2023,FALSE,Painting/Finishing,15,5,0-50,TRUE
8495bvhj,11/21/2023,FALSE,Remodeling,15,5,50-100,FALSE
8493bvjd,10/8/2023,FALSE,Construction,49,4,100+,TRUE
930ovj74,8/13/2023,FALSE,Painting/Finishing,42,2,50-100,FALSE
738djche,8/30/2023,FALSE,Painting/Finishing,1,2,50-100,FALSE
turbf843,10/11/2023,FALSE,Construction,4,0,100+,TRUE
83ovjdhg,8/23/2023,FALSE,Remodeling,42,9,50-100,TRUE
938chdje,8/28/2023,FALSE,Fine carpentry,25,2,0-50,FALSE
8378djcv,8/12/2023,FALSE,Remodeling,32,0,0-50,TRUE
839vjdui,11/20/2023,FALSE,Painting/Finishing,8,3,0-50,FALSE
093jchd8,10/7/2023,TRUE,Painting/Finishing,4,6,50-100,TRUE
8272ndhf,10/9/2023,FALSE,Painting/Finishing,40,5,100+,TRUE
ieuducy7,8/26/2023,FALSE,Construction,25,8,100+,FALSE
82376hdg,10/12/2023,FALSE,Remodeling,42,7,100+,FALSE
