Paging_Time,faults,pgin,pgout,pgsin,pgsout,reclaims,scans,cycles,fsin,fsout,sr/fr
0:01:07,"1114,8","33,1","2130,5",0,0,"1361,4","3174,3",0,"33,1","2130,5","2,3"
0:01:37,496,"363,8","3506,9",0,0,"2925,7","5518,3",0,"363,8","3506,9","1,9"
0:02:07,"2457,6","463,2","7401,3",0,0,"5285,6","11019,7",0,"463,2","7401,3","2,1"
0:02:37,"334,5","1,2","277,1",0,0,0,0,0,"1,2","277,1","0,0"
0:03:07,"382,1","55,4","4245,4",0,0,"2258,7","5103,1",0,"55,4","4245,4","2,3"
0:03:37,"352,3","1,1","1370,1",0,0,"4,2","4,2",0,"1,1","1370,1","1,0"
0:04:07,"2229,1","5,9",961,0,0,"119,6","121,9",0,"5,9","961,0","1,0"
0:04:37,"332,6",0,"1,5",0,0,0,0,0,"0,0","1,5","0,0"
0:05:07,"1724,2",1,"14,9",0,0,14,"1144,1",0,"1,0","14,9","81,7"
0:05:37,"332,6",0,"1,4",0,0,0,0,0,"0,0","1,4","0,0"
0:06:07,"2223,8","0,2","370,5",0,0,"25,5","67,8",0,"0,2","370,5","2,7"
0:06:37,"333,3","0,5","135,1",0,0,0,0,0,"0,5","135,1","0,0"
0:07:07,"334,8","0,2","20,2",0,0,0,0,0,"0,2","20,2","0,0"
0:07:37,"328,1","0,2","113,8",0,0,0,0,0,"0,2","113,8","0,0"
0:08:07,"2212,7","0,2",802,0,0,0,0,0,"0,2","802,0","0,0"
0:08:37,"330,7","4,3","397,2",0,0,0,0,0,"4,3","397,2","0,0"
0:09:07,"334,3",0,"822,9",0,0,0,0,0,"0,0","822,9","0,0"
0:09:37,"327,4",0,"74,3",0,0,0,0,0,"0,0","74,3","0,0"
0:10:07,"3600,3","0,6","4,5",0,0,"63,6","219,4",0,"0,6","4,5","3,4"
0:10:37,"326,9",0,"1,7",0,0,0,0,0,"0,0","1,7","0,0"
0:11:07,"331,6",0,"234,7",0,0,0,0,0,"0,0","234,7","0,0"
0:11:37,"333,5","221,8","209,9",0,0,0,0,0,"221,8","209,9","0,0"
0:12:07,"2238,1","1,4","1,4",0,0,0,0,0,"1,4","1,4","0,0"
0:12:37,"326,4",0,"1,6",0,0,0,0,0,"0,0","1,6","0,0"
0:13:07,"320,5",0,"0,9",0,0,0,0,0,"0,0","0,9","0,0"
0:13:37,"311,1",0,"0,8",0,0,0,0,0,"0,0","0,8","0,0"
0:14:07,"2579,3","5,7","1,1",0,0,0,0,0,"5,7","1,1","0,0"
0:14:37,"331,2","9,6",2,0,0,0,0,0,"9,6","2,0","0,0"
0:15:07,"2555,9","452,8","1,5",0,0,0,0,0,"452,8","1,5","0,0"
