Date/Time,How old are you?,Do you have any videogame console?,How many physical games do you have?,What videogame consoles do you have?,Hou many digital games do you have?,"Among physical games, how many of them would you like to exchange?","Would you be willing to exchange a game with another person via mail post, in a safe way?"
2/10/2015 22:38:21,37,TRUE,10+,"PlaySation 4, PlayStation 3, Xbox 360, Wii U, Other",10+,2-4,YES
2/10/2015 22:40:24,41,TRUE,5-10,PlayStation 3,2-4,2-4,YES
2/10/2015 22:54:15,30,FALSE,,,,,
2/10/2015 23:11:44,33,TRUE,2-4,"PlaySation 4, PlayStation 3",2-4,0,YES
2/10/2015 23:17:18,41,TRUE,5-10,Xbox 360,2-4,0,YES
2/10/2015 23:29:31,35,TRUE,2-4,PlaySation 4,10+,2-4,YES
2/10/2015 23:40:13,23,FALSE,,,,,
3/10/2015 0:07:41,36,TRUE,2-4,Xbox 360,2-4,1,ONLY IN-PERSON
3/10/2015 0:09:48,16,TRUE,2-4,PlaySation 4,0,0,YES
3/10/2015 0:10:17,30,TRUE,2-4,PlaySation 4,10+,1,YES
3/10/2015 0:40:29,29,TRUE,2-4,Xbox 360,10+,2-4,YES
3/10/2015 0:55:29,30,TRUE,2-4,"Xbox One, Xbox 360",5-10,2-4,YES
3/10/2015 1:57:11,45,FALSE,,,,,
3/10/2015 2:02:10,27,TRUE,2-4,"Xbox One, Wii U",5-10,2-4,YES
3/10/2015 2:14:23,30,TRUE,10+,"PlayStation 3, Wii U, Other",5-10,5-10,ONLY IN-PERSON
3/10/2015 2:24:00,32,FALSE,,,,,
3/10/2015 2:29:48,28,TRUE,2-4,Xbox One,5-10,1,YES
3/10/2015 2:41:41,25,TRUE,5-10,"PlayStation 3, Wii U, Other",2-4,0,NO
3/10/2015 5:22:37,30,FALSE,,,,,
3/10/2015 6:16:57,31,TRUE,10+,Xbox 360,5-10,2-4,YES
3/10/2015 7:14:28,34,TRUE,5-10,"Wii U, Other",2-4,2-4,YES
3/10/2015 7:29:14,21,TRUE,2-4,Wii U,2-4,1,ONLY IN-PERSON
3/10/2015 8:22:42,40,TRUE,5-10,Xbox One,5-10,0,NO
3/10/2015 8:33:06,32,TRUE,0,Xbox One,5-10,0,YES
3/10/2015 8:44:56,46,FALSE,,,,,
3/10/2015 8:58:06,51,TRUE,1,Other,5-10,0,YES
3/10/2015 9:27:07,32,TRUE,5-10,PlayStation 3,2-4,5-10,YES
3/10/2015 9:35:40,38,TRUE,2-4,Other,0,0,YES
3/10/2015 9:43:43,31,TRUE,10+,Other,5-10,1,YES
3/10/2015 10:34:09,32,TRUE,10+,"Xbox 360, Wii U",10+,5-10,YES
3/10/2015 10:40:56,55,FALSE,,,,,
3/10/2015 10:58:55,43,TRUE,5-10,Xbox One,5-10,2-4,YES
3/10/2015 11:10:14,32,TRUE,5-10,Xbox One,0,2-4,YES
3/10/2015 11:14:17,33,TRUE,2-4,PlayStation 3,5-10,1,YES
3/10/2015 11:17:17,40,FALSE,,,,,
3/10/2015 11:30:15,32,TRUE,5-10,Other,10+,0,ONLY IN-PERSON
3/10/2015 11:53:54,34,TRUE,5-10,Xbox 360,0,2-4,YES
3/10/2015 12:14:04,29,FALSE,,,,,
3/10/2015 12:21:49,30,TRUE,0,Other,10+,0,NO
3/10/2015 12:39:56,30,TRUE,5-10,Xbox 360,2-4,2-4,ONLY IN-PERSON
3/10/2015 12:52:21,19,TRUE,2-4,PlaySation 4,10+,2-4,YES
3/10/2015 13:30:05,42,FALSE,,,,,
3/10/2015 13:40:29,32,TRUE,5-10,PlaySation 4,0,2-4,YES
3/10/2015 14:24:13,38,FALSE,,,,,
3/10/2015 14:45:40,33,FALSE,,,,,
3/10/2015 14:49:37,31,TRUE,10+,"PlayStation 3, Xbox 360, Other",2-4,2-4,ONLY IN-PERSON
3/10/2015 15:02:20,23,FALSE,,,,,
3/10/2015 19:16:04,36,TRUE,10+,"Xbox One, PlayStation 3, Other",10+,5-10,ONLY IN-PERSON
4/10/2015 0:02:38,34,TRUE,10+,"Xbox 360, Other",10+,5-10,ONLY IN-PERSON
4/10/2015 0:21:45,38,FALSE,,,,,
4/10/2015 16:54:55,35,TRUE,10+,"PlaySation 4, Wii U",2-4,0,YES
5/10/2015 11:17:47,27,TRUE,5-10,"PlaySation 4, PlayStation 3",0,2-4,YES
