id,recount,route,period,fee,electric meter,addresses,longitude,latitude,date,time,previous consumption,accumulated consumption,consumption,kw/h price,kw/h <2500,kw/h <7500,kw/h > 7500,total
993953,5,6152,4,t4,60158824,PQUE NAC EL PALMAR 56,"-28,057009","-56,029083",27/7/2021,11:00:00,598804,618774,19970,"$ 1,653","$ 3.306,00","$ 12.397,50","$ 16.480,41","$ 32.183,91"
992099,5,6152,2,t4,60158824,PQUE NAC EL PALMAR,"-28,057006","-56,029122",26/3/2021,12:08:00,618774,637496,18722,"$ 1,653","$ 3.306,00","$ 12.397,50","$ 14.417,47","$ 30.120,97"
992664,5,6152,2,t4,60158824,PQUE NAC EL PALMAR,"-28,057006","-56,029122",26/3/2021,12:08:00,637496,650027,12531,"$ 1,653","$ 3.306,00","$ 12.397,50","$ 4.183,74","$ 19.887,24"
991316,5,6152,1,t4,60158824,PQUE NAC EL PALMAR,"-28,056947","-56,029305",27/1/2021,11:17:00,650027,663483,13456,"$ 1,653","$ 3.306,00","$ 12.397,50","$ 5.712,77","$ 21.416,27"
994447,5,6152,5,t4,60158824,PQUE NAC EL PALMAR,"-28,056883","-56,029069",24/9/2021,13:08:00,663483,676867,13384,"$ 1,653","$ 3.306,00","$ 12.397,50","$ 5.593,75","$ 21.297,25"
993364,5,6152,3,t4,60158824,PQUE NAC EL PALMAR,"-28,05687","-56,029215",28/5/2021,10:00:00,676867,699530,22663,"$ 1,653","$ 3.306,00","$ 12.397,50","$ 20.931,94","$ 36.635,44"
995175,5,6152,6,t4,60158824,PQUE NAC EL PALMAR,"-28,056855","-56,029053",26/11/2021,6:49:00,699530,715881,16351,"$ 1,653","$ 3.306,00","$ 12.397,50","$ 10.498,20","$ 26.201,70"
333937,2,6137,6,t2,10612452,Bº EPAM MZ.C CASA,"-28,05551","-56,020695",8/11/2021,6:50:00,500921,516330,15409,"$ 1,353","$ 2.706,00","$ 10.147,50","$ 7.318,38","$ 20.171,88"
333341,2,6137,5,t2,10612452,Bº EPAM MZ.C CASA,"-28,055507","-56,020671",7/9/2021,8:23:00,516330,539302,22972,"$ 1,353","$ 2.706,00","$ 10.147,50","$ 17.551,12","$ 30.404,62"
329887,2,6137,1,t2,10612452,Bº EPAM MZ.C CASA,"-28,055505","-56,020656",4/1/2021,7:31:00,539302,557596,18294,"$ 1,353","$ 2.706,00","$ 10.147,50","$ 11.221,78","$ 24.075,28"
332518,2,6137,4,t2,10612452,Bº EPAM MZ.C CASA,"-28,055497","-56,020697",5/7/2021,15:01:00,557596,573283,15687,"$ 1,353","$ 2.706,00","$ 10.147,50","$ 7.694,51","$ 20.548,01"
331739,2,6137,3,t2,10612452,Bº EPAM MZ.C CASA,"-28,05468","-56,020776",4/5/2021,7:06:00,573283,587893,14610,"$ 1,353","$ 2.706,00","$ 10.147,50","$ 6.237,33","$ 19.090,83"
331365,2,6137,3,t2,10612452,Bº EPAM MZ.C CASA,"-28,05468","-56,020776",4/5/2021,7:06:00,587893,603299,15406,"$ 1,353","$ 2.706,00","$ 10.147,50","$ 7.314,32","$ 20.167,82"
535794,3,6146,4,t2,10185877,BO. 152 VIV. ,"-28,062403","-56,017898",14/7/2021,10:53:00,305125,328093,22968,"$ 1,353","$ 2.706,00","$ 10.147,50","$ 17.545,70","$ 30.399,20"
534974,3,6146,3,t2,10185877,BO. 152 VIV.,"-28,062372","-56,017969",12/5/2021,12:17:00,328093,349688,21595,"$ 1,353","$ 2.706,00","$ 10.147,50","$ 15.688,04","$ 28.541,54"
533368,3,6146,1,t2,10185877,BO. 152 VIV.,"-28,062355","-56,017937",14/1/2021,10:35:00,349688,367878,18190,"$ 1,353","$ 2.706,00","$ 10.147,50","$ 11.081,07","$ 23.934,57"
534168,3,6146,2,t2,10185877,BO. 152 VIV.,"-28,062304","-56,017942",11/3/2021,10:12:00,367878,391736,23858,"$ 1,353","$ 2.706,00","$ 10.147,50","$ 18.749,87","$ 31.603,37"
537432,3,6146,6,t2,10185877,BO. 152 VIV.,"-28,062211","-56,017891",10/11/2021,10:03:00,391736,414335,22599,"$ 1,353","$ 2.706,00","$ 10.147,50","$ 17.046,45","$ 29.899,95"
536899,3,6146,5,t2,10185877,BO. 152 VIV.,"-28,062107","-56,017792",13/9/2021,7:52:00,414335,429863,15528,"$ 1,353","$ 2.706,00","$ 10.147,50","$ 7.479,38","$ 20.332,88"
327727,2,6136,4,t1,10534902,Bº VUELTA DEL OMBU,"-28,049127","-56,011436",6/7/2021,13:37:00,393295,408860,15565,"$ 1,245","$ 2.490,60","$ 9.339,75","$ 6.930,09","$ 18.760,44"
328360,2,6136,5,t1,10534902,Bº VUELTA DEL OMBU,"-28,049121","-56,011437",3/9/2021,8:33:00,408860,428416,19556,"$ 1,245","$ 2.490,60","$ 9.339,75","$ 11.900,09","$ 23.730,44"
329294,2,6136,6,t1,10534902,Bº VUELTA DEL OMBU,"-28,049116","-56,011446",4/11/2021,7:14:00,428416,450324,21908,"$ 1,245","$ 2.490,60","$ 9.339,75","$ 14.829,03","$ 26.659,38"
323861,2,6136,1,t1,10534902,Bº VUELTA DEL OMBU,"-28,049111","-56,011437",5/1/2021,7:34:00,450324,470991,20667,"$ 1,245","$ 2.490,60","$ 9.339,75","$ 13.283,62","$ 25.113,97"
326508,2,6136,3,t1,10534902,Bº VUELTA DEL OMBU,"-28,04911","-56,011429",3/5/2021,11:30:00,470991,484116,13125,"$ 1,245","$ 2.490,60","$ 9.339,75","$ 3.891,56","$ 15.721,91"
325384,2,6136,3,t1,10534902,Bº VUELTA DEL OMBU,"-28,04911","-56,011429",3/5/2021,11:30:00,484116,496704,12588,"$ 1,245","$ 2.490,60","$ 9.339,75","$ 3.222,84","$ 15.053,19"
325016,2,6136,2,t1,10534902,Bº VUELTA DEL OMBU,"-28,049031","-56,011193",4/3/2021,12:36:00,496704,520110,23406,"$ 1,245","$ 2.490,60","$ 9.339,75","$ 16.694,49","$ 28.524,84"
190264,1,7565,3,t1,60023139,BO. LLAMARADA,"-28,265487","-58,120224",29/6/2021,7:42:00,84475,103306,18831,"$ 1,245","$ 2.490,60","$ 9.339,75","$ 10.997,24","$ 22.827,59"
