Printify ID,Order Status,Date created,Sent to prod,Order ID,Store name,Order type,Product Cost,Shipping Cost,VAT / Tax cost,Total cost,Currency,Order retail value,City,State,Zip,Shipping carrier,Invoices
5874055.216,fulfilled,11/1/2023 0:33,11/1/2023 1:41,3069298806,Higher Ed Threads,api,4.37 USD,4.79 USD,0.00 USD,9.16,USD,15.00 USD,Steamboat Springs,CO,80487,USPS,
5724648.565,fulfilled,11/1/2023 7:16,11/1/2023 8:22,3069523288,Terrapin Design Studio,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,27.97 USD,Madison,WI,53704,USPS,
5874055.217,fulfilled,11/2/2023 2:01,11/2/2023 3:11,3070505856,Higher Ed Threads,api,11.22 USD,5.19 USD,0.00 USD,16.41,USD,33.62 USD,Grand rapids,OH,43522,USPS,
5724648.566,fulfilled,11/2/2023 5:54,11/2/2023 7:06,3062236135,Terrapin Design Studio,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,33.65 USD,Aloha,OR,97078,USPS,
5874055.218,fulfilled,11/3/2023 0:41,11/3/2023 1:53,3063312727,Higher Ed Threads,api,10.34 USD,4.75 USD,0.00 USD,15.09,USD,33.15 USD,Louisville,KY,40213,USPS,
5874055.219,fulfilled,11/3/2023 20:32,11/3/2023 21:43,3072581392,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,27.97 USD,Franklin Furnace,OH,45629,USPS,
5874055.22,fulfilled,11/3/2023 23:22,11/4/2023 0:34,3064490617,Higher Ed Threads,api,11.22 USD,5.19 USD,0.00 USD,16.41,USD,34.08 USD,Richmond Heights,MO,63117,USPS,
5724648.567,fulfilled,11/4/2023 20:18,11/4/2023 21:27,3065388655,Terrapin Design Studio,api,11.22 USD,5.19 USD,0.00 USD,16.41,USD,36.82 USD,Irwin,PA,15642,USPS,
5874055.221,fulfilled,11/5/2023 3:46,11/5/2023 4:54,3074380220,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,31.47 USD,Greenwich,CT,6831,USPS,
5724648.568,fulfilled,11/6/2023 0:43,11/6/2023 1:55,3075715548,Terrapin Design Studio,api,24.70 USD,8.49 USD,0.00 USD,33.19,USD,57.44 USD,Liverpool,NY,13090,DHL_eCommerce_Expedited,
5724648.569,fulfilled,11/7/2023 2:23,11/7/2023 3:36,3068594971,Terrapin Design Studio,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,33.73 USD,SAN JOSE,CA,95125-1726,USPS,
5874055.222,fulfilled,11/7/2023 15:38,11/7/2023 16:41,3077765846,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,28.50 USD,TUALATIN,OR,97062,USPS,
5874055.223,fulfilled,11/7/2023 15:38,11/7/2023 16:41,3069103339,Higher Ed Threads,api,12.13 USD,4.75 USD,0.00 USD,16.88,USD,34.08 USD,Franklin,MA,2038,USPS,
5724648.57,fulfilled,11/8/2023 1:12,11/8/2023 2:22,3078343752,Terrapin Design Studio,api,12.13 USD,4.75 USD,0.00 USD,16.88,USD,30.38 USD,Marietta,GA,30064,USPS,
5874055.224,fulfilled,11/9/2023 19:06,11/9/2023 20:14,3072017201,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,25.32 USD,BOYCE,LA,71409,USPS,
5724648.571,fulfilled,11/9/2023 20:07,11/9/2023 21:10,3080810244,Terrapin Design Studio,api,9.78 USD,4.75 USD,0.00 USD,14.53,USD,31.97 USD,Evans City,PA,16033,USPS,
5724648.572,fulfilled,11/10/2023 1:50,11/10/2023 3:11,3081233492,Terrapin Design Studio,api,11.22 USD,5.19 USD,0.00 USD,16.41,USD,28.79 USD,Pelham,AL,35124,USPS,
