Checkout Date,Service Provider,Appointment Date,Customer,Service/Product/GC/Package/Membership/Class,Transaction Type,GiftCertificate No,Qty,Price,Tax,Tip,Disc,Amt paid,Cash,Check,GC redeem,Pkg,Mbsp,CC,BankAccount,Vagaro Pay Later,OtherAmount,IOU/Invoice,IOU/GC Status,Pnts Earned,Pnts Used,Pnts Refunded,Change Due
"Dec 21, 2023 5:43 PM",Service Provider,"Dec 21, 2023 5:15 PM",Customer,Mens Haircut,Services,,1,30,0,9,0,39,0,0,0,0,0,39,0,0,0,0,---,30,0,0,0
"Dec 21, 2023 4:50 PM",Service Provider,"Dec 21, 2023 4:15 PM",Customer,Womens Haircut,Services,,1,70,0,25,0,95,0,0,0,0,0,95,0,0,0,0,---,70,0,0,0
"Dec 21, 2023 11:42 AM",Service Provider,"Dec 21, 2023 11:00 AM",Customer,Womens Haircut,Services,,1,70,0,10.5,0,80.5,0,0,0,0,0,80.5,0,0,0,0,---,70,0,0,0
"Dec 21, 2023 10:36 AM",Service Provider,"Dec 21, 2023 10:00 AM",Customer,Mens Haircut,Services,,1,30,0,30,0,60,0,0,0,0,0,60,0,0,0,0,---,30,0,0,0
"Dec 20, 2023 5:48 PM",Service Provider,--,Customer,PGTCQITVRYAZRPXB,Gift Cards,,1,300,0,0,0,300,300,0,0,0,0,0,0,0,0,0,---,0,0,0,0
"Dec 20, 2023 5:40 PM",Service Provider,"Dec 20, 2023 5:00 PM",Customer,Junior Haircut,Services,,1,40,0,8,0,48,0,0,0,0,0,48,0,0,0,0,---,40,0,0,0
"Dec 20, 2023 4:35 PM",Service Provider,"Dec 20, 2023 3:30 PM",Customer,Root Color and a Blowout,Services,,1,75,0,25,0,100,0,0,0,0,0,100,0,0,0,0,---,90,0,0,0
"Dec 20, 2023 3:25 PM",Service Provider,"Dec 20, 2023 3:30 PM",Customer,Haircut and Root Color,Services,,1,135,0,0,0,135,0,0,0,0,0,135,0,0,0,0,---,135,0,0,0
"Dec 20, 2023 1:36 PM",Service Provider,"Dec 20, 2023 1:00 PM",Customer,Mens Haircut,Services,,1,30,0,0,0,30,0,0,0,0,0,30,0,0,0,0,---,30,0,0,0
"Dec 20, 2023 11:50 AM",Service Provider,"Dec 20, 2023 10:00 AM",Customer,Hair Color (All Over),Services,,1,115,0,23,0,138,0,0,0,0,0,138,0,0,0,0,---,115,0,0,0
"Dec 20, 2023 11:50 AM",Service Provider,"Dec 20, 2023 11:40 AM",Customer,Womens Haircut,Services,,1,70,0,14,0,84,0,0,0,0,0,84,0,0,0,0,---,70,0,0,0
"Dec 20, 2023 11:50 AM",Service Provider,"Dec 20, 2023 1:00 PM",Customer,Toner,Services,,1,30,0,6,0,36,0,0,0,0,0,36,0,0,0,0,---,30,0,0,0
"Dec 19, 2023 5:26 PM",Service Provider,"Dec 19, 2023 4:00 PM",Customer,Root Color and a Blowout,Services,,1,90,0,27,0,117,0,0,0,0,0,117,0,0,0,0,---,100,0,0,0
"Dec 19, 2023 3:34 PM",Service Provider,"Dec 19, 2023 2:00 PM",Customer,"Haircut, Root Color, and Highlights",Services,,1,150,0,0,0,150,120,0,0,0,0,30,0,0,0,0,---,215,0,0,0
"Dec 19, 2023 1:45 PM",Service Provider,"Dec 19, 2023 1:15 PM",Customer,Mens Haircut,Services,,1,30,0,6,0,36,0,0,0,0,0,36,0,0,0,0,---,30,0,0,0
"Dec 19, 2023 1:10 PM",Service Provider,"Dec 19, 2023 11:45 AM",Customer,Haircut and Root Color,Services,,1,135,0,27,0,162,0,0,0,0,0,162,0,0,0,0,---,135,0,0,0
"Dec 19, 2023 11:18 AM",Service Provider,"Dec 19, 2023 10:00 AM",Customer,Root Color and a Blowout,Services,,1,90,0,0,0,90,0,0,0,0,0,90,0,0,0,0,---,90,0,0,0
"Dec 19, 2023 11:18 AM",Service Provider,"Dec 19, 2023 11:45 AM",Customer,Bang / Neck Trim,Services,,1,20,0,0,0,20,0,0,0,0,0,20,0,0,0,0,---,20,0,0,0
"Dec 15, 2023 1:47 PM",Service Provider,"Dec 15, 2023 12:30 PM",Customer,Haircut and Root Color,Services,,1,125,0,31.25,0,156.25,0,0,0,0,0,156.25,0,0,0,0,---,125,0,0,0
"Dec 14, 2023 5:26 PM",Service Provider,"Dec 14, 2023 4:00 PM",Customer,"Haircut, Root Color, and Highlights",Services,,1,175,0,43.75,0,218.75,0,0,0,0,0,218.75,0,0,0,0,---,195,0,0,0
"Dec 14, 2023 3:23 PM",Service Provider,"Dec 14, 2023 2:30 PM",Customer,Womens Haircut,Services,,1,60,0,0,0,60,60,0,0,0,0,0,0,0,0,0,---,70,0,0,0
"Dec 14, 2023 1:41 PM",Service Provider,"Dec 14, 2023 12:00 PM",Customer,Root Color and Highlights,Services,,1,185,0,37,0,222,0,0,0,0,0,222,0,0,0,0,---,185,0,0,0
"Dec 14, 2023 1:41 PM",Service Provider,--,Customer,IMSFQKHLXECPNGJN,Gift Cards,,1,165,0,0,0,165,0,0,0,0,0,165,0,0,0,0,---,0,0,0,0
"Dec 14, 2023 1:41 PM",Service Provider,--,Customer,Birdie,In-House Products,,1,30,1.2,0,10,21.2,0,0,0,0,0,21.2,0,0,0,0,---,30,0,0,0
"Dec 14, 2023 11:29 AM",Service Provider,"Dec 14, 2023 10:00 AM",Customer,Haircut and Root Color,Services,,1,135,0,0,0,135,0,0,0,0,0,135,0,0,0,0,---,135,0,0,0
"Dec 13, 2023 7:19 PM",Service Provider,"Dec 13, 2023 5:15 PM",Customer,Haircut and Root Color,Services,,1,135,0,40.5,0,175.5,0,0,0,0,0,175.5,0,0,0,0,---,125,0,0,0
"Dec 13, 2023 5:07 PM",Service Provider,--,Customer,One Tree Planted Raffle,In-House Products,,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,---,0,0,0,0
"Dec 13, 2023 1:24 PM",Service Provider,--,Customer,True Soft Shampoo,In-House Products,,1,15,0.9,0,0,15.9,0,0,0,0,0,15.9,0,0,0,0,---,28,0,0,0
"Dec 13, 2023 1:24 PM",Service Provider,"Dec 13, 2023 12:45 PM",Customer,Womens Haircut,Services,,1,70,0,14,0,84,0,0,0,0,0,84,0,0,0,0,---,70,0,0,0
"Dec 13, 2023 12:40 PM",Service Provider,"Dec 13, 2023 11:30 AM",Customer,Hair Color (Roots),Services,,1,85,0,25.5,0,110.5,0,0,0,0,0,110.5,0,0,0,0,---,85,0,0,0
"Dec 13, 2023 11:25 AM",Service Provider,"Dec 13, 2023 10:00 AM",Customer,Root Color and a Blowout,Services,,1,100,0,20,0,120,0,0,0,0,0,120,0,0,0,0,---,100,0,0,0
"Dec 13, 2023 11:25 AM",Service Provider,"Dec 13, 2023 11:30 AM",Customer,Bang / Neck Trim,Services,,1,20,0,4,0,24,0,0,0,0,0,24,0,0,0,0,---,20,0,0,0
"Dec 12, 2023 5:40 PM",Service Provider,"Dec 12, 2023 4:30 PM",Customer,Haircut and Root Color,Services,,1,125,0,0,0,125,0,0,0,0,0,125,0,0,0,0,---,125,0,0,0
"Dec 12, 2023 5:40 PM",Service Provider,--,Customer,One Tree Planted Raffle,In-House Products,,1,10,0,0,0,10,0,0,0,0,0,10,0,0,0,0,---,0,0,0,0
"Dec 12, 2023 3:51 PM",Service Provider,"Dec 12, 2023 2:30 PM",Customer,Hair Color (Roots),Services,,1,75,0,0,0,75,0,0,0,0,0,75,0,0,0,0,---,85,0,0,0
"Dec 12, 2023 2:04 PM",Service Provider,"Dec 12, 2023 1:30 PM",Customer,Womens Haircut,Services,,1,60,0,12,0,72,0,0,0,0,0,72,0,0,0,0,---,60,0,0,0
"Dec 12, 2023 2:04 PM",Service Provider,"Dec 12, 2023 1:00 PM",Customer,Glaze / Gloss / Toner,Services,,1,45,0,9,0,54,0,0,0,0,0,54,0,0,0,0,---,45,0,0,0
"Dec 12, 2023 12:30 PM",Service Provider,"Dec 12, 2023 12:15 PM",Customer,Mens Haircut,Services,,1,30,0,0,0,30,0,0,0,0,0,30,0,0,0,0,---,30,0,0,0
"Dec 12, 2023 11:54 AM",Service Provider,"Dec 12, 2023 11:15 AM",Customer,Womens Haircut,Services,,1,70,0,21,0,91,0,0,0,0,0,91,0,0,0,0,---,70,0,0,0
"Dec 9, 2023 4:26 PM",Service Provider,"Dec 9, 2023 2:00 PM",Customer,Partial Highlights,Services,,1,140,0,0,0,140,0,0,0,0,0,140,0,0,0,0,---,140,0,0,0
"Dec 9, 2023 4:26 PM",Service Provider,"Dec 9, 2023 4:00 PM",Customer,Toner,Services,,1,30,0,0,0,30,0,0,0,0,0,30,0,0,0,0,---,30,0,0,0
"Dec 9, 2023 11:58 AM",Service Provider,--,Customer,FDCQRFCBLCMUTNDL,Gift Cards,,1,60,0,0,0,60,0,0,0,0,0,60,0,0,0,0,---,0,0,0,0
"Dec 9, 2023 11:58 AM",Service Provider,"Dec 9, 2023 11:00 AM",Customer,Womens Haircut,Services,,1,60,0,0,0,60,0,0,0,0,0,60,0,0,0,0,---,60,0,0,0
"Dec 8, 2023 3:36 PM",Service Provider,"Dec 8, 2023 3:00 PM",Customer,Womens Haircut,Services,,1,70,0,17.5,0,87.5,0,0,0,0,0,87.5,0,0,0,0,---,70,0,0,0
"Dec 8, 2023 2:48 PM",Service Provider,--,Customer,Styling Mousse,In-House Products,,1,28,1.68,0,0,29.68,0,0,0,0,0,29.68,0,0,0,0,---,30,0,0,0
"Dec 8, 2023 2:48 PM",Service Provider,--,Customer,Maria Nila Travel Bag,In-House Products,,1,59,3.54,0,0,62.54,0,0,0,0,0,62.54,0,0,0,0,---,55,0,0,0
"Dec 8, 2023 2:48 PM",Service Provider,"Dec 8, 2023 1:00 PM",Customer,Haircut and Root Color,Services,,1,135,0,33.75,0,168.75,0,0,0,0,0,168.75,0,0,0,0,---,135,0,0,0
