Month,Year,Make ,Parts,Parts Cost,Labor Cost,Payment Method,Repeat Customer
January,2012,International,tire,250,300,Cash,no
January,2013,International,brakes,150,300,debit card,no
January,2019,Volvo,Serpentine Belt,125,300,debit card,no
January,2020,Volvo,Oil,75,300,debit card,no
February,2012,International,Fuel Line,375,300,debit card,no
February,2007,International,Tire,500,600,debit card,no
February,2009,International,Brakes,150,300,credit card,no
February,2012,Kenworth,Tire,325,400,Venmo,no
February,2021,International,Brakes,180,300,debit card,no
March,2005,Isuzu,Pulley,100,300,credit card,no
March,2008,Isuzu,Caliper,100,300,Cash,no
March,2009,Kenworth,Tire,250,300,debit card,no
April,2013,Kenworth,Brakes,150,300,Zelle,no
April,2012,International,Tire,125,300,Cash,Yes
April,2012,International,Tire,75,300,Zelle,no
April,2014,International,Fuel Line,375,400,credit card,no
April,2017,International,Brakes,500,600,credit card,no
April,2018,International,Oil,180,300,credit card,no
April,2019,International,Oil,325,400,credit card,no
April,2004,Isuzu,Tire,390,400,credit card,no
April,2008,Isuzu,Oil,200,300,credit card,no
May,2010,Kenworth,Tire,500,500,debit card,no
May,2011,Kenworth,Tire,500,500,debit card,no
May,2012,International,Tire,275,300,Cash,Yes
May,2015,International,Brakes,325,300,Cash,no
May,2015,International,Brakes,325,300,credit card,no
June,2017,International,Tire,270,300,debit card,no
June,2015,International,Tire,300,300,Venmo,no
July,2013,International,Tire,225,300,credit card,no
July,2014,International,Tire,225,300,credit card,no
July,2017,International,Oil,125,300,Venmo,no
July,2004,Isuzu,Oil,125,300,Venmo,Yes
July,2013,Kenworth,Oil,125,300,credit card,no
July,2013,Kenworth,Oil,125,300,Venmo,no
July,2008,Isuzu,Pulley,440,400,debit card,no
July,2010,Kenworth,Serpentine Belt,335,400,debit card,no
August,2011,International,Tire,275,300,Venmo,no
September,2013,International,Tire,290,300,credit card,no
September,2015,International,Tire,300,300,debit card,no
September,2016,International,Tire,300,300,debit card,no
October,2012,International,Tire,325,300,credit card,no
October,2010,International,Tire,800,600,debit card,no
October,2017,Kenworth,Oil,150,300,debit card,no
October,2004,Isuzu,Caliper,425,600,credit card,no
October,2021,International,Oil,200,300,credit card,no
November,2020,Kenworth,Oil,200,300,credit card,no
November,2018,International,Tire,425,300,cash,no
November,2016,International,Tire,500,400,credit card,no
November,2009,International,Fuel Line,225,300,credit card,no
November,2010,Kenworth,Oil,100,300,credit card,no
December,2020,International,Oil,125,300,credit card,no
December,2019,International,Tire,525,300,credit card,no
December,2010,International,Serpentine Belt,150,300,credit card,no
