Customer,Item Sold,Listed Date,Listed Price,Sold Date,Sold Price,Pick Up,Drop Off,Delivery Fee,Shipped,Shipping Fee,Listing Fee,Seller's Fee,Repeat Customers 
Marketplace ,2 Bar Stools,9/17/2023,$40,9/20/2023,$30,Yes,,,,,,,
Marketplace ,Entryway Table,9/17/2023,$60,9/22/2023,$55,Yes,,,,,,,
Marketplace ,Coffee Table,9/18/2023,$50,9/25/2023,$50,,Yes,$0,,,,,
Marketplace ,5 Drawer Dresser ,9/17/2023,$200,9/26/2023,$160,,Yes,$15,,,,,
Marketplace ,Child's Rocking Chair,9/20/2023,$25,9/28/2023,$20,Yes,,,,,,,
Marketplace ,4 Drawer Dresser ,9/28/2023,$100,9/28/2023,$75,,Yes,$20,,,,,
Marketplace ,Head Board and Frame,9/28/2023,$150,9/30/2023,$140,Yes,,,,,,,
Marketplace,2 Tall Nightstands ,9/18/2023,$175,10/5/2023,$150,Yes,,,,,,,
Craigslist ,3 Piece Sectional ,10/1/2023,$300,10/9/2023,$240,,Yes,$25,,,$5,,
Marketplace ,Antique Ottoman ,9/28/2023,$125,10/10/2023,$125,Yes,,,,,,,
Craigslist ,Coffee Table,10/1/2023,$45,10/11/2023,$40,Yes ,,,,,$5,,
Craigslist ,Kitchen Table,10/2/2023,$70,10/12/2023,$50,Yes,,,,,$5,,
Marketplace ,Picnic Table W/ Benches,9/28/2023,$125,10/12/2023,$110,,Yes,$20,,,,,
Marketplace ,4 Drawer Dresser ,10/1/2023,$75,10/13/2023,$60,,Yes,$10,,,,,
Marketplace ,5 Drawer Dresser ,10/1/2023,$150,10/14/2023,$135,Yes,,,,,,,
Craigslist ,Dining Room Table W/ 6 Chairs,10/5/2023,$275,10/16/2023,$250,,Yes,$25,,,$5,,
Marketplace ,Bench,10/5/2023,$75,10/20/2023,$75,Yes,,,,,,,
Marketplace ,2 End Tables,9/28/2023,$60,10/22/2023,$60,Yes,,,,,,,
Private Sale,Antique Desk,,,10/25/2023,$325,Yes,,,,,,,
Marketplace ,Tall Kitchen Table W/ 2 Chairs,10/7/2023,$225,10/26/2023,$200,,Yes,$20,,,,,
Marketplace ,Office Desk,10/5/2023,$60,10/27/2023,$40,,Yes,$10,,,,,
Marketplace ,Reclining Chair ,10/9/2023,$50,10/28/2023,$50,Yes,,,,,,,
Marketplace ,Loveseat,10/7/2023,$75,10/29/2023,$60,Yes,,,,,,,Yes
Craigslist,Rocking Chair,10/5/2023,$25,10/29/2023,$25,,Yes,$0,,,$5,,
Marketplace ,Foyer Table,9/28/2023,$40,11/4/2023,$40,,,,,,,,
Craigslist ,Couch and Loveseat ,10/14/2023,$150,11/6/2023,$130,Yes,,,,,$5,,
Marketplace ,China Cabinet,10/15/2023,$300,11/7/2023,$250,,Yes,$30,,,,,
Craigslist,Footstool,10/14/2023,$35,11/10/2023,$35,,,,Yes,$37.48,$5,,
Marketplace ,Antique Vanity,10/31/2023,$375,11/14/2023,$350,,Yes,$15,,,,,
Chairish,Antique Dresser W/ 2 Nightstands ,11/1/2023,"$3,000",11/16/2023,"$1,650",,,,Yes,$0,,"$1,350",
Craigslist ,Reclining Chair ,10/31/2023,$50,11/17/2023,$45,Yes,,,,,$5,,
Marketplace ,4 Bar Stools,10/31/2023,$70,11/18/2023,$60,,,,,,,,
Marketplace ,End Table,11/5/2023,$35,11/20/2023,$25,Yes,,,,,,,
Marketplace,Fireplace Mantel/Shelf,11/5/2023,$80,11/20/2023,$65,,Yes,$10,,,,,
Etsy,Miniature 3 Drawer Dresser ,11/5/2023,$75,11/20/2023,$60.12,,,,Yes,$10,$0.20,$4.88,
Private Sale,Plant Shelf,,,11/23/2023,$30,,,,Yes,$8.94,,,Yes
Marketplace ,Antique Ottoman ,11/11/2023,$90,11/25/2023,$60,Yes,,,,,,,
Marketplace ,3 Drawer Dresser ,11/13/2023,$60,11/26/2023,$45,,Yes,$5,,,,,
Craigslist ,Couch,11/11/3023,$50,11/27/2023,$50,Yes,,,,,$5,,
Marketplace ,4 Drawer Dresser ,11/18/2023,$75,11/27/2023,$65,Yes,,,,,,,
Etsy,Toy Box,11/5/2023,$50,11/28/2023,$46.75,,,,Yes,$0,$0.20,$3.25,
Marketplace ,Sofa and Loveseat ,11/18/2023,$150,12/3/2023,$130,Yes,,,,,,,
Marketplace ,Lawn Table and 4 Chairs,11/13/2023,$110,12/4/2023,$100,,Yes,$10,,,,,
Craigslist ,Tall Kitchen Table,11/13/2023,$100,12/5/2023,$75,Yes,,,,,$5,,
Marketplace ,Armoire ,11/27/2023,$80,12/7/2023,$80,,Yes,$10,,,,,
Marketplace ,Trunk ,11/27/2023,$40,12/7/2023,$30,Yes,,,,,,,
Chairish ,Antique China Cabinet ,12/2/2023,"$1,500",12/8/2023,$825,,,,Yes,$0,,$675,
Marketplace ,Tall 5 Drawer Dresser ,11/13/2023,$150,12/9/2023,$130,Yes,,,,,,,
Marketplace ,Jewelry Storage Cabinet ,12/2/2023,$60,12/10/2023,$60,Yes,,,,,,,
Marketplace ,Bunkbeds ,12/7/2023,$60,12/11/2023,$60,,Yes,$5,,,,,
Craigslist ,Wardrobe Cabinet ,12/10/2023,$90,12/11/2023,$80,Yes,,,,,$5,,
Craigslist ,Coffee Table,12/7/2023,$35,12/13/2023,$30,Yes,,,,,$5,,
Marketplace ,Child's Desk and Chair,12/2/2023,$60,12/15/2023,$50,,Yes,$5,,,,,
Marketplace ,Rocking Chair,11/18/2023,$25,12/17/2023,$25,,Yes,$0,,,,,
Marketplace ,4 Drawer Dresser ,12/10/2023,$50,12/18/2023,$50,Yes,,,,,,,Yes
Marketplace ,Reclining Chair ,12/2/2023,$40,12/18/2023,$35,Yes,,,,,,,
Marketplace ,TV Stand,11/27/2023,$45,12/20/2023,$45,,Yes,$10,,,,,
Craigslist ,2 Bookshelves ,12/10/2023,$75,12/22/2023,$75,Yes,,,,,,,
