Banner Name,Item,Item2,Parent Batch,Probability Close %,FOB CS,Start Date,Month,Year,Cases per month,Cs / Mo Prob Adj,Monthly Sales
Boston College,HFS 6LB,#ERROR!,#ERROR!,50%,$32.64 ,2/1/2024,February,2024,2,1,$33 
Boston College,PFS 5LB,#ERROR!,#ERROR!,50%,$81.60 ,2/1/2024,February,2024,4,2,$163 
Bowling Green State University,PFS 5LB,#ERROR!,#ERROR!,25%,$81.60 ,1/15/2024,January,2024,1,0.25,$20 
Bright Horizons,PFS 1.15oz 300 ct,#ERROR!,#ERROR!,25%,$126.76 ,6/1/2024,June,2024,20,5,$634 
Bryn Mawr College,PFS 1.15oz 300 ct,#ERROR!,#ERROR!,50%,$126.76 ,1/15/2024,January,2024,1,0.5,$63 
Buena Vista Foods,HFS 6LB,#ERROR!,#ERROR!,50%,$32.64 ,1/1/2024,January,2024,4,2,$65 
Buena Vista Foods,PFS 5LB,#ERROR!,#ERROR!,50%,$81.60 ,1/1/2024,January,2024,2,1,$82 
Cal Poly - Pomona,PFS 1.15oz 300 ct,#ERROR!,#ERROR!,0%,$126.76 ,1/1/2024,January,2024,0,0,$0 
Cal Poly - Pomona,HFS 1.15oz 300 ct,#ERROR!,#ERROR!,0%,$126.76 ,1/1/2024,January,2024,0,0,$0 
Cal Poly - Pomona,PFS 1LB,#ERROR!,#ERROR!,0%,$21.52 ,1/1/2024,January,2024,0,0,$0 
Canteen Boston,PFS 1.15oz 300 ct,#ERROR!,#ERROR!,25%,$126.76 ,2/1/2024,February,2024,1,0.25,$32 
Canteen One,PFS 1.15oz 300 ct,#ERROR!,#ERROR!,50%,$126.76 ,3/1/2024,March,2024,10,5,$634 
Canteen One,HFS 1.15oz 300 ct,#ERROR!,#ERROR!,50%,$126.76 ,3/1/2024,March,2024,10,5,$634 
Chef Ann Foundation,PFS 5LB,#ERROR!,#ERROR!,50%,$81.60 ,1/15/2024,January,2024,3,1.5,$122 
Colorado State University,PFS 5LB,#ERROR!,#ERROR!,25%,$81.60 ,2/1/2024,February,2024,1,0.25,$20 
Dartmouth College,PFS 5LB,#ERROR!,#ERROR!,25%,$81.60 ,3/1/2024,March,2024,1,0.25,$20 
Duke University,PFS 5LB,#ERROR!,#ERROR!,25%,$81.60 ,3/1/2024,March,2024,1,0.25,$20 
Godfather's Pizza,HFS 6LB,#ERROR!,#ERROR!,50%,$32.64 ,6/1/2024,June,2024,1,0.5,$16 
Gold Star Foods,PFS 1.15oz 300 ct,#ERROR!,#ERROR!,100%,$126.76 ,11/1/2023,November,2023,300,300,"$38,028 "
Gold Star Foods,HFS 1.15oz 300 ct,#ERROR!,#ERROR!,100%,$126.76 ,11/1/2023,November,2023,50,50,"$6,338 "
Greco & Sons,PFS 1.15oz 300 ct,#ERROR!,#ERROR!,50%,$126.76 ,2/1/2024,February,2024,2,1,$127 
Greco & Sons,HFS 1.15oz 300 ct,#ERROR!,#ERROR!,50%,$126.76 ,2/1/2024,February,2024,2,1,$127 
Elizabethtown College,PFS 5LB,#ERROR!,#ERROR!,75%,$81.60 ,1/15/2024,January,2024,1,0.75,$61 
Envision Group,PFS 1.15oz 300 ct,#ERROR!,#ERROR!,50%,$126.76 ,3/1/2024,March,2024,27,13.5,"$1,711 "
Ferraro Foods,PFS 1.15oz 300 ct,#ERROR!,#ERROR!,25%,$126.76 ,2/1/2024,February,2024,1,0.25,$32 
Ferraro Foods,HFS 1.15oz 300 ct,#ERROR!,#ERROR!,25%,$126.76 ,2/1/2024,February,2024,1,0.25,$32 
FireRoad Foods,PFS 1.15oz 300 ct,#ERROR!,#ERROR!,75%,$126.76 ,11/1/2023,November,2023,1,0.75,$95 
FireRoad Foods,PFS 5LB,#ERROR!,#ERROR!,50%,$81.60 ,1/15/2023,January,2023,1,0.5,$41 
George Washington University,PFS 5LB,#ERROR!,#ERROR!,25%,$81.60 ,2/1/2024,February,2024,1,0.25,$20 
Howard University,PFS 5LB,#ERROR!,#ERROR!,25%,$81.60 ,2/1/2024,February,2024,1,0.25,$20 
Indiana University,PFS 5LB,#ERROR!,#ERROR!,100%,$81.60 ,9/11/2023,September,2023,2,2,$163 
Indiana University,HFS 6LB,#ERROR!,#ERROR!,100%,$32.64 ,9/11/2023,September,2023,4,4,$131 
Kent School,PFS 1.15oz 300 ct,#ERROR!,#ERROR!,25%,$126.76 ,2/1/2024,February,2024,5,1.25,$158 
Kent State University,PFS 5LB,#ERROR!,#ERROR!,75%,$81.60 ,11/1/2023,November,2023,1,0.75,$61 
