Texto46,Texto44,Texto48,Date,receipt,third-party name,CUIT,Taxed ,VAT tax,withholdings,exempt,ITC tax,total amount,,,
,,,12/12/2022,FCC A-0005-00009053,SAVORGNANO SG SA,20-13344695-9,"$ 1,898.48",$ 398.68,$ 0.00,$ 0.00,$ 0.00,"$ 2,297.16",,,
,,,12/23/2022,FCC A-0002-00728269,PREVENCION SALUD S.A.,30-71304500-0,$ 0.00,$ 0.00,$ 0.00,"$ 16,387.94",$ 0.00,"$ 16,387.94",,,
,,,12/23/2022,FCC A-0002-00728671,PREVENCION SALUD S.A.,30-71304500-0,"$ 33,771.00","$ 3,545.96",$ 0.00,$ 0.00,$ 0.00,"$ 37,316.96",,,
,,,1/6/2023,FCC A-0005-00003640,DOLTIN S.A.S.,33-71676153-9,"$ 6,333.58","$ 1,330.05",$ 0.00,$ 0.00,$ 0.00,"$ 7,663.63",,,
,,,1/7/2023,FCC A-0006-00000084,MOSCIARO FE SA,20-17733568-2,$ 471.90,$ 99.10,$ 0.00,$ 0.00,$ 0.00,$ 571.00,,,
,,,1/11/2023,NCC A-0002-00069558,PREVENCION SALUD S.A.,30-71304500-0,$ 0.00,$ 0.00,$ 0.00,"$-25,867.54",$ 0.00,"$-25,867.54",,,
,,,1/25/2023,FCC A-0002-00749996,PREVENCION SALUD S.A.,30-71304500-0,"$ 22,514.00","$ 2,363.97",$ 0.00,$ 0.00,$ 0.00,"$ 24,877.97",,,
,,,1/25/2023,FCC A-0002-00750464,PREVENCION SALUD S.A.,30-71304500-0,$ 0.00,$ 0.00,$ 0.00,"$ 123,827.00",$ 0.00,"$ 123,827.00",,,
,,,1/28/2023,FCC A-0003-08655303,COOPERACION MUTUAL PATRONAL SOCIEDAD MUTUAL D,30-50004717-4,"$ 8,151.19","$ 1,711.75",$ 0.00,"$ 1,593.06",$ 0.00,"$ 11,456.00",,,
,,,1/28/2023,FCC A-0003-08655307,COOPERACION MUTUAL PATRONAL SOCIEDAD MUTUAL D,30-50004717-4,"$ 8,000.14","$ 1,680.03",$ 0.00,"$ 1,559.83",$ 0.00,"$ 11,240.00",,,
,,,1/31/2023,FCC A-0002-00000346,GONZALEZ JD SA,20-21694240-0,"$ 179,470.00","$ 37,688.70",$ 0.00,$ 0.00,$ 0.00,"$ 217,158.70",,,
,,,2/1/2023,FCC A-0001-00038370,CENTRAL DISTRIBUCIONES S.A.,30-71673398-6,"$ 4,688.80",$ 984.65,$ 0.00,$ 407.93,$ 0.00,"$ 6,081.38",,,
,,,2/1/2023,FCC A-0002-00004160,LLORENS MMJ SA,20-24474542-4,"$ 4,314.00",$ 905.94,$ 0.00,$ 0.00,$ 0.00,"$ 5,219.94",,,
,,,2/1/2023,FCC A-0002-00004907,AMOR Y PAZ SERVICIOS SAS,30-71651019-7,"$ 3,076.92",$ 323.08,$ 0.00,$ 0.00,$ 0.00,"$ 3,400.00",,,
,,,2/1/2023,FCC A-0003-00029852,MACCIO JA SA,20-17457499-6,"$ 85,292.39","$ 15,273.11",$ 0.00,$ 0.00,$ 0.00,"$ 100,565.50",,,
,,,2/1/2023,FCC A-0004-00002701,SERVICIOS DE VENTA DIRECTA S.A.,30-68516165-2,"$ 37,400.00","$ 7,854.00",$ 0.00,$ 0.00,$ 0.00,"$ 45,254.00",,,
,,,2/1/2023,FCC A-0004-00020066,COOPELCAR,30-54581380-3,"$ 3,251.10",$ 682.73,$ 0.00,$ 0.00,$ 0.00,"$ 3,933.83",,,
,,,2/1/2023,FCC A-0004-00020085,COOPELCAR,30-54581380-3,"$ 5,891.37","$ 1,237.19",$ 0.00,$ 1.44,$ 0.00,"$ 7,130.00",,,
,,,2/1/2023,FCC A-0005-00017513,PASTORE JC SA,20-05270426-0,"$ 8,159.26","$ 1,713.44",$ 0.00,$ 0.00,$ 0.00,"$ 9,872.70",,,
,,,2/1/2023,FCC A-0007-00000557,COOPERATIVA DE ELECTRICIDAD CHUCUL,30-55483593-3,"$ 50,702.55","$ 13,689.69",$ 0.00,"$ 1,587.76",$ 0.00,"$ 65,980.00",,,
