Response_submit,response_id,What is your state of residency?,What is your age?,Have you ever purchased travel insurance?,Are you interested in purchasing travel insurance?,How much are you wiling to pay for travel insurance ($)?,How long are you traveling for (days)?,Where are you planning on going?
09/07/2023,1,NC,45,No,Yes,130,16,WA
09/07/2023,2,FL,67,Yes,Yes,120,20,WA
09/07/2023,3,FL,37,Yes,Yes,90,9,AK
09/07/2023,4,NY,59,No,Yes,100,22,AK
09/07/2023,5,FL,36,Yes,Yes,50,11,MI
09/07/2023,6,AL,67,No,Yes,100,16,FL
09/07/2023,7,FL,43,No,Yes,40,13,FL
09/07/2023,8,AL,32,No,Yes,30,9,CA
09/07/2023,9,FL,55,Yes,Yes,150,18,MI
09/07/2023,10,GA,42,No,No,10,25,AK
09/07/2023,11,FL,31,No,No,20,18,CA
09/07/2023,12,FL,51,No,Yes,80,14,WA
09/07/2023,13,AL,49,No,No,10,23,AK
09/07/2023,14,GA,45,Yes,Yes,110,19,MI
09/07/2023,15,AL,37,Yes,Yes,70,13,AK
09/07/2023,16,GA,39,Yes,No,0,14,MI
09/07/2023,17,GA,64,Yes,No,20,11,CA
09/07/2023,18,AL,28,No,No,10,9,WA
09/07/2023,19,FL,51,No,Yes,120,15,CA
09/07/2023,20,GA,53,Yes,Yes,130,6,AK
09/07/2023,21,FL,30,Yes,Yes,120,17,FL
09/07/2023,22,AL,56,No,Yes,110,5,MI
09/07/2023,23,FL,34,Yes,Yes,120,18,CA
09/07/2023,24,FL,45,No,Yes,130,11,FL
09/07/2023,25,NC,49,Yes,Yes,70,13,AK
09/07/2023,26,GA,39,No,No,10,16,MI
09/07/2023,27,NY,55,Yes,Yes,110,19,CA
09/07/2023,28,GA,29,No,Yes,80,8,CA
09/07/2023,29,AL,49,No,Yes,90,8,AK
09/07/2023,30,NC,50,No,Yes,140,16,AK
09/07/2023,31,NY,61,Yes,No,0,15,CA
09/07/2023,32,FL,38,No,No,0,13,CA
09/07/2023,33,NY,33,Yes,No,0,12,FL
09/07/2023,34,FL,67,No,Yes,50,14,AK
09/07/2023,35,FL,52,No,Yes,130,15,FL
09/07/2023,36,NY,61,No,No,0,23,CA
09/07/2023,37,GA,67,Yes,Yes,50,8,WA
09/07/2023,38,NC,39,Yes,Yes,60,22,WA
09/07/2023,39,NY,30,No,Yes,60,18,AK
09/07/2023,40,GA,66,Yes,Yes,150,23,MI
09/07/2023,41,GA,56,No,Yes,140,23,AK
09/07/2023,42,NY,29,No,No,0,26,FL
09/07/2023,43,FL,41,No,Yes,100,6,CA
09/07/2023,44,FL,28,No,Yes,60,8,FL
09/07/2023,45,FL,60,No,Yes,60,10,AK
09/07/2023,46,NY,44,Yes,No,20,16,MI
09/08/2023,47,NC,49,No,Yes,120,12,AK
09/08/2023,48,NY,47,No,No,10,19,CA
09/08/2023,49,GA,58,Yes,Yes,100,8,FL
09/08/2023,50,FL,46,No,Yes,140,13,WA
09/08/2023,51,NC,47,No,No,10,5,CA
09/08/2023,52,AL,54,Yes,No,20,13,FL
09/08/2023,53,NY,57,No,No,20,11,MI
09/08/2023,54,FL,54,No,No,0,15,MI
09/08/2023,55,GA,46,No,Yes,120,20,AK
09/08/2023,56,GA,60,Yes,Yes,80,21,FL
09/08/2023,57,NY,36,Yes,Yes,130,14,CA
09/08/2023,58,NC,34,No,No,10,21,CA
09/08/2023,59,AL,66,Yes,Yes,110,12,FL
09/08/2023,60,FL,31,No,No,10,5,FL
09/08/2023,61,FL,30,Yes,Yes,30,7,WA
09/08/2023,62,NC,49,No,Yes,30,24,FL
09/09/2023,63,NC,35,Yes,No,10,11,FL
09/09/2023,64,AL,66,No,No,0,14,MI
09/09/2023,65,NC,62,Yes,No,0,7,AK
09/09/2023,66,NC,45,Yes,No,0,17,WA
09/09/2023,67,FL,34,No,Yes,70,13,WA
09/09/2023,68,NY,55,No,Yes,100,16,FL
09/09/2023,69,FL,30,No,Yes,80,10,CA
09/09/2023,70,NY,37,Yes,No,20,14,WA
09/09/2023,71,GA,40,No,Yes,50,13,MI
09/09/2023,72,GA,51,Yes,Yes,90,11,MI
09/09/2023,73,NC,61,No,Yes,140,15,FL
09/09/2023,74,NC,37,No,No,10,16,CA
09/10/2023,75,AL,60,No,Yes,40,11,WA
09/10/2023,76,FL,38,No,No,10,22,WA
09/10/2023,77,GA,53,No,No,10,8,AK
09/10/2023,78,AL,34,No,Yes,40,18,FL
09/11/2023,79,GA,40,No,Yes,30,13,AK
09/11/2023,80,FL,42,Yes,Yes,120,13,AK
09/19/2023,81,FL,57,Yes,Yes,140,11,CA
09/21/2023,82,FL,48,Yes,Yes,120,21,FL
09/23/2023,83,NC,61,Yes,Yes,60,15,WA
09/23/2023,84,GA,45,Yes,Yes,40,18,CA
10/01/2023,85,NC,60,Yes,No,0,25,WA
