Date Purchased,Type of wood,Price per board foot,Feet sold,Total Price,Boards longer than 10'
2/25/2023,Red oak,6.80,12,81.60,1
7/1/2023,Knotty pine,3.80,51,193.80,3
6/27/2023,Maple,5.35,80,428.00,4
3/12/2023,Ambrosia Maple,7.00,32,224.00,1
3/6/2023,White pine,1.75,42,73.50,2
4/3/2023,Red oak,6.80,89,605.20,4
5/6/2023,Knotty pine,3.80,56,212.80,0
6/5/2023,Red oak,6.80,64,435.20,0
8/29/2023,White oak,9.25,93,860.25,4
6/13/2023,White oak,9.25,3,27.75,0
5/18/2023,Red oak,6.80,35,238.00,1
3/30/2023,White oak,9.25,43,397.75,2
11/2/2023,White oak,9.25,42,388.50,2
5/18/2023,Red oak,6.80,79,537.20,3
11/19/2023,Ambrosia Maple,3.00,98,294.00,3
6/13/2023,Cherry,4.95,99,490.05,1
8/22/2023,Cherry,4.95,15,74.25,1
5/20/2023,Ambrosia Maple,6.95,46,319.70,1
1/20/2023,Paduak,13.75,95,1306.25,7
11/14/2023,Paduak,11.00,28,308.00,2
1/16/2023,Paduak,13.75,87,1196.25,3
1/19/2023,Ash,4.10,66,270.60,5
5/2/2023,Cedar,6.99,79,552.21,3
5/3/2023,Birch,6.99,38,265.62,2
8/9/2023,Walnut,11.70,44,514.80,1
9/17/2023,Walnut,11.70,91,1064.70,6
9/2/2023,Knotty pine,3.80,31,117.80,2
10/17/2023,White oak,9.00,92,828.00,6
3/26/2023,White oak,9.25,47,434.75,4
1/29/2023,Red oak,6.80,71,482.80,5
2/21/2023,Ambrosia Maple,7.00,25,175.00,1
6/30/2023,Cherry,4.40,85,374.00,5
8/26/2023,Cherry,4.39,37,162.43,1
5/7/2023,Ambrosia Maple,7.00,29,203.00,1
10/18/2023,Paduak,11.00,66,726.00,3
5/17/2023,Paduak,13.75,31,426.25,2
10/10/2023,Paduak,11.00,20,220.00,1
1/13/2023,Ash,4.10,18,73.80,1
2/12/2023,Cedar,6.99,21,146.79,1
1/5/2023,Birch,7.10,61,433.10,0
5/29/2023,Walnut,11.70,83,971.10,0
3/3/2023,Walnut,11.70,88,1029.60,4
8/4/2023,Knotty pine,3.80,50,190.00,3
9/19/2023,White pine,1.79,84,150.36,2
3/22/2023,Mahogany,14.50,78,1131.00,6
1/1/2023,White pine,1.79,8,14.32,0
1/20/2023,Maple,5.35,47,251.45,2
3/1/2023,Ambrosia Maple,7.00,18,126.00,1
10/5/2023,Paduak,13.75,65,893.75,3
5/16/2023,Walnut,11.70,45,526.50,2
1/21/2023,Walnut,11.70,92,1076.40,5
7/12/2023,Knotty pine,3.80,97,368.60,5
9/10/2023,White oak,9.25,24,222.00,1
4/4/2023,White oak,9.25,14,129.50,0
8/29/2023,Red oak,6.80,95,646.00,6
4/16/2023,Ambrosia Maple,7.00,81,567.00,4
8/22/2023,Cherry,4.50,43,193.50,2
6/29/2023,Cherry,4.50,7,31.50,0
6/21/2023,Paduak,13.75,22,302.50,0
12/14/2023,Paduak,11.00,12,132.00,0
11/7/2023,Paduak,13.75,61,838.75,2
10/17/2023,Paduak,11.00,3,33.00,0
3/13/2023,Ash,4.10,1,4.10,0
8/19/2023,Cedar,6.99,60,419.40,3
1/22/2023,Birch,6.99,51,356.49,2
6/17/2023,Walnut,11.70,83,971.10,4
3/26/2023,White oak,9.25,70,647.50,2
4/22/2023,Red oak,6.80,32,217.60,1
4/11/2023,Ambrosia Maple,7.00,34,238.00,1
10/15/2023,Cherry,4.75,98,465.50,5
4/13/2023,Cherry,4.75,58,275.50,2
9/11/2023,White oak,9.25,37,342.25,1
1/25/2023,Paduak,13.75,5,68.75,0
4/21/2023,Ash,4.10,88,360.80,4
6/29/2023,Cedar,6.99,36,251.64,1
12/7/2023,Birch,6.95,98,681.10,5
5/10/2023,Walnut,11.70,94,1099.80,2
8/31/2023,Walnut,11.70,97,1134.90,6
1/2/2023,White oak,9.25,79,730.75,2
11/3/2023,Red oak,6.80,70,476.00,4
2/13/2023,Ambrosia Maple,7.00,76,532.00,5
4/7/2023,Walnut,11.70,55,643.50,2
11/16/2023,Knotty pine,3.80,41,155.80,1
12/14/2023,White oak,8.00,47,376.00,0
3/14/2023,White oak,9.25,48,444.00,0
6/14/2023,Red oak,6.80,55,374.00,3
3/2/2023,Ambrosia Maple,7.10,21,149.10,1
1/8/2023,Cherry,4.75,96,456.00,5
5/11/2023,Cherry,4.70,85,399.50,3
11/5/2023,Red oak,6.80,71,482.80,4
4/8/2023,Ambrosia Maple,7.00,29,203.00,1
2/5/2023,Cherry,4.70,14,65.80,0
3/20/2023,Paduak,13.75,50,687.50,3
3/28/2023,Paduak,13.75,18,247.50,0
6/8/2023,White oak,9.25,70,647.50,4
8/1/2023,White oak,9.25,49,453.25,2
12/4/2023,Red oak,6.80,89,605.20,5
7/27/2023,Ambrosia Maple,7.00,6,42.00,0
1/23/2023,Cherry,4.70,88,413.60,3
9/11/2023,Cherry,4.70,73,343.10,0
6/22/2023,Ambrosia Maple,7.00,91,637.00,4
3/12/2023,Paduak,13.75,89,1223.75,2
5/21/2023,Paduak,13.75,58,797.50,3
12/4/2023,Paduak,11.00,75,825.00,1
3/8/2023,Paduak,13.75,85,1168.75,0
4/11/2023,White oak,9.25,100,925.00,3
1/20/2023,White oak,8.00,80,640.00,5
11/27/2023,Red oak,6.60,96,633.60,3
6/26/2023,Ambrosia Maple,7.00,52,364.00,2
3/31/2023,Cherry,4.70,8,37.60,0
7/6/2023,Cherry,4.70,30,141.00,1
10/24/2023,Ambrosia Maple,7.00,42,294.00,2
9/1/2023,Paduak,13.75,2,27.50,0
1/20/2023,Paduak,11.00,47,517.00,2
5/3/2023,Paduak,13.75,50,687.50,3
4/11/2023,Red oak,6.80,1,6.80,0
5/23/2023,Ambrosia Maple,7.00,38,266.00,2
11/28/2023,Cherry,4.70,91,427.70,5
10/25/2023,Cherry,4.70,31,145.70,2
9/23/2023,Ambrosia Maple,6.70,39,261.30,1
6/26/2023,Paduak,13.75,91,1251.25,5
12/3/2023,Paduak,13.75,29,398.75,0
12/12/2023,Paduak,11.00,4,44.00,0
2/2/2023,Paduak,13.75,63,866.25,4
2/12/2023,Paduak,13.75,23,316.25,1
8/2/2023,Paduak,13.75,7,96.25,0
7/18/2023,Ambrosia Maple,7.00,77,539.00,6
3/11/2023,Cherry,4.70,43,202.10,3
1/9/2023,Cherry,4.70,40,188.00,3
5/2/2023,Paduak,13.75,94,1292.50,6
1/24/2023,Paduak,11.00,92,1012.00,7
1/28/2023,White oak,9.25,88,814.00,4
5/31/2023,Paduak,13.75,56,770.00,4
3/28/2023,Ash,4.10,52,213.20,2
6/24/2023,Cedar,6.99,12,83.88,0
2/11/2023,Birch,6.89,69,475.41,6
3/9/2023,Walnut,11.70,90,1053.00,6
10/6/2023,Paduak,13.75,21,288.75,0
6/20/2023,Ash,4.10,75,307.50,5
5/12/2023,Cedar,6.99,87,608.13,2
2/27/2023,White oak,9.25,48,444.00,3
2/28/2023,Paduak,13.75,58,797.50,5
3/28/2023,Ash,4.10,56,229.60,3
3/18/2023,Cedar,6.99,58,405.42,3
10/25/2023,Birch,6.99,91,636.09,6
5/25/2023,Walnut,11.70,54,631.80,3
4/22/2023,Ambrosia Maple,7.00,92,644.00,2
2/1/2023,Cherry,4.69,1,4.69,0
9/19/2023,Cherry,4.69,14,65.66,0
12/8/2023,Paduak,11.00,76,836.00,3
12/1/2023,Ash,4.10,1,4.10,0
7/11/2023,Cedar,4.99,70,349.30,4
2/2/2023,Birch,6.99,8,55.92,0
2/25/2023,Walnut,11.70,45,526.50,3
9/3/2023,Paduak,13.75,71,976.25,4
12/19/2023,Red oak,6.50,78,507.00,6
