"order_itemid","orderid","partID","description","quantity","price","totalPrice"
"3001","227","10099971  ","TimeWise® Matte 3D Foundation Beige W 160","1","25.00","25.00"
"3002","227","10099963  ","TimeWise® Matte 3D Foundation Ivory N 160","1","25.00","25.00"
"3003","227","10099965  ","TimeWise® Matte 3D Foundation Beige W 100","1","25.00","25.00"
"3004","227","10099967  ","TimeWise® Matte 3D Foundation Beige C 120","2","25.00","50.00"
"3005","227","10214628  ","Limited-Edition  Heart-Shaped Foundation Brush","5","5.00","25.00"
"3006","227","10091504  ","White Tea & Citrus Satin Body® Revitalizing Shea Scrub","6","20.00","120.00"
"3007","227","10202027  ","Limited-Edition  Lip Balm Set  Sweet Berry and Tropical Guava","6","16.00","96.00"
"3008","227","10047376  ","TimeWise Repair® Volu-Firm® Eye Renewal Cream","2","44.00","88.00"
"3009","227","10203690  ","Limited-Edition  Lip & Cheek Cream Blush Mauve Sunset","3","14.00","42.00"
"3010","227","10203689  ","Limited-Edition  Lip & Cheek Cream Blush Peach Shimmer","3","14.00","42.00"
"3011","227","10203692  ","Limited-Edition  Lip & Cheek Cream Blush Spiced Berry","3","14.00","42.00"
"3012","227","10203249  ","Special-Edition  Matte Liquid Lipstick Burgundy Orchid","3","20.00","60.00"
"3013","227","10203248  ","Special-Edition  Matte Liquid Lipstick Classic Red","3","20.00","60.00"
"3014","227","10203252  ","Special-Edition  Matte Liquid Lipstick Modern Nude","3","20.00","60.00"
"3015","227","10203251  ","Special-Edition  Matte Liquid Lipstick Must-Have Mauve","4","20.00","80.00"
"3016","227","10203250  ","Special-Edition  Matte Liquid Lipstick Rich Espresso","2","20.00","40.00"
"3017","227","10125872  ","Mint Bliss„¢ Energizing Lotion for Feet & Legs","6","12.00","72.00"
"3018","227","10029726  ","Oil-Free Eye Makeup Remover","6","18.00","108.00"
"3019","227","10142038  ","Lash Love Fanorama„¢ Mascara I ¥ black","4","16.00","64.00"
"3020","227","10089020  ","TimeWise Miracle Set 3D The Go Set - Combination/Oily Combination/Oily","3","28.00","84.00"
"3021","227","10203691  ","Limited-Edition  Lip & Cheek Cream Blush Luxe Lilac","3","14.00","42.00"
