Date,Type,Airbnb Account ID,Payout ID,Confirmation Code,Start Date,Nights,Guest,Listing,Internal Listing Name,Listing ID,Details,Reference,Currency,Amount,Paid Out,Host Fee,Cleaning Fee,Gross Earnings,Occupancy Taxes,Earnings Year
12/04/2023,Co-Host payout,249736733,,HMYTCMXARC,12/03/2023,5,Guest 1,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,-56.06,,,0,,-6.6,
12/04/2023,Pass Through Tot,249736733,,HMYTCMXARC,12/03/2023,5,Guest 1,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,"Dec 3 – 8, 2023 HMYTCMXARC",,USD,26.38,,0,0,26.38,0,
12/04/2023,Reservation,249736733,,HMYTCMXARC,12/03/2023,5,Guest 1,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,560.57,,98.93,160,659.5,65.95,
11/24/2023,Resolution Payout,249736733,,HMCFT4PHMD,11/23/2023,4,Guest 2,Charming & Cozy 3bd 2.5 bath near Park Circle,,712254237686473161,Resolution payout for resolution CLA-Z2TZB43SF9 - Reservation HMCFT4PHMD,,USD,100,,,,100,,
11/24/2023,Pass Through Tot,249736733,,HMCFT4PHMD,11/23/2023,4,Guest 2,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,"Nov 23 – 27, 2023 HMCFT4PHMD",,USD,32.63,,0,0,32.63,0,
11/24/2023,Co-Host payout,249736733,,HMCFT4PHMD,11/23/2023,4,Guest 2,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,-69.33,,,0,,-8.16,
11/24/2023,Reservation,249736733,,HMCFT4PHMD,11/23/2023,4,Guest 2,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,693.33,,122.35,160,815.68,81.56,
11/11/2023,Reservation,249736733,,HM2E3PP5NF,11/10/2023,2,Guest 3,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,413.36,,72.95,150,486.31,48.63,
11/11/2023,Co-Host payout,249736733,,HM2E3PP5NF,11/10/2023,2,Guest 3,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,-41.33,,,0,,-4.86,
11/11/2023,Pass Through Tot,249736733,,HM2E3PP5NF,11/10/2023,2,Guest 3,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,"Nov 10 – 12, 2023 HM2E3PP5NF",,USD,19.45,,0,0,19.45,0,
11/04/2023,Reservation,249736733,,HMXTWH934W,11/03/2023,2,Guest 4,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,424.32,,74.88,150,499.2,49.92,
11/04/2023,Co-Host payout,249736733,,HMXTWH934W,11/03/2023,2,Guest 4,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,-42.43,,,0,,-4.99,
11/04/2023,Pass Through Tot,249736733,,HMXTWH934W,11/03/2023,2,Guest 4,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,"Nov 3 – 5, 2023 HMXTWH934W",,USD,19.97,,0,0,19.97,0,
10/28/2023,Co-Host payout,249736733,,HMJ3JHFCNE,10/27/2023,2,Guest 5,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,-42.27,,,0,,-4.97,
10/28/2023,Pass Through Tot,249736733,,HMJ3JHFCNE,10/27/2023,2,Guest 5,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,"Oct 27 – 29, 2023 HMJ3JHFCNE",,USD,19.89,,0,0,19.89,0,
10/28/2023,Reservation,249736733,,HMJ3JHFCNE,10/27/2023,2,Guest 5,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,422.67,,74.59,150,497.26,49.73,
10/15/2023,Reservation,249736733,,HM38S4CNMB,10/14/2023,8,Guest 6,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,1007.33,,177.77,160,1185.1,118.51,
10/15/2023,Co-Host payout,249736733,,HM38S4CNMB,10/14/2023,8,Guest 6,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,-100.73,,,0,,-11.85,
10/15/2023,Pass Through Tot,249736733,,HM38S4CNMB,10/14/2023,8,Guest 6,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,"Oct 14 – 22, 2023 HM38S4CNMB",,USD,47.4,,0,0,47.4,0,
10/12/2023,Co-Host payout,249736733,,HMZFKNWCYF,10/11/2023,3,Guest 7,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,-42.5,,,0,,-5,
10/12/2023,Pass Through Tot,249736733,,HMZFKNWCYF,10/11/2023,3,Guest 7,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,"Oct 11 – 14, 2023 HMZFKNWCYF",,USD,20,,0,0,20,0,
10/12/2023,Reservation,249736733,,HMZFKNWCYF,10/11/2023,3,Guest 7,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,425,,75,0,500,50,
10/07/2023,Pass Through Tot,249736733,,HM5QTSBM8P,10/06/2023,3,Guest 8,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,"Oct 6 – 9, 2023 HM5QTSBM8P",,USD,41.2,,0,0,41.2,0,
10/07/2023,Reservation,249736733,,HM5QTSBM8P,10/06/2023,3,Guest 8,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,875.58,,154.51,160,1030.09,103.01,
10/07/2023,Co-Host payout,249736733,,HM5QTSBM8P,10/06/2023,3,Guest 8,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,-87.56,,,0,,-10.3,
09/27/2023,Reservation,249736733,,HM98PS5WSX,09/26/2023,4,Guest 9,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,620.7,,109.54,160,730.24,73.02,
09/27/2023,Pass Through Tot,249736733,,HM98PS5WSX,09/26/2023,4,Guest 9,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,"Sep 26 – 30, 2023 HM98PS5WSX",,USD,29.21,,0,0,29.21,0,
09/27/2023,Co-Host payout,249736733,,HM98PS5WSX,09/26/2023,4,Guest 9,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,-62.07,,,0,,-7.3,
09/15/2023,Reservation,249736733,,HMDFR5TAHB,09/14/2023,3,Guest 10,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,501.5,,88.5,0,590,59,
09/15/2023,Pass Through Tot,249736733,,HMDFR5TAHB,09/14/2023,3,Guest 10,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,"Sep 14 – 17, 2023 HMDFR5TAHB",,USD,23.6,,0,0,23.6,0,
09/15/2023,Co-Host payout,249736733,,HMDFR5TAHB,09/14/2023,3,Guest 10,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,-50.15,,,0,,-5.9,
09/02/2023,Reservation,249736733,,HMF8HTQZQY,09/01/2023,2,Guest 11,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,621.35,,109.65,0,731,73.1,
09/02/2023,Pass Through Tot,249736733,,HMF8HTQZQY,09/01/2023,2,Guest 11,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,"Sep 1 – 3, 2023 HMF8HTQZQY",,USD,29.24,,0,0,29.24,0,
09/02/2023,Co-Host payout,249736733,,HMF8HTQZQY,09/01/2023,2,Guest 11,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,-62.14,,,0,,-7.31,
08/19/2023,Co-Host payout,249736733,,HMPEEQEHXP,08/18/2023,2,Guest 12,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,-51.19,,,0,,-6.02,
08/19/2023,Reservation,249736733,,HMPEEQEHXP,08/18/2023,2,Guest 12,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,511.87,,90.33,150,602.2,60.22,
08/12/2023,Co-Host payout,249736733,,HM2CBMJAYC,08/11/2023,2,Guest 13,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,-52,,,0,,-6.12,
08/12/2023,Reservation,249736733,,HM2CBMJAYC,08/11/2023,2,Guest 13,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,519.96,,91.76,150,611.72,61.17,
08/06/2023,Co-Host payout,249736733,,HMA3XK84X2,08/05/2023,5,Guest 14,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,-78.12,,,0,,-9.19,
08/06/2023,Reservation,249736733,,HMA3XK84X2,08/05/2023,5,Guest 14,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,781.15,,137.85,0,919,91.9,
07/30/2023,Reservation,249736733,,HMTCRXRPFD,07/29/2023,3,Guest 15,Charming & Cozy 3bd 2.5 bath near Park Circle,Pineapple Place,712254237686473161,,,USD,727.47,,128.38,150,855.85,85.59,
