HOLII SAPI DE CV - Space Statistics
User,carla.mccadden@holii.mx
Last refreshed,12/14/23 08:24:07 UTC
Timeframe,Lifetime

Space name,Space Details URL,Parent folder name,Internal ID,Presented By,Contact name,Address,Public status,Deleted status,Created Date,Impressions,Visits,Unique Visitors
Casa Gobi,https://my.matterport.com/models/3MTEo5RRb8w/,Concierge Auctions,,Holii.mx,,"Casa Gobi, Tulum",Public,Not Deleted,12/12/23,3,3,2
Park Plaza Torre II - oficina 205,https://my.matterport.com/models/Tknm4wbSmkh/,Park Plaza Torre II,,Holii.mx,,,Public,Not Deleted,12/11/23,0,0,0
Cisterna,https://my.matterport.com/models/dqevTUzjj3f/,Alberto Garcia,,Holii.mx,,,Public,Not Deleted,11/28/23,21,21,3
Vivace Casa Tipo B,https://my.matterport.com/models/BJdrCjHKTCo/,Dmente Publicidad,,Holii.mx,,,Public,Not Deleted,11/21/23,122,80,59
CASA MODELO MONACO 2,https://my.matterport.com/models/MFakhxYNQHp/,Vimo,,Holii.mx,,,Public,Not Deleted,11/17/23,132,111,48
CASA MODELO JADE,https://my.matterport.com/models/kasrPTM71NM/,Vimo,,Holii.mx,,,Public,Not Deleted,11/17/23,64,53,29
DEPTO VIMO,https://my.matterport.com/models/yGvBiqDp38m/,Vimo,,Holii.mx,,,Public,Not Deleted,11/17/23,761,182,130
Residencial Celestún - Modelo Arena,https://my.matterport.com/models/7VpBbK1BqP6/,Nivel 1 Constructora,,Holii.mx,,,Public,Not Deleted,11/14/23,228,83,55
Residencial Celestún - Modelo Mar,https://my.matterport.com/models/iWXbb3GfTDm/,Nivel 1 Constructora,,Holii.mx,,"Cuautlancingo, Pue., 72705, México",Public,Not Deleted,11/14/23,259,93,60
farmapiel,https://my.matterport.com/models/usrY8w2Ry9y/,farmapiel,,Holii.mx,,,Not Public,Not Deleted,11/10/23,0,0,0
Totalsec,https://my.matterport.com/models/3Kvjb5i6DuV/,Impulso Virtual,,Holii.mx,,,Public,Not Deleted,11/08/23,1,1,1
Interlomas,https://my.matterport.com/models/r4MLCgATRW3/,Jemil,,Holii.mx,,,Public,Not Deleted,11/06/23,1,1,1
Casa Jarana (sin muebles),https://my.matterport.com/models/ZemqbJEApKb/,Casa Jarana,,Holii.mx,,,Public,Not Deleted,11/03/23,227,208,147
Casa Jarana,https://my.matterport.com/models/EuBMyLn8Zxa/,Casa Jarana,,Holii.mx,,,Public,Not Deleted,11/03/23,441,406,284
Villas Xaltipa II - áreas comunes,https://my.matterport.com/models/jeopcYPNLHD/,Villas Xaltipa II 2023,,,,,Public,Not Deleted,10/27/23,478,177,167
farmapiel1,https://my.matterport.com/models/UEf4A2ce741/,farmapiel,,Holii.mx,,,Not Public,Not Deleted,10/27/23,0,0,0
Tecamachalco,https://my.matterport.com/models/YRwBAQdepm7/,Desiree Treviño,,Holii.mx,,,Public,Not Deleted,10/26/23,35,25,13
Vivace Casa Tipo A,https://my.matterport.com/models/SLqq7nguHyD/,Dmente Publicidad,,Holii.mx,,,Public,Not Deleted,10/11/23,361,258,179
Av Reforma,https://my.matterport.com/models/oavS3Rx4Wqe/,Jemil,,Holii.mx,,,Public,Not Deleted,10/10/23,123,107,41
Plaza Madin,https://my.matterport.com/models/mQ1Hq7NbRaU/,Jemil,,Holii.mx,,,Public,Not Deleted,10/10/23,112,93,37
Granados,https://my.matterport.com/models/mASNNBLZd6a/,IM Desarrollos,,Holii.mx,,,Public,Not Deleted,10/04/23,974,658,366
Ladera 48,https://my.matterport.com/models/5mzNh6f5eq8/,Pablo Gomez (Beleta),,Holii.mx,,,Public,Not Deleted,10/03/23,60,36,17
Desierto de los Leones 4855,https://my.matterport.com/models/JcfjgzxZaNE/,Pablo Gomez (Beleta),,Holii.mx,,,Public,Not Deleted,10/03/23,126,69,24
Ikaya,https://my.matterport.com/models/X3CFyuDyrRk/,Ikaya,,Holii.mx,,"14INT-5 Calle 19, Miguel Hidalgo, CDMX, 11650, México",Public,Not Deleted,09/28/23,108,82,44
Alpes,https://my.matterport.com/models/sfnm4YeTRKG/,Jemil,,Holii.mx,,Yama Mixcoac Jemil,Public,Not Deleted,09/19/23,5,5,2
