date,product_name,product_id,internal_cost,selling_price,salesperson,category,category_id,quantity_sold,total_revenue,profit,electronic_bill
7/3/2023,Stainless Steel Cleaner 1L SecoCleaner,SSC001 ," $  1,816.50 "," $  2,906.40 ",oviedo95,Surface Cleaners,23,1," $  2,906.40 "," $  1,089.90 ",1
7/4/2023,Fabric Freshener Poet 250ml,FF003 , $  695.10 ," $  1,112.16 ",lamartinez,Surface Cleaners,23,6," $  6,672.96 "," $  2,502.36 ",0
7/4/2023,Disposable Cleaning Wipes x40 Bialcohol,DCW014 ," $  1,624.00 "," $  2,598.40 ",lamartinez,Disposable and Convenience,21,5," $  12,992.00 "," $  4,872.00 ",1
7/4/2023,Microfiber Cleaning Cloths x1 (35 x 40cm),MCC012 , $  909.30 ," $  1,454.88 ",fherrera,Cleaning Tools,22,6," $  8,729.28 "," $  3,273.48 ",1
7/4/2023,Dusting Spray RD90 130gr,DS008 ," $  4,200.00 "," $  6,720.00 ",lamartinez,Dusting and Polishing,18,2," $  13,440.00 "," $  5,040.00 ",1
7/4/2023,Cleaning Gloves Scotch Brite S,CG020 , $  184.10 , $  294.56 ,fherrera,Personal Protection,23,7," $  2,061.92 ", $  773.22 ,1
7/4/2023,Cleaning Gloves Scotch Brite S,CG020 , $  184.10 , $  294.56 ,oviedo95,Personal Protection,23,10," $  2,945.60 "," $  1,104.60 ",1
7/4/2023,Furniture Polish SecoCleaner 120cc,FP007 ," $  1,943.90 "," $  3,110.24 ",lamartinez,Furniture and Wood Care,17,2," $  6,220.48 "," $  2,332.68 ",0
7/4/2023,Microfiber Cleaning Cloths x5 (35 x 40cm),MCC016 ," $  4,269.30 "," $  6,830.88 ",fherrera,Cleaning Tools,22,10," $  68,308.80 "," $  25,615.80 ",0
7/4/2023,Lint Roller Scoth Brite ,LR015 ," $  1,085.00 "," $  1,736.00 ",lamartinez,Dusting and Polishing,18,10," $  17,360.00 "," $  6,510.00 ",0
7/4/2023,Wood Floor Cleaner 5L SecoCleaner,WFC009 ," $  5,904.50 "," $  9,447.20 ",lamartinez,Furniture and Wood Care,17,8," $  75,577.60 "," $  28,341.60 ",1
7/4/2023,Furniture Polish SecoCleaner 120cc,FP007 ," $  1,943.90 "," $  3,110.24 ",fherrera,Furniture and Wood Care,17,6," $  18,661.44 "," $  6,998.04 ",0
7/4/2023,Cleaning Gloves Scotch Brite M,CG021, $  205.10 , $  328.16 ,oviedo95,Personal Protection,23,7," $  2,297.12 ", $  861.42 ,1
7/5/2023,Lint Roller Scoth Brite ,LR015 ," $  1,085.00 "," $  1,736.00 ",fherrera,Dusting and Polishing,18,6," $  10,416.00 "," $  3,906.00 ",0
7/5/2023,Cleaning Gloves Scotch Brite L,CG022, $  219.10 , $  350.56 ,lamartinez,Personal Protection,23,10," $  3,505.60 "," $  1,314.60 ",0
7/5/2023,Oven Cleaner 5L Sutter,OC012 ," $  1,707.30 "," $  2,731.68 ",fherrera,Kitchen Cleaners,20,7," $  19,121.76 "," $  7,170.66 ",1
7/5/2023,Cleaning Gloves Scotch Brite M,CG021, $  205.10 , $  328.16 ,oviedo95,Personal Protection,23,7," $  2,297.12 ", $  861.42 ,0
7/5/2023,Fabric Freshener Poet 250ml,FF003 , $  695.10 ," $  1,112.16 ",fherrera,Surface Cleaners,23,6," $  6,672.96 "," $  2,502.36 ",0
7/5/2023,Cleaning Gloves Scotch Brite S,CG020 , $  184.10 , $  294.56 ,fherrera,Personal Protection,23,3, $  883.68 , $  331.38 ,0
7/5/2023,Lint Roller Scoth Brite ,LR015 ," $  1,085.00 "," $  1,736.00 ",fherrera,Dusting and Polishing,18,10," $  17,360.00 "," $  6,510.00 ",0
7/5/2023,Oven Cleaner 5L Sutter,OC012 ," $  1,707.30 "," $  2,731.68 ",lamartinez,Kitchen Cleaners,20,10," $  27,316.80 "," $  10,243.80 ",0
7/5/2023,Trash Bag Asurin Green x20 (45x60cm),TB018 , $  401.80 , $  642.88 ,fherrera,Personal Protection,23,4," $  2,571.52 ", $  964.32 ,0
7/5/2023,Microfiber Cleaning Cloths x1 (35 x 40cm),MCC012 , $  909.30 ," $  1,454.88 ",fherrera,Cleaning Tools,22,7," $  10,184.16 "," $  3,819.06 ",0
7/5/2023,Dusting Spray RD90 130gr,DS008 ," $  4,200.00 "," $  6,720.00 ",oviedo95,Dusting and Polishing,18,2," $  13,440.00 "," $  5,040.00 ",1
7/5/2023,Air Freshener Glade 360ml,AF004 , $  531.30 , $  850.08 ,lamartinez,Surface Cleaners,23,6," $  5,100.48 "," $  1,912.68 ",1
7/5/2023,Furniture Polish SecoCleaner 120cc,FP007 ," $  1,943.90 "," $  3,110.24 ",fherrera,Furniture and Wood Care,17,10," $  31,102.40 "," $  11,663.40 ",0
7/6/2023,Dusting Spray RD90 130gr,DS008 ," $  4,200.00 "," $  6,720.00 ",oviedo95,Dusting and Polishing,18,4," $  26,880.00 "," $  10,080.00 ",1
7/6/2023,Oven Cleaner 5L Sutter,OC012 ," $  1,707.30 "," $  2,731.68 ",lamartinez,Kitchen Cleaners,20,10," $  27,316.80 "," $  10,243.80 ",1
7/6/2023,Mop Head Promis Max Vileda,MH017 ," $  4,309.90 "," $  6,895.84 ",fherrera,Cleaning Tools,22,10," $  68,958.40 "," $  25,859.40 ",1
7/6/2023,Dishwasher Cleaner 1kg SUN,DCC013 , $  602.70 , $  964.32 ,fherrera,Kitchen Cleaners,20,6," $  5,785.92 "," $  2,169.72 ",1
7/6/2023,Microfiber Cleaning Cloths x5 (35 x 40cm),MCC016 ," $  4,269.30 "," $  6,830.88 ",lamartinez,Cleaning Tools,22,3," $  20,492.64 "," $  7,684.74 ",1
7/6/2023,Cleaning Gloves Scotch Brite S,CG020 , $  184.10 , $  294.56 ,oviedo95,Personal Protection,23,3, $  883.68 , $  331.38 ,1
7/6/2023,Mold and Mildew Remover 5L SecoCleaner,MMR010 ," $  5,791.10 "," $  9,265.76 ",oviedo95,Bathroom Cleaners,16,10," $  92,657.60 "," $  34,746.60 ",0
7/6/2023,Trash Bag Asurin Green x20 (45x60cm),TB018 , $  401.80 , $  642.88 ,oviedo95,Personal Protection,23,4," $  2,571.52 ", $  964.32 ,0
7/6/2023,Dusting Spray RD90 130gr,DS008 ," $  4,200.00 "," $  6,720.00 ",lamartinez,Dusting and Polishing,18,10," $  67,200.00 "," $  25,200.00 ",1
7/6/2023,Air Freshener Glade 360ml,AF004 , $  531.30 , $  850.08 ,lamartinez,Surface Cleaners,23,5," $  4,250.40 "," $  1,593.90 ",0
7/6/2023,Microfiber Cleaning Cloths x1 (35 x 40cm),MCC012 , $  909.30 ," $  1,454.88 ",fherrera,Cleaning Tools,22,10," $  14,548.80 "," $  5,455.80 ",1
7/6/2023,Trash Bag Asurin Green x20 (45x60cm),TB018 , $  401.80 , $  642.88 ,fherrera,Personal Protection,23,5," $  3,214.40 "," $  1,205.40 ",0
7/6/2023,Microfiber Cleaning Cloths x5 (35 x 40cm),MCC016 ," $  4,269.30 "," $  6,830.88 ",oviedo95,Cleaning Tools,22,6," $  40,985.28 "," $  15,369.48 ",1
7/6/2023,Trash Bag Asurin Green x20 (45x60cm),TB018 , $  401.80 , $  642.88 ,oviedo95,Personal Protection,23,2," $  1,285.76 ", $  482.16 ,1
7/6/2023,Mold and Mildew Remover 5L SecoCleaner,MMR010 ," $  5,791.10 "," $  9,265.76 ",oviedo95,Bathroom Cleaners,16,2," $  18,531.52 "," $  6,949.32 ",0
7/6/2023,Fabric Freshener Poet 250ml,FF003 , $  695.10 ," $  1,112.16 ",oviedo95,Surface Cleaners,23,2," $  2,224.32 ", $  834.12 ,1
7/6/2023,Cleaning Gloves Scotch Brite L,CG022, $  219.10 , $  350.56 ,fherrera,Personal Protection,23,10," $  3,505.60 "," $  1,314.60 ",1
7/6/2023,Toilet Bowl Cleaner HG 500ml,TBC005 ," $  1,565.90 "," $  2,505.44 ",oviedo95,Bathroom Cleaners,16,10," $  25,054.40 "," $  9,395.40 ",1
7/6/2023,Trash Bag Asurin Green x30 (50x70cm),TB019 , $  431.20 , $  689.92 ,fherrera,Personal Protection,23,6," $  4,139.52 "," $  1,552.32 ",1
7/6/2023,Cleaning Gloves Scotch Brite L,CG022, $  219.10 , $  350.56 ,lamartinez,Personal Protection,23,7," $  2,453.92 ", $  920.22 ,0
7/6/2023,Microfiber Cleaning Cloths x1 (35 x 40cm),MCC012 , $  909.30 ," $  1,454.88 ",fherrera,Cleaning Tools,22,10," $  14,548.80 "," $  5,455.80 ",0
7/6/2023,Trash Bag Asurin Green x30 (50x70cm),TB019 , $  431.20 , $  689.92 ,oviedo95,Personal Protection,23,7," $  4,829.44 "," $  1,811.04 ",1
7/6/2023,Fabric Freshener Poet 250ml,FF003 , $  695.10 ," $  1,112.16 ",fherrera,Surface Cleaners,23,4," $  4,448.64 "," $  1,668.24 ",1
7/6/2023,Dusting Spray RD90 130gr,DS008 ," $  4,200.00 "," $  6,720.00 ",oviedo95,Dusting and Polishing,18,10," $  67,200.00 "," $  25,200.00 ",1
7/7/2023,Sponge Virulana,S018 , $  217.00 , $  347.20 ,fherrera,Cleaning Tools,22,5," $  1,736.00 ", $  651.00 ,1
7/7/2023,Mop Head Promis Max Vileda,MH017 ," $  4,309.90 "," $  6,895.84 ",lamartinez,Cleaning Tools,22,4," $  27,583.36 "," $  10,343.76 ",0
7/7/2023,Mop Head Promis Max Vileda,MH017 ," $  4,309.90 "," $  6,895.84 ",lamartinez,Cleaning Tools,22,7," $  48,270.88 "," $  18,101.58 ",1
7/7/2023,Lint Roller Scoth Brite ,LR015 ," $  1,085.00 "," $  1,736.00 ",fherrera,Dusting and Polishing,18,6," $  10,416.00 "," $  3,906.00 ",0
7/7/2023,Microfiber Cleaning Cloths x5 (35 x 40cm),MCC016 ," $  4,269.30 "," $  6,830.88 ",fherrera,Cleaning Tools,22,2," $  13,661.76 "," $  5,123.16 ",0
7/7/2023,Mold and Mildew Remover 5L SecoCleaner,MMR010 ," $  5,791.10 "," $  9,265.76 ",oviedo95,Bathroom Cleaners,16,7," $  64,860.32 "," $  24,322.62 ",1
7/7/2023,Disposable Cleaning Wipes x40 Bialcohol,DCW014 ," $  1,624.00 "," $  2,598.40 ",oviedo95,Disposable and Convenience,21,4," $  10,393.60 "," $  3,897.60 ",0
7/7/2023,Microfiber Cleaning Cloths x5 (35 x 40cm),MCC016 ," $  4,269.30 "," $  6,830.88 ",oviedo95,Cleaning Tools,22,4," $  27,323.52 "," $  10,246.32 ",1
