id,client,aynom,address,fee,equipment,model,identifier,port1,port1 serie,port1 modelo,port2,port2 serie,port2 modelo,portal,locality,zip code,charge date,discharge date,status,location
1,722270145,FER BORIA,AV. MAIPU KM:8 8020,20,510281665,612002014,5010063,600122698,9075328,5000442,600122697,9075327,5000442,8041,Capital,3400,11.11.2013,31.12.9999,ALTA,20347226
2,909307081,SUP S.A.,AVDA JUAN PUJOL Nº 1920,21,510350607,3247590,5011513,600330915,9161892,5000442,600330914,9161891,5000442,8041,Capital,3400,01.06.2010,31.12.9999,ALTA,10800909
3,199203471,STA FRAIM,AV. 3 DE ABRIL 991,20,510385626,251005612,5013363,600475488,9263099,5000442,600475487,9263098,5000442,8041,Capital,3400,20.07.2022,31.12.9999,ALTA,20637637
4,470307172,CAN S.A.,AV.INDEPENDENCIA 5444,20,510228626,611000153,5010224,,,,,,,8041,Capital,3400,02.07.2022,31.12.9999,ALTA,20676695
5,304306879,SUP S.A.,AV. INDEPENDENCIA 5444,20,510281744,612002093,5010063,600122957,9075587,5000442,600122956,9075586,5000442,8041,Capital,3400,02.07.2022,31.12.9999,ALTA,20677880
6,166306386,INS CTES,CORDOBA 1259,21,510411699,4697960,5013330,600357316,9188294,5000442,600357315,9188293,5000442,8041,Capital,3400,18.08.2022,31.12.9999,ALTA,20685105
7,142306386,INS CTES,CORDOBA 1259,21,510411701,4697962,5013330,600357320,9188298,5000442,600357319,9188297,5000442,8041,Capital,3400,18.08.2022,31.12.9999,ALTA,20685061
8,377306451,AGU . (T),AV. 3 DE ABRIL 1280,12,510429863,5172634,5010713,600444424,9249025,5000442,,,,8041,Capital,3400,18.07.2022,31.12.9999,ALTA,20685293
9,272307166,HAB .R.L.,AV. CAZADORES CORRENTINOS 3038,20,510429095,251029529,5013363,600432984,9242487,5000442,600432983,9242486,5000442,8041,Capital,3400,26.08.2022,31.12.9999,ALTA,20683336
10,373305898,COO LTDA.,AV. NEUSTADT 15,22,510228105,6003450,5010492,,,,,,,8041,Goya,3450,01.06.2010,31.12.9999,ALTA,10800373
