,Corporation,Shop,Supplier,Payment Type,Date Issue,Number,Invoice,Partial amount,Total Amount,Tag,Group,Status,Paid Status
0,Con culpas S.A.S.,CDLM 3,V D ( - V D,Contado,01/01/2023,0003-00008660,Recibo,2000,2000,Empleado Eventual,Sueldos,Cerrado,PAGADA
1,Con culpas S.A.S.,CDLM 3,L B ( - L B,Contado,01/01/2023,0003-00008659,Recibo,2000,2000,Empleado Eventual,Sueldos,Cerrado,PAGADA
2,Con culpas S.A.S.,CDLM 1,A - M - F A M M ( - A - M - F A M M,Contado,01/01/2023,0001-00012023,Recibo,"17046,32","17046,32",Impuestos,Impuestos,Cerrado,PAGADA
3,Con culpas S.A.S.,CDLM 4,E A ( - E A,Contado,01/01/2023,0004-00003954,Recibo,1400,1400,Empleado Eventual,Sueldos,Cerrado,PAGADA
4,Con culpas S.A.S.,CDLM 1,A - A - F A M M ( - A - A - F A M M,Contado,01/01/2023,0001-00012023,Recibo,"18007,04","18007,04",Impuestos,Impuestos,Cerrado,PAGADA
5,Con culpas S.A.S.,CDLM 4,A N R ( - A N R,Contado,01/01/2023,0004-00003956,Recibo,1800,1800,Empleado Eventual,Sueldos,Cerrado,PAGADA
6,Con culpas S.A.S.,CDLM 4,J B ( - J B,Contado,01/01/2023,0004-00003955,Recibo,1800,1800,Empleado Eventual,Sueldos,Cerrado,PAGADA
7,Con culpas S.A.S.,CDLM 3,A 8 ( - S D T,Contado,01/01/2023,0003-00008667,Recibo,1800,1800,Viaticos,"Libreria, Farmacia y Viaticos",Cerrado,PAGADA
8,Con culpas S.A.S.,CDLM 1,N C M ( - N C M,Contado,01/01/2023,0001-00015757,Recibo,1600,1600,Empleado Eventual,Sueldos,Cerrado,PAGADA
9,Con culpas S.A.S.,CDLM 3,N L ( - N L,Contado,01/01/2023,0003-00008654,Recibo,2000,2000,Empleado Eventual,Sueldos,Cerrado,PAGADA
10,Con culpas S.A.S.,CDLM 2,T S ( - T,Cta Cte,01/01/2023,0001-00011417,Fact. A,60258,60258,Servicios,Servicios y Honorarios,Cerrado,PAGADA
11,Con culpas S.A.S.,CDLM 1,A S S S ( - A,Contado,01/01/2023,0107-03536398,Fact. A,"8401,88","8401,88",Seguridad,Servicios y Honorarios,Cerrado,PAGADA
12,Con culpas S.A.S.,CDLM 3,J S V ( - J S V,Contado,01/01/2023,0003-00008663,Recibo,1500,1500,Empleado Eventual,Sueldos,Cerrado,PAGADA
13,Con culpas S.A.S.,CDLM 3,R S P ( - R S P,Contado,01/01/2023,0003-00008665,Recibo,2200,2200,Almacen,Almacen,Cerrado,PAGADA
14,Con culpas S.A.S.,CDLM 2,T S ( - T,Cta Cte,01/01/2023,0001-00011482,Fact. A,10890,10890,Servicios,Servicios y Honorarios,Cerrado,PAGADA
15,Con culpas S.A.S.,La Embajada,G E M ( - A B,Contado,01/01/2023,0001-00012023,Fact. B,85000,85000,Alquiler,Alquiler y Expensas,Cerrado,PAGADA
16,Con culpas S.A.S.,CDLM 1,N C M ( - N C M,Contado,01/01/2023,0001-00015762,Recibo,1800,1800,Empleado Eventual,Sueldos,Cerrado,PAGADA
17,Con culpas S.A.S.,CDLM 3,E D ( - E D,Contado,01/01/2023,0003-00008666,Recibo,2000,2000,Empleado Eventual,Sueldos,Cerrado,PAGADA
18,Con culpas S.A.S.,CDLM 2,D S ( - E,Cta Cte,01/01/2023,0303-00062789,Fact. A,6400,6400,Servicios,Servicios y Honorarios,Cerrado,PAGADA
19,Con culpas S.A.S.,CDLM 1,D S ( - E,Cta Cte,01/01/2023,0303-00062786,Fact. A,6600,6600,Servicios,Servicios y Honorarios,Cerrado,PAGADA
20,Con culpas S.A.S.,CDLM 1,L M A S - N - ( - L M A S - N -,Contado,01/01/2023,0001-00012023,Recibo,127784,127784,Servicios,Servicios y Honorarios,Cerrado,PAGADA
21,Con culpas S.A.S.,CDLM 1,A - F ( - A - F,Contado,01/01/2023,0001-00012023,Recibo,"1205481,44","1205481,44",Sueldos,Sueldos,Cerrado,PAGADA
22,Con culpas S.A.S.,CDLM 1,F G ( - F G,Contado,01/01/2023,0001-00015758,Recibo,30000,30000,Sin Asignacion,Sin Grupo,Cerrado,PAGADA
23,Con culpas S.A.S.,CDLM 1,T S ( - T,Cta Cte,01/01/2023,0001-00011450,Fact. A,5324,5324,Servicios,Servicios y Honorarios,Cerrado,PAGADA
24,Con culpas S.A.S.,CDLM 1,I Y T S ( - I,Contado,01/01/2023,0006-00128385,Fact. A,"3994,04","3994,04",Servicios,Servicios y Honorarios,Cerrado,PAGADA
25,Con culpas S.A.S.,CDLM 1,A 8 ( - S D T,Contado,01/01/2023,0001-00015760,Recibo,1500,1500,Viaticos,"Libreria, Farmacia y Viaticos",Cerrado,PAGADA
26,Con culpas S.A.S.,CDLM 1,M R ( - M R,Contado,01/01/2023,0001-00015756,Recibo,1600,1600,Empleado Eventual,Sueldos,Cerrado,PAGADA
27,Con culpas S.A.S.,CDLM 1,A - F ( - A - F 1,Contado,01/01/2023,0001-00012023,Recibo,"1582300,27","1582300,27",Impuestos,Impuestos,Cerrado,PAGADA
28,Con culpas S.A.S.,CDLM 4,D S ( - E,Cta Cte,01/01/2023,0303-00062794,Fact. A,6000,6000,Servicios,Servicios y Honorarios,Cerrado,PAGADA
29,Con culpas S.A.S.,CDLM 3,F S ( - A,Cta Cte,01/01/2023,0009-00000401,Fact. A,"40005,63","40005,63",Bebidas sin Alcohol,Bebidas,Cerrado,PAGADA
30,Con culpas S.A.S.,CDLM 2,F S ( - A,Cta Cte,01/01/2023,0009-00000427,Fact. A,"40005,63","40005,63",Bebidas sin Alcohol,Bebidas,Cerrado,PAGADA
31,Con culpas S.A.S.,CDLM 1,A - I ( - A - I,Contado,01/01/2023,0001-00012023,Recibo,"1786552,24","1786552,24",Impuestos,Impuestos,Cerrado,PAGADA
32,Con culpas S.A.S.,CDLM 1,S E Q ( - S E Q,Contado,01/01/2023,0001-00015755,Recibo,2000,2000,Empleado Eventual,Sueldos,Cerrado,PAGADA
33,Con culpas S.A.S.,CDLM 1,F S ( - A,Cta Cte,01/01/2023,0009-00000425,Fact. A,"40005,63","40005,63",Bebidas sin Alcohol,Bebidas,Cerrado,PAGADA
34,Con culpas S.A.S.,CDLM 3,R B T ( - R B T,Contado,01/01/2023,0003-00008661,Recibo,1800,1800,Empleado Eventual,Sueldos,Cerrado,PAGADA
35,Con culpas S.A.S.,CDLM 1,O S ( - O,Contado,01/01/2023,0001-00012023,Recibo,4822500,4822500,Sueldos,Sueldos,Cerrado,PAGADA
36,Con culpas S.A.S.,CDLM 2,T S ( - T,Cta Cte,01/01/2023,0001-00011446,Fact. A,103092,103092,Servicios,Servicios y Honorarios,Cerrado,PAGADA
37,Con culpas S.A.S.,CDLM 5,B D S ( - B D S,Cta Cte,01/01/2023,0004-00086234,Fact. A,"25071,2","25071,2",Servicios,Servicios y Honorarios,Cerrado,PAGADA
