Product Code,Type,TypeID,Ubication,UbicationID,StockDeposit1,UnitID,StockDeposit2,UnitID,StockDeposit3,UnitID,StockDeposit4,UnitID,MinStock,MaxStock,ListPrice,Price
CP_154,Chicken cut,00_01,FARM,GR_004,27,Unit,20,Unit,16,Unit,237,Unit,21,28,$1.640,$1.394
CP_127,Chicken cut,00_01,FARM,GR_004,15,Unit,33,Unit,5,Unit,184,Unit,18,34,$1.100,$935
CP_136,Chicken cut,00_01,Refrigerator 1,HL_001,47,Unit,12,Unit,13,Unit,0,Unit,24,48,$1.790,$1.522
CP_111,Chicken cut,00_02,Refrigerator 1,HL_001,6,kg,4,kg,5,kg,0,kg,5,7,$1.790,$1.522
CP_102,Chicken cut,00_02,Refrigerator 1,HL_001,4,kg,3,kg,5,kg,0,kg,4,6,$2.000,$1.700
CP_120,Chicken cut,00_02,Refrigerator 1,HL_001,3,kg,8,kg,5,kg,0,kg,5,9,$2.500,$2.125
CP_135,Chicken cut,00_02,Refrigerator 1,HL_001,5,kg,6,kg,11,kg,0,kg,7,12,$2.300,$1.955
CP_111,Chicken cut,00_02,Refrigerator 1,HL_001,3,kg,10,kg,3,kg,0,kg,5,11,$2.400,$2.040
CP_156,Chicken cut,00_02,Refrigerator 1,HL_001,11,kg,10,kg,5,kg,0,kg,9,12,$2.550,$2.168
CP_125,Chicken cut,00_02,Refrigerator 1,HL_001,11,kg,4,kg,3,kg,0,kg,6,12,$2.700,$2.295
CP_137,Chicken cut,00_02,Refrigerator 1,HL_001,9,kg,6,kg,5,kg,0,kg,7,10,$3.200,$2.720
CP_150,Chicken cut,00_02,Refrigerator 1,HL_001,8,kg,4,kg,8,kg,0,kg,7,9,$3.500,$2.975
CP_135,Chicken cut,00_02,Refrigerator 1,HL_001,5,kg,8,kg,10,kg,0,kg,8,11,$3.800,$3.230
CP_126,Chicken cut,00_02,Refrigerator 1,HL_001,9,kg,4,kg,5,kg,0,kg,6,10,$1.800,$1.530
CP_118,Chicken cut,00_02,Refrigerator 1,HL_001,11,kg,8,kg,3,kg,0,kg,7,12,$1.150,$978
CP_126,Chicken cut,00_02,Refrigerator 1,HL_001,6,kg,3,kg,11,kg,0,kg,7,12,$900,$765
CP_116,Chicken cut,00_02,Refrigerator 1,HL_001,10,kg,6,kg,5,kg,0,kg,7,11,$750,$638
CP_105,Own elaboration,00_02,Refrigerator 1,HL_001,5,kg,10,kg,9,kg,0,kg,8,11,$1.500,$1.275
EP_156,Own elaboration,00_03,COUNTER,MT_005,4,kg,7,kg,4,kg,0,kg,5,8,$2.850,$2.423
EP_117,Own elaboration,00_03,COUNTER,MT_005,5,kg,4,kg,11,kg,0,kg,7,12,$3.500,$2.975
EP_107,Own elaboration,00_03,COUNTER,MT_005,3,kg,4,kg,11,kg,0,kg,6,12,$3.700,$3.145
EP_137,Own elaboration,00_03,COUNTER,MT_005,9,kg,7,kg,3,kg,0,kg,6,10,$4.200,$3.570
EP_115,Own elaboration,00_03,Refrigerator 2,HL_002,9,kg,9,kg,6,kg,0,kg,8,10,$2.900,$2.465
EP_150,Own elaboration,00_03,Refrigerator 2,HL_002,9,kg,8,kg,5,kg,0,kg,7,10,$2.900,$2.465
EP_123,Own elaboration,00_03,Refrigerator 3,HL_003,4,Unit,7,Unit,5,Unit,0,Unit,5,8,$2.900,$2.465
EP_168,Own elaboration,00_03,Refrigerator 3,HL_003,3,Unit,11,Unit,11,Unit,0,Unit,8,12,$3.200,$2.720
