Page path and screen class,Views,Users,Views per user,Average engagement time,Event count,Conversions,Total revenue
/,223,206,1.0825242718446602,9.766990291262136,780,0,0
/what-is-microsoft-bing-ai-chatbot-and-exploring-the-benefits-and-functionality-of-bing-ai-chatbot/,23,20,1.15,25.7,81,0,0
/azure-active-directory-understanding-different-account-types/,21,19,1.105263157894737,24.210526315789473,77,0,0
/category/design/,17,4,4.25,7,30,0,0
/how-to-send-and-read-messages-from-azure-service-bus-queues-using-azure-functions/,17,14,1.2142857142857142,26.785714285714285,64,0,0
/applying-few-shot-prompting-with-azure-openai-prompt-engineering-in-python/,16,11,1.4545454545454546,27,50,0,0
/unleashing-the-power-of-user-research-the-ultimate-guide-to-understanding-your-users/,14,5,2.8,20.6,32,0,0
/get-file-details-triggering-the-azure-data-factory-pipeline-synapse-via-storage-event-trigger/,12,12,1,17.833333333333332,47,0,0
/invoke-an-azure-runbook-using-terraform/,12,10,1.2,32.6,43,0,0
/using-langchain-to-extend-an-openai-bot-with-chat-and-source-retrieval/,10,8,1.25,8,35,0,0
/category/oneapi/,9,7,1.2857142857142858,3.2857142857142856,28,0,0
/linkerd-vs-others-why-linkerd-reigns-supreme-in-microservice-management/,9,9,1,8,31,0,0
/upload-files-to-sharepoint-online-library-using-postman/,9,9,1,17.666666666666668,37,0,0
/applying-zero-shot-prompting-with-azure-openai-prompt-engineering-in-python/,8,7,1.1428571428571428,59.142857142857146,27,0,0
/cracking-the-wordpress-code-proven-tips-and-tricks-for-website-excellence/,8,8,1,28.625,30,0,0
/develop-rest-api-based-crud-operation-using-azure-function-and-ef-core-7/,8,8,1,9.625,31,0,0
/microsoft-azure-monitoring-evaluation/,8,8,1,14.875,31,0,0
/resource-uri-unique-resource-identifier-details-of-common-microsoft-resources-in-entra-id/,8,8,1,15.625,27,0,0
/accelerate-game-development-using-intel-oneapi/,7,7,1,22.142857142857142,26,0,0
/agents-in-langchain/,7,5,1.4,13.8,25,0,0
/azure-cost-management-techniques/,7,6,1.1666666666666667,21.666666666666668,24,0,0
/azure-kubernetes-service-understanding-networking-service-types/,7,3,2.3333333333333335,8,18,0,0
/azure-landing-zone-review-assessment/,7,7,1,8.142857142857142,26,0,0
/azure-open-ai-embedding-creation/,7,4,1.75,4.75,26,0,0
/category/azure/,7,6,1.1666666666666667,11,13,0,0
/category/linux/,7,2,3.5,31,14,0,0
/copy-data-from-azure-analysis-service-aas-through-microsoft-fabric/,7,6,1.1666666666666667,22.5,21,0,0
/coredns-unleashed-tips-to-optimize-query-performance/,7,7,1,15.571428571428571,28,0,0
/deploying-a-next-js-application-using-azure-app-service/,7,7,1,28.714285714285715,28,0,0
/how-to-setup-cost-alert-in-azure/,7,6,1.1666666666666667,20.333333333333332,28,0,0
/mastering-the-art-of-wireframing-10-proven-tips-and-tricks-for-effective-design/,7,7,1,17.571428571428573,26,0,0
/react-js-secrets-unveiled-tips-and-tricks-to-enhance-productivity/,7,6,1.1666666666666667,16.666666666666668,21,0,0
/unreal-engine-success-blueprint-strategies-for-thriving-in-game-development/,7,7,1,11.142857142857142,23,0,0
/bot-framework-composer/,6,6,1,28.333333333333332,19,0,0
/cancel-azure-data-factory-pipeline-runs-via-synapse-data-factory/,6,6,1,8.833333333333334,25,0,0
/cleansing-files-of-duplicate-records-via-azure-data-factory-synapse/,6,6,1,25.666666666666668,21,0,0
/create-highly-scalable-applications-using-intel-oneapi/,6,5,1.2,10.8,18,0,0
/dont-just-swim-dive-deep-with-fluentd-powerful-log-analysis-tricks/,6,5,1.2,21.2,22,0,0
/going-beyond-basics-advanced-techniques-for-flutter-animation/,6,5,1.2,6.6,17,0,0
/how-to-activate-eligible-membership-to-a-privileged-pim-group/,6,6,1,15.666666666666666,22,0,0
/how-to-create-a-virtual-machine-scale-set-vmss-using-microsoft-azure/,6,6,1,18.166666666666668,22,0,0
/learn-to-receive-messages-from-service-bus-queue-to-postman/,6,5,1.2,20.2,21,0,0
/microsoft-launched-azure-ai-speech-revolutionizing-communication-with-lifelike-text-to-speech-ai-avatars/,6,6,1,10.5,21,0,0
/navigating-azure-storage-essential-cli-commands/,6,5,1.2,8.6,18,0,0
/overcoming-limitations-of-get-metadata-activity-in-azure-data-factory-synapse/,6,5,1.2,19.4,20,0,0
/register-your-app-with-azure-ad/,6,6,1,37.833333333333336,21,0,0
/scaling-azure-databricks-secure-network-access-to-azure-data-lake-storage/,6,6,1,1.5,20,0,0
/send-messages-from-postman-to-service-bus/,6,4,1.5,23.5,18,0,0
/unlock-the-power-of-speech-recognition-with-intel-oneapi/,6,6,1,0,18,0,0
/what-is-cloud-computing/,6,3,2,48.333333333333336,20,0,0
/a-guide-to-integrating-azure-cognitive-search-into-business-apps/,5,4,1.25,19.5,17,0,0
/advanced-heterogeneous-programming-techniques-with-intel-oneapi/,5,5,1,3.8,14,0,0
/applying-chain-of-thought-with-azure-openai-prompt-engineering-in-python/,5,4,1.25,24.5,17,0,0
/azure-cosmos-dbs-nosql-api/,5,5,1,8.4,16,0,0
/azure-durable-functions/,5,5,1,5,16,0,0
/azure-redis-cache-with-c-for-high-performance-applications/,5,5,1,19.8,19,0,0
/azure-storage-lifecycle-management/,5,5,1,7,15,0,0
/category/sql/,5,5,1,6.2,10,0,0
/ci-cd-pipeline-for-a-net-web-api-application-in-azure-devops/,5,5,1,7.4,17,0,0
/cloudevents-unraveled-best-practices-to-optimize-performance-and-efficiency/,5,4,1.25,17.25,18,0,0
/code-optimization-made-easy-with-intel-oneapi/,5,5,1,8.8,15,0,0
/coredns-101-pro-tips-for-simplifying-cluster-dns-management/,5,5,1,10.4,17,0,0
/crud-stored-procedures-in-azure-cosmos-db/,5,5,1,36.2,18,0,0
/deploy-packet-capture-for-azure-vpn-gateway/,5,5,1,11.2,18,0,0
/effortless-container-orchestration-with-containerd-insider-tips-for-streamlined-workflows/,5,5,1,11.2,16,0,0
/envoy-unleashed-transforming-your-workplace-with-smart-automation/,5,5,1,21,15,0,0
/exploring-logical-and-physical-partitions-in-azure-cosmos-db/,5,5,1,0.8,16,0,0
/from-rest-to-grpc-revolutionize-your-api-communication/,5,5,1,7,17,0,0
/getting-started-with-azure-service-bus-queues-and-asp-net-core-background-services/,5,3,1.6666666666666667,272.3333333333333,16,0,0
/getting-started-with-microsoft-semantic-kernel/,5,5,1,9.4,20,0,0
/going-global-scaling-software-development-strategies-for-international-markets/,5,5,1,13,16,0,0
/how-to-create-a-logic-app-to-convert-documents-into-pdf/,5,5,1,4.8,14,0,0
/how-to-establish-non-azure-machines-to-connect-to-microsoft-defender-for-cloud/,5,5,1,17,21,0,0
/how-to-generate-a-shared-access-signatures-sas-to-an-azure-storage-account/,5,4,1.25,5.25,18,0,0
/how-to-set-up-microsoft-sentinel/,5,5,1,17.6,16,0,0
/how-to-set-up-service-bus-queue-messages-using-service-bus-explorer/,5,4,1.25,5,17,0,0
/how-to-upload-files-into-azure-blob-storage-with-asp-net-core-web-api/,5,5,1,0,15,0,0
/identifying-the-count-of-activities-within-a-pipeline-in-an-azure-data-factory/,5,5,1,18.8,19,0,0
/learn-to-add-role-assignment-to-service-bus/,5,4,1.25,13,16,0,0
/mastering-flutter-5-tips-for-building-beautiful-uis/,5,5,1,1.6,16,0,0
/microsoft-announces-new-azure-ai-platform-for-businesses/,5,5,1,9.2,17,0,0
/navigate-the-virtual-maze-creative-tips-to-elevate-your-vr-experiences/,5,5,1,22,19,0,0
/networking-components-in-microsoft-azure/,5,5,1,17,16,0,0
/portable-programming-intel-oneapi-on-the-move/,5,5,1,5.8,16,0,0
/powerful-performance-profiling-with-intel-oneapi/,5,5,1,9.8,18,0,0
/react-native-development-building-a-ci-cd-pipeline-with-azure-devops/,5,5,1,14.6,20,0,0
/revolutionize-5g-programming-with-intel-oneapi/,5,5,1,17.6,19,0,0
/revolutionize-financial-modeling-intel-oneapis-quantitative-analytics-toolbox/,5,5,1,24,19,0,0
/revolutionize-your-development-process-top-10-tricks-for-microservices-success/,5,5,1,9.8,18,0,0
/stay-one-step-ahead-vitess-hacks-for-database-performance/,5,5,1,12.2,18,0,0
/streamlining-azure-devops-management-with-excel/,5,5,1,12,18,0,0
/terraform-on-azure-creating-a-storage-account-blob-container-and-queue/,5,4,1.25,16,20,0,0
/the-basics-of-microsoft-fabric/,5,5,1,11,15,0,0
/unlock-the-magic-of-natural-language-processing-with-intel-oneapi/,5,5,1,12.2,16,0,0
/what-is-azure-compute/,5,1,5,0,11,0,0
/10-unconventional-ui-hacks-for-a-seamless-user-experience/,4,4,1,111.5,12,0,0
/accelerate-genomics-research-using-intel-oneapi/,4,4,1,12.5,14,0,0
/achieve-fpga-acceleration-with-intel-oneapis-design-tips/,4,4,1,8.25,13,0,0
/achieve-scalability-perfection-with-intel-oneapi/,4,4,1,18,15,0,0
/advancement-in-artificial-intelligence-microsoft-designer/,4,4,1,11.25,15,0,0
/author/admin/,4,3,1.3333333333333333,3.6666666666666665,7,0,0
/automated-way-to-get-latest-pipeline-execution-details-of-an-azure-data-factory/,4,4,1,6.75,13,0,0
/automated-way-to-get-latest-pipeline-execution-details-of-synapse/,4,4,1,7,13,0,0
/azure-blob-storage-in-c/,4,4,1,17.75,15,0,0
/azure-data-explorer-kusto-query-transform-rows-to-columns/,4,3,1.3333333333333333,15.666666666666666,15,0,0
/azure-http-powershell-function-app-get-data-using-client-id-tenant-and-thumbprint/,4,4,1,5.25,14,0,0
/azure-kubernetes-mastery-10-must-know-tips-for-seamless-integration/,4,4,1,16.5,15,0,0
/azure-openai-function-calling/,4,4,1,0,12,0,0
/azure-virtual-machines-for-web-hosting/,4,4,1,21.25,15,0,0
/battlefield-brilliance-unconventional-jaeger-tactics-for-victory/,4,4,1,22.25,15,0,0
/building-high-quality-apis-with-grpc-proven-tips-and-tricks/,4,4,1,11.75,14,0,0
/built-in-roles-in-azure-synapse-analytics-workspace/,4,4,1,8.5,16,0,0
/code-for-tomorrow-intel-oneapis-future-proofing-strategies/,4,4,1,16.5,14,0,0
/code-wizards-unite-intel-oneapis-collaboration-features/,4,4,1,23.5,16,0,0
/configuring-data-connector-and-producing-activity-data-in-microsoft-sentinel/,4,4,1,0,12,0,0
/container-conundrum-6-smart-solutions-to-debugging-in-kubernetes/,4,4,1,26.75,16,0,0
/containerd-101-a-beginners-guide-to-quick-and-hassle-free-container-management/,4,4,1,16,15,0,0
/containerd-demystified-essential-best-practices-for-maximizing-security-and-reliability/,4,4,1,16.5,15,0,0
/converse-with-your-data-using-your-own-chatgpt-with-azure-openai-service/,4,4,1,15.25,15,0,0
/data-visualization-magic-intel-oneapis-charting-tricks/,4,4,1,21.75,16,0,0
/decode-visual-data-intel-oneapis-computer-vision-tricks/,4,4,1,13,14,0,0
/deploy-efficient-deep-learning-models-with-intel-oneapi/,4,4,1,4.25,13,0,0
/deploying-a-python-application-to-azure/,4,4,1,12.5,14,0,0
/discover-new-algorithms-intel-oneapis-advanced-math-libraries/,4,4,1,10.25,14,0,0
/discover-the-power-of-distributed-memory-with-intel-oneapi/,4,4,1,0,12,0,0
/dns-security-simplified-essential-tips-with-coredns/,4,4,1,22.25,16,0,0
/dont-get-left-behind-5-essential-linkerd-tips-for-agile-developers/,4,4,1,9,14,0,0
/dynamic-dns-made-easy-essential-coredns-tips-tricks/,4,4,1,0,12,0,0
/efficient-debugging-intel-oneapis-hidden-gem/,4,4,1,22,16,0,0
