Listing title,eBay item ID,Quantity sold,Total sales (Includes taxes),Item sales,Taxes and government fees paid by buyer to eBay,Shipping and handling paid by buyer to you,Total selling costs,Insertion fees,Optional listing upgrade fees,Final value fees,Ads Standard fees,International fees,Fee credits,Shipping labels cost (Amount you paid to buy shipping labels on eBay),Net sales (Net of taxes and selling costs),Average Selling price,Quantity sold via promoted listing,Quantity sold via Best Offers,Quantity sold via Seller Initiated Offers
TANG Powder Drink Assorted flavors,254098637526,2585,"$4,962.02","$3,618.00",$241.92,"$1,102.10","$1,791.90",$0.00,$0.00,$648.75,$166.24,$2.39,$1.64,$976.16,"$2,928.20",$1.92,1445,0,0
Clight No Sugar Needed Makes 1 Liters Of Drink Mix 7g From Mexico,254088263382,1318,"$2,741.26","$2,096.16",$101.22,$543.88,$967.96,$0.00,$0.00,$361.34,$114.03,$2.63,$2.09,$492.05,"$1,672.08",$2.08,884,0,0
ZUKO Light No Sugar Needed Makes 1 Liters Of Drink Mix 15g/11gFrom Mexico,254688997194,920,"$2,182.88","$1,708.65",$107.38,$366.85,$779.33,$0.00,$0.00,$285.27,$98.94,$0.00,$0.72,$395.84,"$1,296.17",$2.37,494,0,0
ZUKO Many Flavors No Sugar Needed Makes 2 Liters Of Drink Mix 15g/11gFrom Mexico,255941163168,813,"$1,601.70","$1,276.79",$64.27,$260.64,$653.04,$0.00,$0.00,$214.37,$108.51,$5.95,$3.87,$328.08,$884.39,$1.97,613,0,0
Livean Light No Sugar Needed Makes 1Liters Of Drink Mix 7gram with Stevia,254599977688,446,$824.69,$605.29,$48.55,$170.85,$303.67,$0.00,$0.00,$113.58,$39.71,$0.74,$6.55,$156.19,$472.47,$1.85,312,0,0
3 x Whitening Deodorant Nivea Extra Clarifying Serum Classic  Aclarante Rollon,255503998262,239,"$7,587.08","$7,030.69",$556.39,$0.00,"$3,170.55",$0.00,$0.00,"$1,083.79",$322.21,$0.00,$15.30,"$1,779.85","$3,860.14",$31.75,202,0,1
Deodorant Nivea Extra Clarifying Serum- Desodorante Nivea Serum Extra Aclarante,255755018725,123,"$1,836.02","$1,707.43",$128.59,$0.00,$861.15,$0.00,$0.00,$281.79,$94.52,$0.25,$8.40,$492.99,$846.28,$14.93,95,0,0
TEATRICAL CREMA ROSAS Y LANOLINA 230gr / TEATRICAL CREAM ROSES AND LANOLIN 230gr,255828259311,101,"$1,530.20","$1,416.93",$113.27,$0.00,$721.63,$0.00,$0.00,$222.97,$93.78,$0.00,$0.00,$404.88,$695.30,$15.15,93,0,0
"2 Ting Crema 28g Ayuda A Eliminar La Sudoracion , Mal Olor , Comezon , Ardor,",255758487778,97,"$2,832.76","$2,626.81",$205.95,$0.00,$902.50,$0.00,$0.00,$413.20,$141.51,$0.00,$19.07,$366.86,"$1,724.31",$29.20,73,0,0
3xWhitening Deodorant Nivea Extra Clarifying Serum Lilac Extra Aclarante Rollon,255512669363,71,"$2,190.12","$2,025.72",$164.40,$0.00,$941.83,$0.00,$0.00,$325.33,$114.65,$0.00,$22.30,$524.15,"$1,083.89",$30.85,61,0,0
3x Whitening Deodorant Nivea Extra Clarifying Serum Fresh Natu  Aclarante Rollon,255515094861,50,"$1,537.50","$1,388.14",$112.01,$37.35,$640.43,$2.45,$0.00,$230.16,$54.66,$0.00,$17.44,$370.60,$785.06,$30.75,42,0,0
TANG 14 Sample Pack No Sugar Needed Makes 2 Liters Of Drink Mix 15g From Mexico,255451833052,49,$914.61,$820.35,$49.22,$45.04,$395.78,$0.00,$0.00,$116.54,$53.56,$0.28,$0.00,$225.40,$469.61,$18.67,42,0,0
EXTRA EGO HAIR STYLING GEL MEN STRONG BLACK 1300ml 44 OZ Product of MEXICO,255400384891,47,"$1,114.01","$1,036.09",$77.92,$0.00,$601.20,$0.00,$0.00,$166.05,$70.21,$0.41,$0.00,$364.53,$434.89,$23.70,39,0,0
4 Pack Nivea Tono Natural Roll on antitranspirante  Efecto Satin,256020258317,45,"$1,207.04","$1,115.77",$91.27,$0.00,$475.96,$0.00,$0.00,$173.09,$81.13,$0.43,$0.00,$221.31,$639.81,$26.82,38,0,0
TANG 20 Sample Pack No Sugar Needed Makes 2 Liters Of Drink Mix 15g From Mexico,255469912703,39,"$1,044.29",$994.31,$49.98,$0.00,$347.65,$0.00,$0.00,$133.91,$28.16,$0.00,$0.00,$185.58,$646.66,$26.78,24,0,0
Victoria's Secret Body Mist 8.4oz / Body Lotion 8oz Choose Your Scent,255826756339,38,$634.92,$588.11,$46.81,$0.00,$287.41,$0.00,$0.00,$96.84,$4.72,$0.55,$5.24,$190.54,$300.70,$16.71,9,0,0
ZUKO Flavors No Sugar Needed Makes 2 Liters Of Drink Mix 12 different pouches--,255826208266,33,$482.61,$464.21,$18.40,$0.00,$215.83,$0.00,$0.00,$66.03,$19.72,$0.00,$0.00,$130.08,$248.38,$14.62,25,0,0
ZUKO Flavors No Sugar Needed Makes 2 Liters Of Drink Mix 24 different pouches,255768069928,32,$882.51,$841.60,$40.91,$0.00,$333.26,$0.00,$0.00,$117.78,$21.99,$0.47,$4.27,$197.29,$508.34,$27.58,23,0,0
3 x Neutro Balance Spray Deodorant Palmolive,255438895025,30,$889.05,$821.08,$67.97,$0.00,$317.40,$0.00,$0.00,$125.42,$27.01,$0.00,$0.00,$164.97,$503.68,$29.64,17,0,0
Nivea Cellular Luminous 630º Anti-Pigmentation Serum/Spot Fluid SPF50~30ml,255549749289,30,"$1,412.06","$1,278.38",$100.34,$33.34,$395.50,$0.00,$0.00,$197.07,$71.86,$0.71,$9.46,$135.32,$916.22,$47.07,25,0,0
EGO ALFA Control Caida - 32oz (950ml)- Fragrancia Essential - FREE Shipping,255490536943,29,$701.40,$650.97,$50.43,$0.00,$370.17,$0.00,$0.00,$104.03,$37.78,$0.40,$5.53,$233.49,$280.80,$24.19,25,0,0
TEATRICAL CREMA LANOLINA 230gr / TEATRICAL CREAM LANOLIN 230gr,255828266257,27,$406.92,$376.50,$30.42,$0.00,$173.36,$0.00,$0.00,$59.12,$9.64,$0.00,$0.00,$104.60,$203.14,$15.07,10,0,0
Mexican Fabric By the Yard Multicolor Tela Mexicana,254639350040,25,$254.43,$237.58,$16.85,$0.00,$103.30,$1.05,$0.00,$39.96,$16.76,$0.00,$3.27,$48.80,$134.28,$10.18,22,0,0
3 x Nivea Aclarado Natural Classic Spray Deodorant 48H (89 g each),255643148876,25,$774.27,$718.26,$56.01,$0.00,$270.76,$0.00,$0.00,$118.33,$36.04,$0.00,$12.14,$128.53,$447.50,$30.97,16,0,1
DND Daisy Soak Off Gel Polish or Dip Powder Pick Your Color LED/UV,255498630434,24,$259.83,$239.00,$20.83,$0.00,$117.81,$0.00,$0.00,$40.05,$10.13,$0.00,$1.36,$68.99,$121.19,$10.83,19,0,0
TANG Powder Drink 35 pack Assorted flavors to pick,256058916363,24,$852.60,$742.80,$62.44,$47.36,$279.50,$0.00,$0.00,$106.50,$55.35,$0.00,$0.00,$117.65,$510.66,$35.53,18,0,0
Antimicótico Ting polvo en aerosol para el pie de atleta y mal olor 150 g,255665022635,23,$734.58,$697.00,$37.58,$0.00,$225.20,$0.00,$0.00,$110.53,$31.03,$0.00,$7.93,$91.57,$471.80,$31.94,13,0,0
Dove Tono Uniforme Orquidia Whitening Deodorant RollOn 48h AntiPerspirant 50m,256053810561,22,$343.84,$321.40,$22.44,$0.00,$138.92,$0.00,$0.00,$50.51,$24.52,$0.00,$0.00,$63.89,$182.48,$15.63,21,0,0
DESENEX ANTIFUGAL CREAM ATHLETES FOOT 28gr,256238720829,22,$314.96,$210.60,$18.52,$85.84,$123.11,$1.05,$0.00,$46.54,$12.99,$0.00,$0.00,$62.53,$173.33,$14.32,15,0,0
TANG 27 Sample Pack No Sugar Needed Makes 2 Liters Of Drink Mix 15g From Mexico,255819982274,21,$832.92,$694.39,$45.80,$92.73,$290.79,$0.00,$0.00,$93.47,$44.09,$1.96,$0.00,$151.27,$496.33,$39.66,20,0,0
5 Pound Pack Shrimp powder/Ground/Seasoning/Camaron/Molido/en Polvo/1 lb,255942251206,21,"$1,204.22","$1,091.10",$13.33,$99.79,$396.72,$0.00,$0.00,$149.00,$78.05,$0.00,$0.00,$169.67,$794.17,$57.34,17,0,0
