ID,continente,tipo_producto,canal_venta,prioridad,fecha_pedido,id_pedido,fecha_envio,unidades, precio_unidad, costo_unidad, venta_total, costo_total, beneficio_total, %_ganancia
2421,Europa,Snacks,Offline,Crítica,10/12/2020,242113196,11/30/2020,5530, $  119.01 , $  76.00 ," $  658,138.57 "," $  420,297.70 "," $  237,840.88 ",36.14%
1908,Europa,Cárnicos,Online,Alta,1/26/2020,190800607,1/28/2020,994, $  329.07 , $  284.46 ," $  327,099.75 "," $  282,751.45 "," $  44,348.30 ",13.56%
7652,Australia y Oceanía,Cereales,Online,Crítica,11/9/2020,765228068,11/21/2020,6845, $  160.45 , $  91.35 ," $  1,098,252.87 "," $  625,262.00 "," $  472,990.87 ",43.07%
2326,África,Frutas,Offline,Baja,8/21/2021,232631909,10/2/2021,9806, $  7.28 , $  5.40 ," $  71,362.18 "," $  52,928.87 "," $  18,433.32 ",25.83%
5305,Centroamérica y Caribe,Alimento infantil,Offline,Media,9/30/2022,530560958,11/12/2022,3633, $  199.12 , $  124.35 ," $  723,397.15 "," $  451,754.83 "," $  271,642.32 ",37.55%
5168,Centroamérica y Caribe,Bebida,Offline,Baja,1/21/2022,516876542,2/21/2022,4110, $  37.01 , $  24.80 ," $  152,115.21 "," $  101,912.38 "," $  50,202.83 ",33.00%
9197,Australia y Oceanía,Snacks,Offline,Media,2/17/2022,919752490,2/27/2022,4056, $  119.01 , $  76.00 ," $  482,714.29 "," $  308,268.98 "," $  174,445.32 ",36.14%
2876,África,Cosméticos,Offline,Media,3/21/2020,287675130,5/7/2020,8319, $  341.02 , $  205.40 ," $  2,836,912.10 "," $  1,708,700.97 "," $  1,128,211.13 ",39.77%
8394,Centroamérica y Caribe,Cuidado personal,Offline,Crítica,2/13/2021,839443290,4/1/2021,8779, $  63.75 , $  44.20 ," $  559,655.98 "," $  388,054.63 "," $  171,601.36 ",30.66%
8141,Australia y Oceanía,Material de oficina,Online,Media,6/15/2021,814168298,7/12/2021,9347, $  507.94 , $  409.47 ," $  4,747,750.70 "," $  3,827,304.87 "," $  920,445.83 ",19.39%
3212,Norteamérica,Cosméticos,Online,Alta,7/15/2022,321273982,8/30/2022,966, $  341.02 , $  205.40 ," $  329,421.46 "," $  198,413.89 "," $  131,007.57 ",39.77%
8904,África,Snacks,Online,Crítica,5/13/2020,890496671,6/5/2020,6609, $  119.01 , $  76.00 ," $  786,552.95 "," $  502,305.15 "," $  284,247.80 ",36.14%
5218,África,Bebida,Offline,Crítica,5/6/2021,521885192,5/22/2021,6281, $  37.01 , $  24.80 ," $  232,466.09 "," $  155,744.93 "," $  76,721.16 ",33.00%
4358,África,Verduras,Offline,Alta,11/7/2020,435800874,12/25/2020,2018, $  120.17 , $  70.93 ," $  242,496.60 "," $  143,127.46 "," $  99,369.15 ",40.98%
1229,África,Frutas,Offline,Crítica,10/20/2021,122917544,11/17/2021,2888, $  7.28 , $  5.40 ," $  21,017.13 "," $  15,588.27 "," $  5,428.86 ",25.83%
4942,África,Cuidado personal,Offline,Crítica,10/21/2021,494221532,11/18/2021,9989, $  63.75 , $  44.20 ," $  636,792.76 "," $  441,539.77 "," $  195,252.99 ",30.66%
7310,Australia y Oceanía,Cosméticos,Offline,Crítica,4/19/2020,731011664,4/30/2020,1451, $  341.02 , $  205.40 ," $  494,814.22 "," $  298,031.63 "," $  196,782.59 ",39.77%
5348,Centroamérica y Caribe,Snacks,Offline,Crítica,11/3/2022,534899270,11/4/2022,7436, $  119.01 , $  76.00 ," $  884,976.21 "," $  565,159.80 "," $  319,816.41 ",36.14%
5778,África,Material de oficina,Online,Alta,7/10/2022,577808177,7/22/2022,5135, $  507.94 , $  409.47 ," $  2,608,291.41 "," $  2,102,622.29 "," $  505,669.13 ",19.39%
2519,Asia,Material de oficina,Online,Baja,6/1/2021,251974713,6/21/2021,3772, $  507.94 , $  409.47 ," $  1,915,964.01 "," $  1,544,516.31 "," $  371,447.70 ",19.39%
8199,Asia,Cuidado personal,Offline,Media,7/28/2020,819947707,9/5/2020,9602, $  63.75 , $  44.20 ," $  612,121.74 "," $  424,433.37 "," $  187,688.37 ",30.66%
4645,África,Cosméticos,Online,Crítica,6/8/2021,464588487,7/25/2021,912, $  341.02 , $  205.40 ," $  311,006.59 "," $  187,322.43 "," $  123,684.16 ",39.77%
1390,Asia,Snacks,Offline,Media,7/26/2021,139070880,8/4/2021,3019, $  119.01 , $  76.00 ," $  359,298.44 "," $  229,453.66 "," $  129,844.77 ",36.14%
