Order ID,Order Date,PRODUCTS,QUANTITY,Unit Price,Special Discount,SUBTOTAL,Total Price with VAT,Price Difference,Invoiced Price,Invoiced Price with VAT,Delivery Number,Invoice Number,Invoice Date,Delivery Date,Status
1,4/21/2023,SIZED TEXTURED HIDROFUGE BASE X 25 KG PEARL GREY,1,12328.25,,12328.25,14917.1825,0,,0,,,,,CANCELLED
1,4/21/2023,SIZED ACRYLIC COATING  X 30 KG PEARL GREY,5,13493.7,,67468.5,81636.885,-22.385,67450,81614.5,51-16300,49-15456,4/26/2023,4/26/2023,DELIVERED
2,4/27/2023,NRF LIQUID COMPOUND FOR CONCRETE CURINGX 1 LTS WATER REPELLENT ADDITIVE 12 UNITS,1,2897,,2897,3505.37,-39.446,2864.4,3465.924,51-16405,49-15563,5/3/2023,5/3/2023,DELIVERED
2,4/27/2023,NRF 3 X 2 KG PACK WATERPROOFING X 8 UNITS,1,6146,,6146,7436.66,-83.4295,6077.05,7353.2305,51-16405,49-15563,5/3/2023,5/3/2023,DELIVERED
2,4/27/2023,NRF 3 SET ACCELERATOR WITHOUT CHLORIDES X 6 KG PACK X 4 UNIT,1,16854.08,,16854.08,20393.4368,-223.9952,16668.96,20169.4416,51-16405,49-15563,5/3/2023,5/3/2023,DELIVERED
2,4/27/2023,NRF CONCRETE ACCELERATOR PLUS X 20 KG,1,5625,,5625,6806.25,-76.9197,5561.43,6729.3303,51-16846,49-15958,6/7/2023,6/7/2023,DELIVERED
2,4/27/2023,NRF LIQUID MEMBRANE WITH POLYURETHANE X 20 KG,1,7586,,7586,9179.06,0,,0,41-312,,,6/22/2023,DELIVERED
2,4/27/2023,NRF VINYL BINDER X 1 KG BOX X 12 UNIT,1,9261,,9261,11205.81,2366.3486,11216.66,13572.1586,51-17420,49-16483,7/18/2023,7/18/2023,DELIVERED
2,4/27/2023,NRF VINYL BINDER X 4 LTS PACK X 4 UNIT,1,11182,,11182,13530.22,-147.2328,11060.32,13382.9872,51-16562,49-15700,5/18/2023,5/18/2023,DELIVERED
2,4/27/2023,NRF CONCRETE BINDER X 5 LTX PACK X 4 UNIT,1,37259.52,,37259.52,45084.0192,-498.7741,36847.31,44585.2451,51-16405,49-15563,5/3/2023,5/3/2023,DELIVERED
2,4/27/2023,NRF LIQUID MEMBRANE WITH POLYURETHANE 560 X 20 LTS,3,28560,,85680,103672.8,-1150.4801,84729.19,102522.3199,15-16446,49-15600,5/12/2023,5/12/2023,DELIVERED
2,4/27/2023,NRF CEMENTIVE WATEPROOFER 107 X 8 KG BOX X 3 UNIT,1,5569,,5569,6738.49,-75.1894,5506.86,6663.3006,51-16405,49-15563,5/3/2023,5/3/2023,DELIVERED
3,4/28/2023,NRF CONCRETE BINDER X 5 LTX PACK X 4 UNIT,2,37259.52,,74519.04,90168.0384,-997.5482,73694.62,89170.4902,51-16405,49-15563,5/3/2023,5/3/2023,DELIVERED
3,4/28/2023,NRF CONCRETE BINDER BUCKET X 20 LTS,5,35641.32,,178206.6,215629.986,-2399.7567,176223.33,213230.2293,51-16405,49-15563,5/3/2023,5/3/2023,DELIVERED
4,5/9/2023,SIZED TEXTURED HIDROFUGE BASE BUCKET X 30 KG PEARL GREY,3,16273.14,,48819.42,59071.4982,-6669.3627,43307.55,52402.1355,51-16447,49-15600,5/12/2023,5/12/2023,DELIVERED
5,5/11/2023,WHITE LIQUID COMPOUND FOR CONCRETE CURING X 200 LTS,2,311606.42,,623212.84,754087.5364,-12163.9364,613160,741923.6,51-16563,49-15700,5/18/2023,5/18/2023,DELIVERED
5,5/11/2023,WHITE LIQUID COMPOUND FOR CONCRETE CURING X 200 LTS,2,311606.42,,623212.84,754087.5364,-12163.9364,613160,741923.6,51-16613,49-15734,5/22/2023,5/22/2023,DELIVERED
6,5/15/2023,NRF VINYL BINDER X 200 LTS,1,320050.82,,320050.82,387261.4922,-4309.1004,316489.58,382952.3918,51-16563,49-15673,5/17/2023,5/17/2023,DELIVERED
7,5/16/2023,NRF VINYL BINDER X 20 LTS,6,37754.83,,226528.98,274100.0658,-27691.2856,203643.62,246408.7802,51-16612,49-15734,5/22/2023,5/22/2023,DELIVERED
