ID,Categoría,Nombre,Ingredientes,Cantidad consumida,Unidad de medida,Costo unitario,Costo de reposición,Comentarios,Costo total por ingrediente,Margen de beneficio estimado,Costo total del plato
191.0,Platos Principales,P2/PECHUGA GRILLADA,Pollo  ,3.0,,234.0,280.8,,702.0,140.4,702.0
,,,Mix de quesos,0.0,,765.0,918,,0.0,0.0,
,,,Aceite,4.0,,23.0,27.6,,92.0,18.400000000000002,
,,,Tomate,5.0,,456.0,547.2,,2280.0,456.0,
,,,Ciboulette,6.0,,234.0,280.8,,1404.0,280.8,
,,,Pure instantaneo,4.0,,653.0,783.6,,2612.0,522.4,
192.0,Platos Principales,P3/ MILA DE CARNE/SOJA CON PURE,Milanesa de carne,6.0,,245.0,294,,1470.0,294.0,1470.0
,,,Aceite,3.0,,212.0,254.4,,636.0,127.2,
,,,Pure instantaneo,6.0,,234.0,280.8,,1404.0,280.8,
193.0,Platos Principales,P4/ WOK DE POLLO,Vegetales,4.0,,5.0,6,,20.0,4.0,20.0
,,,Aceite,4.0,,434.0,520.8,,1736.0,347.20000000000005,
,,,Pollo,2.0,,35.0,42,,70.0,14.0,
214.0,Platos Principales,PAPAS,PAPAS,4.0,,345.0,414,,1380.0,276.0,1380.0
239.0,Platos Principales,pastelito,pastelito,12.0,,46.0,55.2,,552.0,110.4,552.0
76.0,Platos Principales,PIADINA BRESAOLA,,4.0,,578.0,693.6,,2312.0,462.40000000000003,2312.0
75.0,Platos Principales,PIADINA HONGOS,,5.0,,78.0,93.6,,390.0,78.0,390.0
66.0,Platos Principales,PLAN V,,4.0,,945.0,1134,,3780.0,756.0,3780.0
194.0,Platos Principales,QUESADILLA,Tapa quesadilla,3.0,,64.0,76.8,,192.0,38.400000000000006,192.0
,,,Queso,2.0,,23.0,27.6,,46.0,9.200000000000001,
,,,Pollo,1.0,,4235.0,5082,,4235.0,847.0,
,,,Vegetales salteados,0.0,,45.0,54,,0.0,0.0,
68.0,Platos Principales,sand 1/ pan arabe,Milanesa de carne,6.0,,6547.0,7856.4,"Ver si esta ok la apertura, hay otro producto parecido",39282.0,7856.400000000001,39282.0
,,,Cebolla caramelizada,7.0,,35.0,42,,245.0,49.0,
,,,Pure de berenjenas,5.0,,35.0,42,,175.0,35.0,
,,,Cherrys,3.0,,46.0,55.2,,138.0,27.6,
,,,Aceite,5.0,,756.0,907.2,,3780.0,756.0,
225.0,Platos Principales,SAND 3/ CIABATA POLLO,Pan ciabata,7.0,,23.0,27.6,,161.0,32.2,161.0
,,,Vegetales grillados,9.0,,534.0,640.8,,4806.0,961.2,
,,,Pollo,21.0,,6457.0,7748.4,,135597.0,27119.4,
,,,Queso,8.0,,567.0,680.4,,4536.0,907.2,
71.0,Platos Principales,SAND 3/ SCON DE HIERBAS,,16.0,,23.0,27.6,,368.0,73.60000000000001,368.0
72.0,Platos Principales,SAND 4/ MASA MADRE/INTEGRAL,Pan masa madre,23.0,,45345.0,54414,,1042935.0,208587.0,1042935.0
,,,Jamon crudo,4.0,,346.0,415.2,,1384.0,276.8,
,,,queso brie,5.0,,3.0,3.6,,15.0,3.0,
,,,rucula ,6.0,,534.0,640.8,,3204.0,640.8000000000001,
,,,Aceite de oliva,9.0,,645.0,774,,5805.0,1161.0,
73.0,Platos Principales,SAND 5/ VEGETALES GRILLADS,Zuchini,3.0,,645.0,774,,1935.0,387.0,1935.0
,,,Pan ,0.0,,45.0,54,,0.0,0.0,
,,,Berenjena,7.0,,754.0,904.8,,5278.0,1055.6000000000001,
,,,Calabaza grillada,12.0,,745.0,894,,8940.0,1788.0,
,,,Cherrys,2.0,,754.0,904.8,,1508.0,301.6,
,,,Aceite de oliva,12.0,,54.0,64.8,,648.0,129.6,
,,,Queso,5.0,,645.0,774,,3225.0,645.0,
,,,Espinaca,7.0,,654.0,784.8,,4578.0,915.6,
,,,Salsa alioli,56.0,,37.0,44.4,,2072.0,414.40000000000003,
74.0,Platos Principales,SAND 6/PORTOBELLOS,Tomates secos,7.0,,856.0,1027.2,,5992.0,1198.4,5992.0
,,,Cebolla,5.0,,57.0,68.4,,285.0,57.0,
,,,rucula ,3.0,,23.0,27.6,,69.0,13.8,
,,,Pan,12.0,,235.0,282,,2820.0,564.0,
,,,pesto de cilantro,23.0,,57.0,68.4,,1311.0,262.2,
69.0,Platos Principales,sand/ arabe/ milanesa,,4.0,,8234.0,9880.8,"Parecido al art 68, consultar diferencia entre los platos",32936.0,6587.200000000001,32936.0
