code,brand,Wheel millimeters ,Tire profile,Wheel size,Origin,Price without VAT,Price with VAT," Price in dollars
",Wholesale price (40u),Wholesale price in cash(40u)
4029,METZELER-300-18 TL ME 77,300,80,18,Brasil,39948,48337.08,40.35151515,1534003,1438128
4034,METZELER-130/80-17 TL LASERTEC,130,80,17,Brasil,99216,120051.36,100.2181818,3809894,3571776
4037,METZELER-150/70-17 TL LASERTEC,150,70,17,Brasil,87751,106178.71,88.63737374,3369638,3159036
4040,METZELER-110/90-16 ME77,110,90,16,Brasil,65362,79088.02,66.02222222,2509900,2353032
4041,METZELER-130/90-15 TL ME77,130,90,15,Brasil,67171,81276.91,67.84949495,2579366,2418156
4042,METZELER-140/90-15 ME77,140,90,15,Brasil,70803,85671.63,71.51818182,2718835,2548908
4044,METZELER-130/80-18 TL LASERTEC,130,80,18,Brasil,109697,132733.37,110.8050505,4212364,3949092
4046,METZELER-130/90-16 TL ME77,130,90,16,Brasil,70803,85671.63,71.51818182,2718835,2548908
4047,METZELER-120/90-16 TL ME77,120,90,16,Brasil,65362,79088.02,66.02222222,2509900,2353032
4048,METZELER-90/100-18 ME77,90,100,18,Brasil,38130,46137.3,38.51515152,1464192,1372680
4049,METZELER-350-18 ME77,350,,18,Brasil,43579,52730.59,44.01919192,1673433,1568844
4050,METZELER-400-18 TL ME77,400,,18,Brasil,58104,70305.84,58.69090909,2231193,2091744
4071,METZELER-120/70-17 TL LASERTEC,120,70,17,Brasil,91408,110603.68,92.33131313,3510067,3290688
4077,METZELER-110/90-19 TL LASERTEC,110,90,19,Brasil,100553,121669.13,101.5686869,3861235,3619908
4086,METZELER-90/90-18 ENDURO3 (51P),90,90,18,Brasil,31758,38427.18,32.07878788,1219507,1143288
4087,METZELER-110/90-17 ENDURO3,110,90,17,Brasil,70557,85373.97,71.26969697,2709388,2540052
4088,METZELER-90/90-19 ENDURO3,90,90,19,Brasil,45857,55486.97,46.32020202,1760908,1650852
4089,METZELER-400-18 ENDURO3,400,,18,Brasil,65689,79483.69,66.35252525,2522457,2364804
4090,METZELER-140/80-17 ENDURO3,140,80,17,Brasil,94885,114810.85,95.84343434,3643584,3415860
4091,METZELER-120/80-18 ENDURO3,120,80,18,Brasil,70557,85373.97,71.26969697,2709388,2540052
4092,METZELER-140/80-18 ENDURO3,140,80,18,Brasil,94885,114810.85,95.84343434,3643584,3415860
4093,METZELER-90/90-21 ENDURO3,90,90,21,Brasil,45857,55486.97,46.32020202,1760908,1650852
4094,METZELER-130/80-17 ENDURO3,130,80,17,Brasil,88191,106711.11,89.08181818,3386534,3174876
4095,METZELER-90/90-21 TL ENDURO3,90,90,21,Brasil,54735,66229.35,55.28787879,2101824,1970460
4096,METZELER-120/90-17 ENDURO3,120,90,17,Brasil,74092,89651.32,74.84040404,2845132,2667312
4097,METZELER-80/90-21 ENDURO3,80,90,21,Brasil,38811,46961.31,39.2030303,1490342,1397196
4098,METZELER-130/80-17 TL ENDURO3,130,80,17,Brasil,91722,110983.62,92.64848485,3522124,3301992
4104,METZELER-110/80-19 TL KAROO FECHA 2012,110,80,19,China,58443,70716.03,59.03333333,2244211,2103948
4111,METZELER -150/70R17 M/C 69H TL TOURANCE,150,70,17,China,104094,125953.74,105.1454545,3997209,3747384
4112,METZELER -110/80-19 M/C 59HDP TL TOURANCE,110,80,19,China,71357,86341.97,72.07777778,2740108,2568852
4131,METZELER -110/80-14 M/ CTL 53PDP TOURANCE,110,80,14,China,55006,66557.26,55.56161616,2112230,1980216
4132,METZELER -130/70-13 M/CTL 57 PDP TOURANCE,130,70,13,China,53886,65202.06,54.43030303,2069222,1939896
4133,METZELER -90/90-21 M/CTL 54V TOURANCE NEXT,90,90,21,China,83748,101335.08,84.59393939,3215923,3014928
4134,METZELER -110/90-17 TOURANCE,110,90,17,China,72990,88317.9,73.72727273,2802816,2627640
4135,METZELER -120/90-17 TOURANCE(64S),120,90,17,China,85192,103082.32,86.05252525,3271372,3066912
4136,METZELER-130/80-17 TOURANCE,130,80,17,China,101426,122725.46,102.4505051,3894758,3651336
4138,METZELER-90-90-21 TOURANCE,90,90,21,China,54559,66016.39,55.11010101,2095065,1964124
4140,METZELER-120/80-18 TOURANCE (62S),120,80,18,China,88129,106636.09,89.01919192,3384153,3172644
4141,METZELER -80/90-21 TOURANCE (48S),80,90,21,China,44631,54003.51,45.08181818,1713830,1606716
4142,METZELER  -90/90-21M/C 54H DP TL TOURANCE,90,90,17,China,62951,76170.71,63.58686869,2417318,2266236
4143,METZELER  -100/90-19 CTL 57V TOURANCE NEXT,100,90,19,China,70076,84791.96,70.78383838,2690918,2522736
4149,METZELER-100/90-10 TL (TT) ME5,100,90,10,Brasil,32548,39383.08,32.87676768,1249843,1171728
4153,METZELER-110/80-10 TL ME7,110,80,10,China,37511,45388.31,37.88989899,1440422,1350396
4157,METZELER-120/70-15 TL (56S) FFREE,120,70,15,Brasil,47743,57769.03,48.22525253,1833331,1718748
4182,METZELER-325-19 TL ME11,325,,19,China,47210,57124.1,47.68686869,1812864,1699560
4189,METZELER-150/80-B16 TL ME888 MARATHON ULTRA,150,80,16,Brasil,134759,163058.39,136.120202,5174745,4851324
4200,METZELER-140/90-B15 TL ME888 MARATHON ULTRA,140,90,15,Brasil,116569,141048.49,117.7464646,4476249,4196484
4201,METZELER-150/80-B15 TL ME880 MARATHON,150,80,15,Brasil,121614,147152.94,122.8424242,4669977,4378104
4202,METZELER-170/80-B15 TL ME888 MARATHON ULTRA,170,80,15,Brasil,136581,165263.01,137.9606061,5244710,4916916
4203,METZELER-130/90-B16 TL ME888 MARATHON ULTRA,130,90,16,Brasil,121833,147417.93,123.0636364,4678387,4385988
4204,METZELER-180/70-B15 TL ME888 MARATHON ULTRA,180,70,15,Brasil,138618,167727.78,140.0181818,5322931,4990248
4205,METZELER-200/70-B15 TL ME880 MARATHON,200,70,15,Brasil,155163,187747.23,156.730303,5958259,5585868
4206,METZELER-130/90-16 TL ME888 MARATHON ULTRA,130,90,16,Brasil,108004,130684.84,109.0949495,4147353,3888144
4210,METZELER-150/80-16 WWD ME888 MARATHON ULTRA,150,80,16,Brasil,120931,146326.51,122.1525253,4643750,4353516
4214,METZELER-120/90-B18 TL ME880 MARATHON,120,90,18,Brasil,117746,142472.66,118.9353535,4521446,4238856
4215,METZELER-100/90-19 TL ME888 MARATHON ULTRA,100,90,19,Brasil,92878,112382.38,93.81616162,3566515,3343608
4218,METZELER-90/90-21 TL ME880 MARATHON,90,90,21,Brasil,89070,107774.7,89.96969697,3420288,3206520
4222,METZELER-140/90-B16 TL ME888 MARATHON ULTRA,140,90,16,Brasil,131180,158727.8,132.5050505,5037312,4722480
4230,METZELER-150/70-14 TL FEELFREE,150,70,14,Brasil,73759,89248.39,74.5040404,2832345,2655324
4231,METZELER-120/80-14 TL FEELFREE,120,80,14,Brasil,61370,74257.7,61.98989899,2356608,2209320
4233,METZELER-110/70-16 TL FEELFREE,110,70,16,Brasil,56043,67812.03,56.60909091,2152051,2017548
4235,METZELER-140/70-16 TL FEELFREE,140,70,16,Brasil,57975,70149.75,58.56060606,2226240,2087100
4238,METZELER-90/90-14 TL FEELFREE-F,90,90,14,Brasil,46411,56157.31,46.87979798,1782182,1670796
4239,METZELER-100/90-14 TL FEELFREE-R,100,90,14,Brasil,51142,61881.82,51.65858586,1963852,1841112
4250,METZELER -150/70-17 TL (69R) KAROO 3,150,70,17,China,112401,136005.21,113.5363636,4316198,4046436
4251,METZELER -90/90-21 TL 54 RM+S KAROO 3,90,90,21,China,56205,68008.05,56.77272727,2158272,2023380
4252,METZELER -130/80-17 TL 65 RM+S KAROO 3,130,80,17,China,104386,126307.06,105.440404,4008422,3757896
4253,METZELER -140/80-17 TL 69 RM+S KAROO 3,140,80,17,China,108378,131137.38,109.4727273,4161715,3901608
4254,METZELER -110/80-19 TL KAROO 3,110,80,19,China,68254,82587.34,68.94343434,2620953,2457144
4255,METZELER -140/80-18 TL 70 RM+S KAROO 3,140,80,18,China,108378,131137.38,109.4727273,4161715,3901608
4256,METZELER -150/70-18 TL 70 RM+S KAROO 3,150,70,18,China,112401,136005.21,113.5363636,4316198,4046436
4262,METZELER -90/90-18 (TL) 57P - ME STREET,90,90,18,Brasil,38691,46816.11,39.08181818,1485734,1392876
4263,METZELER - 275-18 TL 42P ME STREET,275,,18,Brasil,31949,38658.29,32.27171717,1226841,1150164
4270,METZELER  -90/90-18 51P TT-ROADTEC-STREET,90,90,18,Brasil,30257,36610.97,30.56262626,1161868,1089252
4271,METZELER-80/100-18 47P TL-ROADTEC-STREET,80,100,18,Brasil,28758,34797.18,29.04848485,1104307,1035288
4273,METZELER - 275-17 47P TL-ROADTEC-STREET,275,,17,Brasil,25728,31130.88,25.98787879,987955,926208
4274,METZELER -100/90-18 56P TL-ROADTEC-STREET,100,90,18,Brasil,45388,54919.48,45.84646465,1742899,1633968
4275,METZELER-275-18 42P ROADTEC-STREET,275,100,18,Brasil,27232,32950.72,27.50707071,1045708,980352
4276,METZELER -80/100-14 (49L) ROADTEC-STREET,80,100,14,Brasil,28758,34797.18,29.04848485,1104307,1035288
4279,METZELER -90/90-18 TL (51P)-ROADTEC-STREET,90,90,18,Brasil,31783,38457.43,32.1040404,1220467,1144188
4280,METZELER -100/80R17 TL M5 SPORTEC INTERACT,100,80,17,Brasil,60101,72722.21,60.70808081,2307878,2163636
4281,METZELER -140/60R17 TL M5 SPORTEC INTERACT,140,60,17,Brasil,77760,94089.6,78.54545455,2985984,2799360
4282,METZELER -140/70R17 TL M5 SPORTEC INTERACT,140,70,17,Brasil,77760,94089.6,78.54545455,2985984,2799360
4283,METZELER -110/70R17 TL(54H)M5 SPORTEC INTERACT,110,70,17,Brasil,63636,76999.56,64.27878788,2443622,2290896
4284,METZELER -100/90-19 57H TL TOURANCE,100,90,19,China,67150,81251.5,67.82828283,2578560,2417400
4285,METZELER -90/90-19 52P TOURANCE,90,90,19,China,52740,63815.4,53.27272727,2025216,1898640
4286,METZELER-60/100-17 TT 33L -ROADTEC-STREET,60,100,17,Brasil,24207,29290.47,24.45151515,929548,871452
