outcome_id,outcome_date,outcome_price_total_buy,outcome_details_quantity,outcome_details_weight,product_id,product_code,product_type_id,product_type,product_line_id,product_line,product_colour_id,product_colour,product_stock,product_stock_min,product_estimated_weight,product_total_weight,product_price_buy,product_price_sell,updated_at,deleted_at
2,2021-06-02 00:00:00,11860,48,,169,H61 negra,3,Accessories,7,Fittings,1,Not Applicable,353,0,0,0,1013,3618.92,2023-12-15 19:55:27,
2,2021-06-02 00:00:00,11860,48,,169,H61 negra,3,Accessories,7,Fittings,1,Not Applicable,353,0,0,0,1013,3618.92,2023-12-15 19:55:27,
2,2021-06-02 00:00:00,11860,48,,169,H61 negra,3,Accessories,7,Fittings,1,Not Applicable,353,0,0,0,1013,3618.92,2023-12-15 19:55:27,
2,2021-06-02 00:00:00,11860,1,,88,,3,Accessories,5,Weatherstripping,1,Not Applicable,17,0,0,0,6560,10010,2023-12-15 17:32:23,
2,2021-06-02 00:00:00,11860,1,,88,,3,Accessories,5,Weatherstripping,1,Not Applicable,17,0,0,0,6560,10010,2023-12-15 17:32:23,
2,2021-06-02 00:00:00,11860,1,,88,,3,Accessories,5,Weatherstripping,1,Not Applicable,17,0,0,0,6560,10010,2023-12-15 17:32:23,
3,2021-06-03 00:00:00,4117,1,,86,RULO,3,Accessories,5,Weatherstripping,1,Not Applicable,16,0,0,0,26000,40000,2023-12-15 15:07:18,
4,2021-06-07 00:00:00,3350,15,,528,,3,Accessories,2,Various,1,Not Applicable,239,0,0,0,266,854.41,2023-12-15 12:29:16,
4,2021-06-07 00:00:00,3350,1000,,529,TA45 6X7/16,3,Accessories,10,Screws,1,Not Applicable,36000,0,0,0,8.33,26.48,2023-12-15 12:29:16,
5,2021-06-08 00:00:00,8305,1,2023-05-07 00:00:00,38,3010/00,2,Profile,4,Módena,2,White,131,20,2023-05-07 00:00:00,1065.66,2810.88,7975.72,2023-12-15 12:29:15,
5,2021-06-08 00:00:00,8305,5,,214,T96,3,Accessories,8,Plastics,1,Not Applicable,178,0,0,0,1150,3961.55,2023-12-15 19:15:02,
6,2021-05-17 00:00:00,21004.9,20,,226,,3,Accessories,9,Wheels,1,Not Applicable,0,100,0,0,23,44.28,2023-03-03 16:33:17,2023-03-03 16:33:17
6,2021-05-17 00:00:00,21004.9,20,,226,,3,Accessories,9,Wheels,1,Not Applicable,0,100,0,0,23,44.28,2023-03-03 16:33:17,2023-03-03 16:33:17
6,2021-05-17 00:00:00,21004.9,4,2023-03-02 00:00:00,8,407337,2,Profile,3,Blacksmith,2,White,122,20,2023-05-02 00:00:00,18853606205251,2869.44,7261.22,2023-12-15 20:30:41,
6,2021-05-17 00:00:00,21004.9,4,2023-03-02 00:00:00,8,407337,2,Profile,3,Blacksmith,2,White,122,20,2023-05-02 00:00:00,18853606205251,2869.44,7261.22,2023-12-15 20:30:41,
6,2021-05-17 00:00:00,21004.9,4,2023-03-02 00:00:00,8,407337,2,Profile,3,Blacksmith,2,White,122,20,2023-05-02 00:00:00,18853606205251,2869.44,7261.22,2023-12-15 20:30:41,
6,2021-05-17 00:00:00,21004.9,4,2023-03-02 00:00:00,8,407337,2,Profile,3,Blacksmith,2,White,122,20,2023-05-02 00:00:00,18853606205251,2869.44,7261.22,2023-12-15 20:30:41,
6,2021-05-17 00:00:00,21004.9,4,2023-03-02 00:00:00,6,407306,2,Profile,3,Blacksmith,2,White,201,20,2023-05-02 00:00:00,62029606205251,4320,7261.22,2023-12-15 20:30:41,
6,2021-05-17 00:00:00,21004.9,4,2023-03-02 00:00:00,6,407306,2,Profile,3,Blacksmith,2,White,201,20,2023-05-02 00:00:00,62029606205251,4320,7261.22,2023-12-15 20:30:41,
6,2021-05-17 00:00:00,21004.9,4,2023-03-02 00:00:00,6,407306,2,Profile,3,Blacksmith,2,White,201,20,2023-05-02 00:00:00,62029606205251,4320,7261.22,2023-12-15 20:30:41,
6,2021-05-17 00:00:00,21004.9,4,2023-03-02 00:00:00,6,407306,2,Profile,3,Blacksmith,2,White,201,20,2023-05-02 00:00:00,62029606205251,4320,7261.22,2023-12-15 20:30:41,
6,2021-05-17 00:00:00,21004.9,3,2023-05-02 00:00:00,4,407278,2,Profile,3,Blacksmith,2,White,476,15,2023-05-02 00:00:00,14890460620525,2869.44,7261.22,2023-12-15 20:30:41,
6,2021-05-17 00:00:00,21004.9,3,2023-05-02 00:00:00,4,407278,2,Profile,3,Blacksmith,2,White,476,15,2023-05-02 00:00:00,14890460620525,2869.44,7261.22,2023-12-15 20:30:41,
6,2021-05-17 00:00:00,21004.9,3,2023-05-02 00:00:00,4,407278,2,Profile,3,Blacksmith,2,White,476,15,2023-05-02 00:00:00,14890460620525,2869.44,7261.22,2023-12-15 20:30:41,
6,2021-05-17 00:00:00,21004.9,3,2023-05-02 00:00:00,4,407278,2,Profile,3,Blacksmith,2,White,476,15,2023-05-02 00:00:00,14890460620525,2869.44,7261.22,2023-12-15 20:30:41,
7,2021-06-08 00:00:00,600,2,,242,,3,Accessories,7,Fittings,4,Natural,0,50,0,0,615.28,2795.49,2023-12-15 12:29:15,
8,2021-05-17 00:00:00,834,1,1,24,403776,2,Profile,3,Blacksmith,2,White,737,30,2023-06-01 00:00:00,1015.94,2459.52,7261.22,2023-12-15 20:30:41,
9,2021-05-18 00:00:00,14461.56,2,2023-05-01 00:00:00,42,405572,2,Profile,4,Módena,2,White,559,30,2023-02-01 00:00:00,762.72,2810.88,7975.72,2023-12-15 20:10:23,
9,2021-05-18 00:00:00,14461.56,1,2023-08-03 00:00:00,311,3010/50,2,Profile,4,Módena,2,White,138,5,4,412.34,2810.88,7975.72,2023-12-15 12:34:45,
9,2021-05-18 00:00:00,14461.56,1,2023-05-07 00:00:00,38,3010/00,2,Profile,4,Módena,2,White,131,20,2023-05-07 00:00:00,1065.66,2810.88,7975.72,2023-12-15 12:29:15,
9,2021-05-18 00:00:00,14461.56,1,3.94,39,405421,2,Profile,4,Módena,2,White,323,20,2023-03-04 00:00:00,1327.63,2810.88,7975.72,2023-12-15 12:29:15,
10,2021-05-18 00:00:00,900,2,,279,TEK BOND Transparente,4,Silicones,11,Silicones,1,Not Applicable,383,50,0,0,2167,6950,2023-12-15 17:55:59,
11,2021-05-19 00:00:00,2001-06-01 00:00:00,1,2023-04-02 00:00:00,11,3005/76,2,Profile,3,Blacksmith,2,White,76,0,2.64,238.93,4320,7261.22,2023-12-15 12:29:15,
12,2021-05-19 00:00:00,5504-04-01 00:00:00,1,2023-06-06 00:00:00,72,ADR 66,2,Profile,13,Round 640,2,White,7,20,2023-03-06 00:00:00,53.01,2810.88,4810.88,2023-12-15 12:29:15,
13,2021-06-08 00:00:00,5671-02-01 00:00:00,1,2023-04-02 00:00:00,11,3005/76,2,Profile,3,Blacksmith,2,White,76,0,2.64,238.93,4320,7261.22,2023-12-15 12:29:15,
13,2021-06-08 00:00:00,5671-02-01 00:00:00,1,2023-04-04 00:00:00,292,3005/68,2,Profile,3,Blacksmith,2,White,172,10,2023-05-03 00:00:00,602.56,4320,7261.22,2023-12-15 17:55:58,
14,2021-05-19 00:00:00,350,1,,277,SIKA Negra,4,Silicones,11,Silicones,5,Black,0,100,0,0,0,0,2023-12-15 12:29:15,
15,2021-05-19 00:00:00,23618.88,1,2023-06-06 00:00:00,72,ADR 66,2,Profile,13,Round 640,2,White,7,20,2023-03-06 00:00:00,53.01,2810.88,4810.88,2023-12-15 12:29:15,
