BAR_CODE,PRODUCT_NAME,MEASURE_UNIT,CURRENT_PRICE,ITEMS_SOLD,PREVIOUS_PRICE,COST,MARGIN,TOTAL_SOLD_$,TOTAL_MARGIN,stock,DAYS,ITEM_TYPE
779170800148,VINEZIANA WHOLE WHEAT BREAD,360,1180,18,990.0,660.0,50.0,17820,11880.0,-4,3,2
779025005684,SUSSEX CLASSIC KITCHIN ROLL X3,1,1330,24,829.13,545.14,52.24,19880,13080.52,-1,3,2
78924468,DOVE ORIGINAL DEODORANT FOR WOMEN 50 CC,50,990,1,830.0,544.0,52.57,830,544.0,-1,19,2
779052001742,RAID RAID FOR FLIES AND MOSQUITOES5 IN 1,360,1270,4,1270.0,852.0,49.06,5080,3408.0,-1,75,2
779052001757,RAID EXTERMINATES COCKROACHES,390,1100,2,840.0,561.56,49.58,1680,1123.12,-1,27,2
779129000844,CIF  CREAM ORIGINAL 750 CC,500,960,4,800.0,533.28,50.02,3200,2133.12,-1,19,2
691002100720,COLGATE TOOTHBRUSH,1,330,4,270.0,162.14,66.52,1080,648.56,-3,12,2
779325300443,AYUDIN BLEACH CLASSIC 1 LTS,1,550,14,410.0,270.11,51.79,5740,3781.54,-3,11,2
779113068375,PROCINEX ORIGINAL LIQUID PROCINEX 900 CC,900,450,6,450.0,263.11,71.03,2700,1578.66,-1,53,2
779129001196,ALA POWDER DETERGENT ALA  CLASSIC BY HAND X 400,1,470,6,420.0,204.39,106.52,2520,1208.97,-1,19,2
779052001046,RAID RAID SPIRALS X 4,4,240,18,153.33,88.0,72.84,3320,1824.0,-1,6,2
761328723645,MAGGI MASH POTATOES MAGGI 125GR,125,950,11,950.0,664.27,43.04,10450,7317.9,-1,31,2
779058066000,PRESTO PRONTA CORNFLOUR 500 G,500,520,7,520.0,350.9,48.19,3640,2456.3,-1,25,2
779400096046,SAVORA ORIGINAL 250 W/TAPAGRS,200,390,10,380.0,226.1,69.25,3800,2288.52,-1,4,2
779400096042,SAVORA SAVORA 60 GRS,60,190,6,170.0,110.0,54.55,1020,660.0,0,17,2
779400000482,HELLMANNS MAYONNAISE CLASSIC 237 GRS,,540,14,388.57,258.45,50.31,5440,3618.36,-1,4,2
779400000481,HELLMANNS MAYONNAISE CLASSIC 125,118,310,8,240.0,158.03,51.87,1920,1264.24,-3,11,2
779162018732,DANICA SAUCE GOLF W/ PICO,209,350,4,350.0,235.29,48.75,1400,941.16,0,115,2
779074823506,PUGLISI MACKEREL IN OIL PUGLISI,225,1320,1,1320.0,880.0,50.0,1320,880.0,-1,88,2
779336000506,LA CAMPAGNOLA TUNA IN OIL 170 G,120,1990,7,1790.0,1050.28,42.99,12530,9602.56,-2,17,2
779336000508,LA CAMPAGNOLA TUNA 170 G,120,1990,13,1790.0,1200.32,49.13,23270,15604.16,-3,15,2
779400096010,HELLMANS MAYONNAISE  CLASSIC 500 GRS,250,750,11,720.0,382.01,89.02,7920,4202.15,-1,4,2
779290000013,DOS ANCLAS FINE SALT  BOX 500 GRS,500,400,2,270.0,155.05,74.14,540,310.1,-1,34,2
779007200101,CELUSAL FINE SALT 500 GRS,500,350,9,293.33,194.43,50.8,2640,1749.84,-2,26,2
779235000457,INALPA LENTILS INALPA 205 GRS,205,830,2,660.0,437.5,50.89,1320,875.0,-4,11,2
779235000456,INALPA JARDINERA INALPA 350 GRS,350,620,4,597.5,395.24,51.18,2390,1580.95,-1,26,2
779058098000,ARCOR CORN,203,750,6,690.0,440.0,56.82,4140,2640.0,-1,17,2
779036072011,SWIFT MINCE,90,350,4,290.0,194.73,48.45,1130,762.8,-1,26,2
779058056790,ARCOR TOMATOES 400 G,400,500,8,450.0,300.08,49.96,3600,2400.64,-2,17,2
779518400390,NOEL TOMATOES NOEL,400,410,1,410.0,273.0,50.18,410,273.0,-1,74,2
779336000048,LA CAMPAGNOLA TOMATO PURE 520 G,520,490,9,450.0,280.72,60.3,4050,2526.48,-2,17,2
779058022190,ARCOR TOMATO PURE ARCOR,520,510,17,430.0,288.78,48.9,7310,4909.27,-5,4,2
779058095660,ARCOR SAUCE 340 GRS,340,460,19,370.0,243.69,51.83,7030,4630.11,-1,4,2
779058016080,ARCOR OIL OF CORN 890 G,900,2250,1,1950.0,1300.51,49.94,1950,1300.51,-1,18,2
779007001205,COCINERO OIL SUNFLOWER 900 CC,900,1200,11,820.0,462.0,77.49,9020,5082.0,-2,5,2
779170800151,VINEZIANA WHITE BREAD BIG,600,1730,14,1450.0,950.0,52.63,20300,13300.0,-1,3,2
77995681,TERRABUSI RHODESIA 22 G,22,260,8,260.0,168.83,54.0,2080,1350.64,-6,31,2
779217055532,QUAKER OATS INSTANT QUAKER,400,1260,1,1050.0,699.0,50.21,1050,699.0,-1,17,2
779008003771,SANCOR LOW LACTOSE LEVEL MILK,1000,850,6,850.0,571.24,48.8,5100,3427.44,-1,23,2
779007031888,LUCCHETTI VITINA CLASSIC LUCCHETTI,250,610,1,450.0,300.0,50.0,450,300.0,-1,5,2
779008003187,SANCOR DULCE DE LECHE SANCOR 250 GRS,250,840,5,740.0,496.77,48.96,3700,2483.85,-1,23,2
779008003186,SANCOR DULCE DE LECHE SANCOR 400 GRS,400,1290,7,1030.0,679.54,51.57,7210,4756.78,-1,11,2
779105801066,MANFREY DULCE DE LECHE CLASSIC 400 GR,400,1150,5,890.0,596.07,49.31,4450,2980.35,0,12,2
761328731466,NESQUIK CACAO IN POWDER  180 GRS,180,550,3,550.0,364.0,51.1,1650,1092.0,-1,46,2
779015021181,COMMON TEA LA VIRGINA  X25 BAGS,25,410,4,300.0,197.23,52.11,1200,788.92,-2,10,2
779400059918,CORNANA 500 GRS,520,640,1,640.0,423.04,51.29,640,423.04,-2,81,2
779218000487,PUREZA REFINED FLOUR 0000 1 KG130,1,1000,6,510.0,332.0,53.61,3060,1992.0,-1,10,2
779218000456,PUREZA PIZZAS FLOUR WITH YEAST,1,1360,7,601.43,385.36,56.21,4210,2697.5,-3,10,2
779271000018,AMANDA YERBA 500 GRS,500,1760,9,1150.0,765.82,50.17,10350,6892.38,-2,4,2
779007050727,NOBLEZA GAUCHA YERBA 500 GRS,500,1390,2,1040.0,641.85,62.03,2080,1283.7,-1,3,2
779003602023,SI DIET SI DIET 600 ML,600,1800,4,1800.0,1203.42,49.57,7200,4813.68,-2,40,2
779112200013,VELEZ POWDERED SUGAR 250 GRS,250,740,5,740.0,491.0,50.71,3700,2455.0,-1,60,2
779218000488,PUREZA ENRICHED FLOUR 1 KG,1,1140,7,521.43,346.86,50.34,3650,2428.0,-2,10,2
779218000490,PUREZA FLOUR FOR BREAD WITH YEAST,1,1230,2,520.0,310.5,67.47,1040,621.0,-1,10,2
779218000152,CANUELAS FLOUR CANUELAS 000,1,790,4,300.0,196.11,52.97,1210,790.83,-1,10,2
779015010078,LA VIRGINIA COFFEE CLASSIC INST 100,100,1480,1,1480.0,987.36,49.89,1480,987.36,-1,66,2
779008003821,SANCOR LONG LIFE MILK WHOLE,1,780,8,780.0,493.0,58.28,6240,3944.01,-2,37,2
779008003718,SANCOR LONG LIFE MILK LOW FAT,1,780,11,773.33,516.65,49.66,8520,5688.61,-3,23,2
779004011100,BAGLEY CHOCOLINAS BAGLEY 250 GRS,250,910,5,730.0,508.2,43.64,3650,2541.0,-2,4,2
779004087220,BAGLEY COOKIES TRAVIATA X 3,303,680,4,710.0,474.13,49.75,2840,1896.52,-1,11,2
779004037780,BAGLEY COOKIES CRIOLLITAS X 3,300,780,7,600.0,422.25,42.09,4200,2955.75,-1,17,2
779004582388,GRANIX COOKIE LINSEED GRANIX 185 GRS,185,480,3,430.0,286.49,50.09,1290,859.47,-1,17,2
77903501,OPEAR COOKIE OPEAR 55 GRS,55,450,9,260.0,174.24,49.22,2340,1568.16,-1,17,2
779004582622,GRANIX COOKIE GRANIX SESAMO 185 GRS,185,480,4,430.0,286.49,50.09,1720,1145.96,-1,11,2
762230082964,TERRABUSI COOKIE LINCOLN 153 GRS,153,430,14,430.0,296.45,45.05,6020,4150.3,1,31,2
779058071680,ARCOR SALADIX CALABRESA 100 GRS,100,620,4,515.0,341.83,50.72,2060,1367.3,-1,17,2
779062810268,MAURI VANILLAS MAURI 80 GRS,80,340,22,270.0,177.0,52.54,5940,3894.0,-4,11,2
