Order Item Id,Order Type,Daraz Id,Seller SKU,Daraz SKU,Created at,Updated at,Order Number,Invoice Required,Customer Name,Shipping City,Shipping Postcode,Shipping Country,Billing City,Billing Country,Payment Method,Paid Price,Shipping Fee,Wallet Credits,Item Name,Variation,Shipping Provider,Shipment Type Name,Shipping Provider Type,Premium,Status,Cancel / Return Initiator,Reason,Reason Detail,Editor,Bundle ID,Bundle Discount,Refund Amount
176293558810091,Normal,176293558810091,T127781-Mehroon,434372966_PK-2141547359,2023-12-21 14:48:05,2023-12-21 14:48:43,176293558710091,No,Customer 1,Pattoki,,Pakistan,Pattoki,Pakistan,COD,589,109,,GT Mini Buket Bags For Girls Cross Body Shoulder Bag Long shoulder strap,Color Family:Maroon,,Dropshipping,standard,No,Pending,,,,,,,
176275591336263,Normal,176275591336263,T127781-Mehroon,434372966_PK-2141547359,2023-12-21 11:23:14,2023-12-21 11:23:37,176275591236263,No,Customer 2,Sukkur,,Pakistan,Sukkur,Pakistan,COD,589,119,,GT Mini Buket Bags For Girls Cross Body Shoulder Bag Long shoulder strap,Color Family:Maroon,,Dropshipping,standard,No,Pending,,,,,,,
176262582037537,Normal,176262582037537,T127781-Mehroon,434372966_PK-2141547359,2023-12-21 1:13:56,2023-12-21 1:14:09,176262581937537,No,Customer 3,Lahore - Punjab Society,,Pakistan,Lahore - Ferozpur Road,Pakistan,COD,589,99,,GT Mini Buket Bags For Girls Cross Body Shoulder Bag Long shoulder strap,Color Family:Maroon,,Dropshipping,standard,No,Pending,,,,,,,
176251565086893,Normal,176251565086893,T127781-Mehroon,434372966_PK-2141547359,2023-12-20 22:10:33,2023-12-20 22:10:51,176251564986893,No,Customer 4,Multan - New Multan,,Pakistan,Multan - New Multan,Pakistan,COD,589,109,,GT Mini Buket Bags For Girls Cross Body Shoulder Bag Long shoulder strap,Color Family:Maroon,,Dropshipping,standard,No,Pending,,,,,,,
175329837776075,Normal,175329837776075,T127781-Black,434372966_PK-2141547354,2023-12-19 10:30:10,2023-12-22 14:54:59,175329837676075,No,Customer 5,Islamabad - G - 8,,Pakistan,Islamabad - G - 8,Pakistan,COD,589,109,,GT Mini Buket Bags For Girls Cross Body Shoulder Bag Long shoulder strap,Color Family:Black,PK-DEX,Dropshipping,standard,No,Delivered,,,,,,,
176116975084930,Normal,176116975084930,T127781-Black,434372966_PK-2141547354,2023-12-19 6:38:57,2023-12-20 19:10:37,176116974984930,No,Customer 6,Nowshera,,Pakistan,Nowshera,Pakistan,COD,589,109,,GT Mini Buket Bags For Girls Cross Body Shoulder Bag Long shoulder strap,Color Family:Black,PK-CALLCOURIER,Dropshipping,standard,No,Shipped,,,,,,,
175318806006386,Normal,175318806006386,T127781-Black,434372966_PK-2141547354,2023-12-19 1:01:51,2023-12-21 19:17:40,175318805906386,No,Customer 7,Rawalpindi - Dhamyal,,Pakistan,Rawalpindi - Saddar,Pakistan,COD,589,109,,GT Mini Buket Bags For Girls Cross Body Shoulder Bag Long shoulder strap,Color Family:Black,PK-DEX,Dropshipping,standard,No,Delivered,,,,,,,
175307667952106,Normal,175307667952106,T127781-Mehroon,434372966_PK-2141547359,2023-12-18 23:37:01,2023-12-22 6:50:07,175307667852106,No,Customer 8,Karachi - Garden,,Pakistan,Karachi - Garden,Pakistan,COD,589,119,,GT Mini Buket Bags For Girls Cross Body Shoulder Bag Long shoulder strap,Color Family:Maroon,PK-DEX,Dropshipping,standard,No,Shipped,,,,,,,
175292272686256,Normal,175292272686256,T127781-Mehroon,434372966_PK-2141547359,2023-12-18 20:25:05,2023-12-22 6:39:49,175292272586256,No,Customer 9,Karachi - Scheme 33,,Pakistan,Karachi - Scheme 33,Pakistan,COD,589,119,,GT Mini Buket Bags For Girls Cross Body Shoulder Bag Long shoulder strap,Color Family:Maroon,PK-DEX,Dropshipping,standard,No,Shipped,,,,,,,
175286859829453,Normal,175286859829453,T127781-Black,434372966_PK-2141547354,2023-12-18 19:21:19,2023-12-20 3:37:27,175286859729453,No,Customer 10,Hyderabad - Central City,,Pakistan,Hyderabad - Central City,Pakistan,COD,589,119,,GT Mini Buket Bags For Girls Cross Body Shoulder Bag Long shoulder strap,Color Family:Black,PK-DEX,Dropshipping,standard,No,Shipped,,,,,,,
175260228465391,Normal,175260228465391,T367199-Blue,434372966_PK-2141547358,2023-12-18 12:43:37,2023-12-19 18:26:44,175260228365391,No,Customer 11,Hyderabad - Latifabad,,Pakistan,Hyderabad - Latifabad,Pakistan,COD,579,119,,GT Mini Buket Bags For Girls Cross Body Shoulder Bag Long shoulder strap,Color Family:Blue,PK-DEX,Dropshipping,standard,No,Pending,,,,,,,
175255017148414,Normal,175255017148414,T127781-Mehroon,434372966_PK-2141547359,2023-12-18 11:03:37,2023-12-20 13:26:28,175255017048414,No,Customer 12,Rawalpindi - Pakistan Town,,Pakistan,Rawalpindi - PWD,Pakistan,COD,589,109,,GT Mini Buket Bags For Girls Cross Body Shoulder Bag Long shoulder strap,Color Family:Maroon,PK-DEX,Dropshipping,standard,No,Delivered,,,,,,,
175249868000450,Normal,175249868000450,T127781-Mehroon,434372966_PK-2141547359,2023-12-18 10:52:37,2023-12-19 15:28:01,175249867900450,No,Customer 13,Jampur,,Pakistan,Jampur,Pakistan,COD,589,109,,GT Mini Buket Bags For Girls Cross Body Shoulder Bag Long shoulder strap,Color Family:Maroon,PK-LCS,Dropshipping,standard,No,Shipped,,,,,,,
175248013929387,Normal,175248013929387,T127781-Black,434372966_PK-2141547354,2023-12-18 8:17:42,2023-12-19 16:59:38,175248013829387,No,Customer 14,Garhi Habibullah,,Pakistan,Garhi Habibullah,Pakistan,COD,589,109,,GT Mini Buket Bags For Girls Cross Body Shoulder Bag Long shoulder strap,Color Family:Black,PK-TCS,Dropshipping,standard,No,Shipped,,,,,,,
175235430927539,Normal,175235430927539,T127781-Black,434372966_PK-2141547354,2023-12-18 0:31:21,2023-12-18 1:02:32,175235430827539,No,Customer 15,Lahore - Baghbanpura,,Pakistan,Lahore - Baghbanpura,Pakistan,COD,589,99,,GT Mini Buket Bags For Girls Cross Body Shoulder Bag Long shoulder strap,Color Family:Black,,Dropshipping,standard,No,Canceled,cancellation-customer,Change of mind,,,,,
176045300736983,Normal,176045300736983,T127781-Mehroon,434372966_PK-2141547359,2023-12-17 23:57:20,2023-12-19 16:58:17,176045300636983,No,Customer 16,Gilgit,,Pakistan,Gilgit,Pakistan,COD,589,109,,GT Mini Buket Bags For Girls Cross Body Shoulder Bag Long shoulder strap,Color Family:Maroon,PK-TCS,Dropshipping,standard,No,Shipped,,,,,,,
175218274758548,Normal,175218274758548,T127781-Mehroon,434372966_PK-2141547359,2023-12-17 22:31:03,2023-12-19 18:22:59,175218274658548,No,Customer 17,Lahore - Chung,,Pakistan,Lahore - Chung,Pakistan,COD,589,99,,GT Mini Buket Bags For Girls Cross Body Shoulder Bag Long shoulder strap,Color Family:Maroon,PK-DEX,Dropshipping,standard,No,Delivered,,,,,,,
176024554803150,Normal,176024554803150,T127781-Mehroon,434372966_PK-2141547359,2023-12-17 21:43:41,2023-12-20 17:48:01,176024554703150,No,Customer 18,Gojra,,Pakistan,Gojra,Pakistan,COD,589,109,,GT Mini Buket Bags For Girls Cross Body Shoulder Bag Long shoulder strap,Color Family:Maroon,PK-DEX,Dropshipping,standard,No,Delivered,,,,,,,
175177268752741,Normal,175177268752741,T127781-Black,434372966_PK-2141547354,2023-12-17 16:09:13,2023-12-22 13:28:55,175177268352741,No,Customer 19,Chichawatni,,Pakistan,Chichawatni,Pakistan,COD,589,109,,GT Mini Buket Bags For Girls Cross Body Shoulder Bag Long shoulder strap,Color Family:Black,PK-CALLCOURIER,Dropshipping,standard,No,Delivered,,,,,,,
175145857733671,Normal,175145857733671,T127781-Brown,434372966_PK-2141547356,2023-12-17 9:41:45,2023-12-20 19:09:46,175145857633671,No,Customer 20,Daska,,Pakistan,Daska,Pakistan,COD,589,109,,GT Mini Buket Bags For Girls Cross Body Shoulder Bag Long shoulder strap,Color Family:Brown,PK-CALLCOURIER,Dropshipping,standard,No,Shipped,,,,,,,
175914311750559,Normal,175914311750559,T367199-Blue,434372966_PK-2141547358,2023-12-16 19:52:53,2023-12-22 13:06:35,175914311650559,No,Customer 21,Larkana,,Pakistan,Larkana,Pakistan,COD,579,109,,GT Mini Buket Bags For Girls Cross Body Shoulder Bag Long shoulder strap,Color Family:Blue,PK-DEX,Dropshipping,standard,No,Delivered,,,,,,,
175070056844450,Normal,175070056844450,T127781-Yellow,434372966_PK-2141547355,2023-12-16 14:29:24,2023-12-19 0:14:12,175070056744450,No,Customer 22,Bhakoki,,Pakistan,Bhakoki,Pakistan,COD,589,109,,GT Mini Buket Bags For Girls Cross Body Shoulder Bag Long shoulder strap,Color Family:Yellow,PK-TCS,Dropshipping,standard,No,Shipped,,,,,,,
175065056851642,Normal,175065056851642,T127781-Coffee,434372966_PK-2141547357,2023-12-16 13:49:00,2023-12-18 14:23:56,175065056751642,No,Customer 23,Lahore - Garhi Shahu,,Pakistan,Lahore - Garhi Shahu,Pakistan,COD,589,99,,GT Mini Buket Bags For Girls Cross Body Shoulder Bag Long shoulder strap,Color Family:Coffee,PK-DEX,Dropshipping,standard,No,Delivered,,,,,,,
175855369044450,Normal,175855369044450,T127781-Coffee,434372966_PK-2141547357,2023-12-16 10:49:17,2023-12-19 1:03:02,175855368944450,No,Customer 22,Bhakoki,,Pakistan,Bhakoki,Pakistan,COD,589,109,,GT Mini Buket Bags For Girls Cross Body Shoulder Bag Long shoulder strap,Color Family:Coffee,PK-TCS,Dropshipping,standard,No,Shipped,,,,,,,
