Order ID,Financial Status,Paid at,Fulfillment Status,Currency,Subtotal,Total,Shipping Method,Lineitem quantity,Lineitem name,Lineitem requires shipping,Lineitem taxable,Billing Province,Billing Country,Channel Type,Channel Name,Payment Method
1,PAID,09-06-2023,fulfilled,USD,100,100,Online,1,Course,FALSE,TRUE,MA,United States,ONLINE,Squarespace,Stripe
2,PAID,09-07-2023,fulfilled,USD,100,100,Online,1,Course,FALSE,TRUE,MA,United States,ONLINE,Squarespace,Stripe
3,PAID,09-07-2023,fulfilled,USD,100,100,Online,1,Course,FALSE,TRUE,MA,United States,ONLINE,Squarespace,Stripe
4,PAID,09-07-2023,fulfilled,USD,300,300,Online,3,Course,FALSE,TRUE,TX,United States,ONLINE,Squarespace,Stripe
5,PAID,09-07-2023,fulfilled,USD,200,200,Online,2,Course,FALSE,TRUE,TX,United States,ONLINE,Squarespace,Stripe
6,PAID,09-07-2023,fulfilled,USD,15,15,Online,1,Tour,FALSE,TRUE,TX,United States,ONLINE,Squarespace,Stripe
7,PAID,09-07-2023,fulfilled,USD,200,200,Online,2,Course,FALSE,TRUE,CT,United States,ONLINE,Squarespace,Stripe
8,PAID,09-07-2023,fulfilled,USD,20,25,Standard Shipping,1,Art Print,TRUE,TRUE,MA,United States,ONLINE,Squarespace,Stripe
9,PAID,09-07-2023,fulfilled,USD,100,100,Online,1,Course,FALSE,TRUE,MA,United States,ONLINE,Squarespace,Stripe
10,PAID,09-07-2023,fulfilled,USD,100,100,Online,1,Course,FALSE,TRUE,MA,United States,ONLINE,Squarespace,Stripe
11,PAID,09-07-2023,fulfilled,USD,15,15,Online,1,Tour,FALSE,TRUE,MA,United States,ONLINE,Squarespace,Stripe
12,PAID,09-07-2023,fulfilled,USD,15,30,Online,2,Tour,FALSE,TRUE,TX,United States,ONLINE,Squarespace,Stripe
13,PAID,09-07-2023,fulfilled,USD,200,200,Online,2,Course,FALSE,TRUE,RI,United States,ONLINE,Squarespace,Stripe
14,PAID,09-07-2023,fulfilled,USD,15,15,Online,1,Tour,FALSE,TRUE,RI,United States,ONLINE,Squarespace,Stripe
15,PAID,09-07-2023,fulfilled,USD,200,200,Online,2,Course,FALSE,TRUE,MA,United States,ONLINE,Squarespace,Stripe
16,PAID,09-08-2023,fulfilled,USD,20,25,Standard Shipping,1,Art Print,TRUE,TRUE,MA,United States,ONLINE,Squarespace,Stripe
