Item Code,Category,Description,Width,Height,Minimum order,Unit price,Units for discouts,% discount,% vat
106,Blankets and Bedspreads,COUNTRY Bedspread 1 1/2 Pl.,1.6,2.30,10,"$8,333",25,15,10.5
108,Blankets and Bedspreads,COUNTRY Bedspread 2 1/2 Pl.,2.4,2.30,10,"$11,611",25,15,10.5
14,Blankets and Bedspreads,Polar Colors 1 Pl.,1.5,2.10,10,"$4,278",25,15,10.5
16,Blankets and Bedspreads,Polar Colors 2 Pl.,2.10,2.00,10,"$5,222",25,15,10.5
305,Blankets and Bedspreads,Double Sided Blanket Brand FRAZABELLA 1 Pl.,1.5,2.10,5,"$5,144",20,15,10.5
307,Blankets and Bedspreads,Double Sided Blanket Brand FRAZABELLA 2 Pl.,2.1,2.00,5,"$6,456",20,15,10.5
55,Blankets and Bedspreads,Aldeana Colors 1 Pl.,1.5,2.00,10,"$3,569",25,15,21
77,Blankets and Bedspreads,Aldeana Colores 2 Pl.,2.10,2.00,10,"$4,528",25,15,10.5
10101,Bath courtain,LABRADA Shower Curtain Teflon treatment 100% Polyester,1.80,1.8,20,$3.89,100,10.5,21
10102,Bath courtain,PRINTED Teflon Shower Curtain 100% Polyester,1.80,1.8,20,$4.67,100,10.5,21
8311,COUNTRY Tablecloth Elegant Line LABRADOS,COUNTRY WORKED TABLECLOTH ELEGANT Line,1.45,1.45,20,"$1,994",100,10.5,21
8318,COUNTRY Tablecloth Elegant Line LABRADOS,COUNTRY WORKED TABLECLOTH ELEGANT Line,1.45,1.8,20,"$2,411",100,10.5,21
8320,COUNTRY Tablecloth Elegant Line LABRADOS,COUNTRY WORKED TABLECLOTH ELEGANT Line,1.45,2,20,"$2,567",100,10.5,21
8325,COUNTRY Tablecloth Elegant Line LABRADOS,COUNTRY WORKED TABLECLOTH ELEGANT Line,1.45,2.5,20,"$2,994",100,10.5,21
8330,COUNTRY Tablecloth Elegant Line LABRADOS,COUNTRY WORKED TABLECLOTH ELEGANT Line,1.45,3,20,"$3,411",100,10.5,21
8335,COUNTRY Tablecloth Elegant Line LABRADOS,COUNTRY WORKED TABLECLOTH ELEGANT Line,1.45,3.5,20,"$3,850",100,10.5,21
8301,COUNTRY Tablecloth Elegant Line LABRADOS,COUNTRY CARVED TABLECLOTH ELEGANT ROUND Line,1.45,1.45,20,"$2,228",100,10.5,21
8302,COUNTRY Tablecloth Elegant Line LABRADOS,COUNTRY CARVED TABLECLOTH ELEGANT ROUND Line,1.8,1.8,20,"$3,422",100,10.5,21
8211,COUNTRY Tablecloth PRINTED DECO Line,COUNTRY PRINTED TABLECLOTH DECO Line,1.45,1.45,20,"$2,696",100,10.5,21
8218,COUNTRY Tablecloth PRINTED DECO Line,COUNTRY PRINTED TABLECLOTH DECO Line,1.45,1.8,20,"$3,278",100,10.5,21
8220,COUNTRY Tablecloth PRINTED DECO Line,COUNTRY PRINTED TABLECLOTH DECO Line,1.45,2,20,"$3,400",100,10.5,21
8225,COUNTRY Tablecloth PRINTED DECO Line,COUNTRY PRINTED TABLECLOTH DECO Line,1.45,2.5,20,"$3,984",100,10.5,21
8230,COUNTRY Tablecloth PRINTED DECO Line,COUNTRY PRINTED TABLECLOTH DECO Line,1.45,3,20,"$4,559",100,10.5,10.5
8235,COUNTRY Tablecloth PRINTED DECO Line,COUNTRY PRINTED TABLECLOTH DECO Line,1.45,3.5,20,"$5,140",100,10.5,10.5
8201,COUNTRY Tablecloth PRINTED DECO Line,COUNTRY PRINTED TABLECLOTH DECO Line,1.45,1.45,20,"$2,933",100,10.5,21
8202,COUNTRY Tablecloth PRINTED DECO Line,COUNTRY PRINTED TABLECLOTH DECO Line,1.8,1.8,20,"$4,278",100,10.5,10.5
6002,MICROFIBER WIND TOWELS,1ST QUALITY MICROFIBER TOWEL. Various colors,1.4,0.7,10,"$7,556",50,15,10.5
6047,100% COTTON PERCALE PILLOWCASES,PACK x 2 PLAIN PERCALE,0.4,0.75,5,"$2,889",100,15,21
6057,100% COTTON PERCALE PILLOWCASES,PACK x 2 PLAIN PERCALE,0.5,0.75,5,"$3,244",100,15,21
