CODE,DESCRIPTION,U.M,PRICE USD,U. MEASURE,UNITARY PRICE,AVAILABLE?,U.M,PRICE USD WHOLESALE,6 QUOTES usd,12 QUOTES usd,cash price mep ars,wholesale cash price ars,Wholesale shipping cost ars,retail shipping cost ars
10002,Galvanized Chapa Shared Esp. 0.41mm - Caliber 27 (PAQ 50),KG,"7,060",ML.,"28,25",YES,PAQ,"18,361.07",3672.214,2142.12,15496743.08,6609985.2,30993.48616,50832
10001,Galvanized chapa acanalada Esp. 0.50mm - 25 caliber (paq 50),KG,"6,540",ML.,"32,36",YES,PAQ,"21,036.02",4207.204,2454.2,17754400.88,7572967.2,35508.80176,47088
10007,Galvanized chapa acanalada Esp. 0.70mm - 22 caliber (paq 50),KG,"6,580",ML.,"45,56",YES,PAQ,"29,611.01",5922.202,3454.62,24991692.44,10659963.6,49983.38488,47376
10003,Galvanized Trapezoidal Chapa. 0.50mm - 25 caliber (PAQ 50),KG,"6,600",ML.,"32,67",YES,PAQ,"21,237.59",4247.518,2477.72,17924525.96,7645532.4,35849.05192,47520
10006,Galvanized Trapezoidal Chapa. 0.70mm - 22 caliber (PAQ 50),KG,"6,580",ML.,"45,09",YES,PAQ,"29,311.48",5862.296,3419.67,24738889.12,10552132.8,49477.77824,47376
11012,Chapa Cincalum Share,KG,"7,390",ML.,"29,56",YES,PAQ,"19,212.83",3842.566,2241.5,16215628.52,6916618.8,32431.25704,53208
11011,Chapa Cincalum Share,KG,"6,870",ML.,"33,78",YES,PAQ,"21,956.19",4391.238,2561.56,18531024.36,7904228.4,37062.04872,49464
11013,Chapa Cincalum Share,KG,"6,750",ML.,"46,23",YES,PAQ,"30,047.03",6009.406,3505.49,25359693.32,10816930.8,50719.38664,48600
11002,CINCALUM PHAPE Trapezoidal Esp. 0.41mm - Caliber 27 (PAQ 50),KG,"7,460",ML.,"29,84",YES,PAQ,"19,397.56",3879.512,2263.05,16371540.64,6983121.6,32743.08128,53712
11001,CINCALUM PHAPE Trapezoidal Esp. 0.50mm - 25 caliber (PAQ 50),KG,"6,930",ML.,"34,10",YES,PAQ,"22,166.62",4433.324,2586.11,18708627.28,7979983.2,37417.25456,49896
11003,CINCALUM PHAPE Trapezoidal Esp. 0.70mm - 22 caliber (PAQ 50),KG,"6,810",ML.,"46,32",YES,PAQ,"30,109.26",6021.852,3512.75,25412215.44,10839333.6,50824.43088,49032
12001,Prepintada Chapa Shared Esp. 0.50mm - 25 caliber (PAQ 50),KG,"9,170",ML.,"47,61",YES,PAQ,"30,944.44",6188.888,3610.18,26117107.36,11139998.4,52234.21472,66024
12017,Prepintada Chapa Shared Esp. 0.71mm - 22 caliber (PAQ 50),KG,"8,860",ML.,"62,19",YES,PAQ,"40,426.13",8085.226,4716.38,34119653.72,14553406.8,68239.30744,63792
12021,Prepintada Trapezoidal Chapa. 0.50mm - 25 caliber (PAQ 50),KG,"9,260",ML.,"48,06",YES,PAQ,"31,237.26",6247.452,3644.35,26364247.44,11245413.6,52728.49488,66672
12037,Prepintada Trapezoidal Chapa. 0.71mm - 22 caliber (PAQ 50),KG,"8,940",ML.,"61,89",YES,PAQ,"40,226.51",8045.302,4693.09,33951174.44,14481543.6,67902.34888,64368
11012,Chapa Cincalum Share,KG,"7,390",ML.,"29,56",YES,PAQ,"19,212.83",3842.566,2241.5,16215628.52,6916618.8,32431.25704,53208
11011,Chapa Cincalum Share,KG,"6,870",ML.,"33,78",YES,PAQ,"21,956.19",4391.238,2561.56,18531024.36,7904228.4,37062.04872,49464
11013,Chapa Cincalum Share,KG,"6,750",ML.,"46,23",YES,PAQ,"30,047.03",6009.406,3505.49,25359693.32,10816930.8,50719.38664,48600
11002,CINCALUM PHAPE Trapezoidal Esp. 0.41mm - Caliber 27 (PAQ 50),KG,"7,460",ML.,"29,84",YES,PAQ,"19,397.56",3879.512,2263.05,16371540.64,6983121.6,32743.08128,53712
11001,CINCALUM PHAPE Trapezoidal Esp. 0.50mm - 25 caliber (PAQ 50),KG,"6,930",ML.,"34,10",YES,PAQ,"22,166.62",4433.324,2586.11,18708627.28,7979983.2,37417.25456,49896
11003,CINCALUM PHAPE Trapezoidal Esp. 0.70mm - 22 caliber (PAQ 50),KG,"6,810",ML.,"46,32",YES,PAQ,"30,109.26",6021.852,3512.75,25412215.44,10839333.6,50824.43088,49032
28021,H 4/6 mm profile,,"5,909",UN,"26,50",YES,PAQ,"6,307.59",1261.518,735.89,5323605.96,2270732.4,10647.21192,42544.8
28022,H 8/10 mm profile,,"6,570",UN,"26,50",YES,PAQ,"6,331.82",1266.364,738.71,5344056.08,2279455.2,10688.11216,47304
28023,4/6 mm profile,,"7,950",UN,"6,92",YES,PAQ,"6,547.65",1309.53,763.89,5526216.6,2357154,11052.4332,57240
28024,Profile U 8/10 mm,,"6,900",UN,"8,22",YES,PAQ,"6,500.30",1300.06,758.37,5486253.2,2340108,10972.5064,49680
11012,Chapa Cincalum Share,KG,"7,390",ML.,"29,56",YES,PAQ,"19,212.83",3842.566,2241.5,16215628.52,6916618.8,32431.25704,53208
11011,Chapa Cincalum Share,KG,"6,870",ML.,"33,78",YES,PAQ,"21,956.19",4391.238,2561.56,18531024.36,7904228.4,37062.04872,49464
11013,Chapa Cincalum Share,KG,"6,750",ML.,"46,23",YES,PAQ,"30,047.03",6009.406,3505.49,25359693.32,10816930.8,50719.38664,48600
11002,CINCALUM PHAPE Trapezoidal Esp. 0.41mm - Caliber 27 (PAQ 50),KG,"7,460",ML.,"29,84",YES,PAQ,"19,397.56",3879.512,2263.05,16371540.64,6983121.6,32743.08128,53712
