product,price_for_kilo,price_for_half_kilo,price_for_quarter_kilo,%_profit,kilo_bag,kilo_cost,half_kilo_bag,half_kilo_cost,quarter_kilo_bag,quarter_kilo_cost,recharge_per_bag_rate
Pareil peeled almond,15470,8120,4260,30,3570,11900,387,7.735,203,4061,5%
Guara peeled almond,13650,7170,3760,30,3150,10500,341,6.825,179,3583,5%
peeled hazelnut,0,0,0,,0,0,0,0,0,0,5%
cashew nut,12740,6690,3510,30,2940,9800,319,6.37,167,3344,5%
whole brazil nut,0,0,0,30,0,0,0,0,0,0,5%
split brazil nut,0,0,0,,0,0,0,0,0,0,5%
nut,8190,4300,2260,30,1890,6.3,205,4.095,107,2150,5%
roasted and salty pistacchio,15600,8190,4300,30,3600,12,390,7.8,205,4095,5%
repelled roasted peanut,2880,1510,790,60,1080,1.8,72,1.44,38,756,5%
Dissecked blueberries,13260,7290,4010,30,3060,10.2,663,6.63,365,3647,10%
pitted plums,2380,1310,720,40,680,1.7,119,1.19,65,655,10%
seedless sultana raisins,0,0,0,40,0,0,0,0,0,0,20%
jumbo raisins,3500,2100,1260,40,1000,2500,350,1.75,210,1050,20%
Dissecked banana chips,8320,4580,2520,30,1920,6400,416,4.16,229,2288,10%
"Mix nuts (brunette raisins and blondes, peanuts, nut, hazelnuts, cashew, almond) 40% nuts!",7200,3780,1980,60,2700,4500,180,3.6,95,1890,5%
Mix of nuts without peanuts 60% nuts!,8650,4540,2380,40,2470,6175,216,4.323,113,2269,5%
Mix of nuts without raisins 60% nuts!,8330,4370,2300,40,2380,5950,208,4.165,109,2187,5%
Mix of nuts without raisins and without peanut 100%nuts!,12080,6340,3330,40,3450,8625,302,6.038,158,3170,5%
"tropical mix (more dehydrated tropical fruits, blueberries, banana chips, etc)",8240,4330,2270,60,3090,5150,206,4.12,108,2163,5%
Poppole 100 g,1250,0,0,45,3870,8600,0,0,0,0,20%
Chia,4200,2520,1260,40,1200,3000,420,2.1,252,1260,20%
Pelated sunflower,2800,1680,840,40,800,2000,280,1.4,168,840,20%
ventilated linen,1330,800,400,40,380,950,133,665,80,399,20%
Integral Sesame,3500,2100,1050,40,1000,2500,350,1.75,210,1050,20%
Black Sesame,10640,6380,3190,40,3040,7600,1.064,5.32,638,3192,20%
100 g pumpkin seed,0,0,0,45,0,0,0,0,0,0,20%
"Mix of seeds linen, chia, sesame and sunflower",3060,1840,920,75,"1312,5",1750,306,1.531,184,919,20%
almond flour with skin,0,0,0,35,0,0,0,0,0,0,20%
almond flour without skin,2700,1620,970,35,700,2000,270,1.35,162,810,20%
coconut flour,2970,1780,1070,35,770,2200,297,1.485,178,891,20%
Chocolate almonds,16380,9010,4950,30,3780,12.6,819,8.19,450,4505,10%
chocolate peanuts,8060,4430,2440,30,1860,6.2,403,4.03,222,2217,10%
grape raisins with chocolate,10400,5720,3150,30,2400,8,520,5.2,286,2860,10%
Chocolate cereal,10400,5720,3150,30,2400,8,520,5.2,286,2860,10%
Macrozen Fine and Thick Marine Salt 500 G,,1100,,50,750,1.5,75,750,0,0,10%
Salt from the Himalayas,,2160,1300,100,1800,1800,360,1.8,216,1080,20%
Baking powder,5270,3160,1900,50,1755,3510,527,2.633,316,1580,20%
Sodium bicarbonate,5150,3090,1850,50,1715,3430,515,2.573,309,1544,20%
shredded coconut,6000,3600,2160,50,2000,4000,600,3,360,1800,20%
Extra pizza marinade,0,880,320,100,1600,1600,80,800,32,320,10%
Extra ground chili,0,1930,700,100,3500,3500,175,1750,70,700,10%
Garlic powder,0,1820,660,100,3300,3300,165,1650,66,660,10%
Gray garlic,0,2200,800,100,4000,4000,200,2000,80,800,10%
cinnamon powder,0,3030,1100,100,5500,5500,275,2750,110,1100,10%
cumin powder,0,3690,1340,100,6700,6700,335,3350,134,1340,10%
turmeric,0,1380,500,100,2500,2500,125,1250,50,500,10%
ginger powder,0,1270,460,100,2300,2300,115,1150,46,460,10%
ground nutmeg,0,0,0,100,0,0,0,0,0,0,10%
oregano,0,2060,750,100,3750,3750,"187,5",1875,75,750,10%
pure paprika,0,0,0,100,0,0,0,0,0,0,10%
"White, black and green mix grain pepper",0,0,0,100,0,0,0,0,0,0,10%
Common Provencal,0,880,320,100,1600,1600,80,800,32,320,10%
