Lot,Product,Status,% Sieve ,% Sieve Fall ,% Tainted,% Less Tainted,% Uncolored,% SLightly Faded,% Decorated,%Less Decorated  ,% Broken,% Wrinkled,% Gnawed,% Wallowed,% Frozen,% Moldy,% Sprouted,Field Chopped %,Other Types %,% Other Defects
AL-250-001,Bean Processed - 250,Pending Authorization ,"98,25 ","0,25  ","2,75  ","0,75  ",0,0,"2,25  ","6,25  ","0,25  ","0,50  ",0,"2,75  ",0,0,0,"0,75  ",0,"0,01  "
AL-250-004,Bean Processed - 250,Pending Authorization ,"97,75 ","2,25  ","1,00  ","0,01  ",0,0,"0,75  ","6,00  ","0,50  ","3,25  ","0,50  ","1,75  ",0,0,0,"2,00  ",0,"0,50  "
AL-ORG-001,Bean Processed - Organic,Exported ,"99,75 ","0,25  ","0,75  ","0,50  ",0,0,"0,50  ","5,50  ","0,01  ",0,"0,50  ",0,0,0,0,"0,25  ",0,0
AL-ORG-002,Bean Processed - Organic,Exported ,"99,75 ","0,25  ","0,75  ","0,50  ",0,0,"0,50  ","5,50  ","0,01  ",0,"0,50  ",0,0,0,0,"0,25  ",0,0
AL-ORG-005,Bean Processed - Organic,Exported ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL-220-001,Red Light Processed - 220,Pending Authorization ,"97,75 ","2,25  ","2,25  ","1,00  ",0,0,"6,00  ","10,50 ","0,50  ",0,"2,00  ","3,00  ",0,0,0,"2,25  ","0,01  ",0
CL-220-002,Red Light Processed - 220,Pending Authorization ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL-220-003,Red Light Processed - 220,Pending Authorization ,"99,25 ","0,75  ","3,50  ","1,00  ",0,0,"3,50  ","10,50 ",0,0,"1,00  ","1,50  ",0,0,0,"2,25  ",0,0
CL-220-005,Red Light Processed - 220,Pending Authorization ,"96,50 ","3,50  ","1,75  ",0,0,0,"8,50  ","18,75 ","0,75  ","2,50  ","1,50  ","1,75  ",0,0,0,"0,50  ",0,0
CL-240-006,Red Light Processed - 240,Pending Authorization ,"98,25 ","1,75  ","3,50  ",0,"0,01  ",0,"3,50  ","12,50 ","0,50  ",0,"1,50  ","1,00  ",0,0,0,"2,25  ","1,51  ",0
CL-240-007,Red Light Processed - 240,Pending Authorization ,"99,00 ","1,00  ","2,00  ","0,50  ",0,0,"1,25  ","1,00  ","0,25  ",0,"0,75  ","0,50  ","0,25  ",0,0,"0,75  ","11,25 ",0
CL-240-008,Red Light Processed - 240,Pending Authorization ,"97,00 ","3,00  ","0,75  ",0,0,0,"0,50  ","1,00  ",0,0,"0,75  ","0,50  ","0,01  ",0,0,"0,25  ","11,50 ","0,25  "
CL-240-009,Red Light Processed - 240,Pending Authorization ,"98,99 ","0,01  ","0,75  ","0,50  ","2,25  ",0,"0,75  ","0,75  ","0,01  ","0,25  ","0,50  ","1,00  ","0,01  ","0,50  ",0,"0,25  ","9,75  ","3,00  "
CL-240-010,Red Light Processed - 240,Pending Authorization ,"99,50 ",0,"1,00  ","0,25  ",0,0,"0,75  ","0,50  ",0,0,"0,25  ",0,0,0,0,"0,50  ","11,50 ",0
CL-240-011,Red Light Processed - 240,Pending Authorization ,"99,00 ","1,00  ","2,00  ",0,0,0,"0,75  ","1,00  ","0,01  ","0,25  ","1,00  ","0,75  ","0,25  ",0,0,0,"14,50 ",0
CL-240-012,Red Light Processed - 240,Pending Authorization ,"98,50 ","1,50  ","3,00  ","1,50  ","0,01  ",0,"0,75  ","1,25  ","0,25  ","0,75  ","0,25  ","0,25  ",0,0,0,0,"12,00 ","4,75  "
CL-240-013,Red Light Processed - 240,Pending Authorization ,"98,25 ","1,75  ","1,00  ","1,25  ","0,50  ",0,"0,25  ","1,00  ","0,50  ","0,25  ","0,50  ","0,25  ",0,"0,25  ",0,0,"7,25  ","5,00  "
CL-240-020,Red Light Processed - 240,Pending Authorization ,"97,50 ","2,50  ","0,50  ",0,0,0,0,"1,00  ","0,25  ","0,50  ","0,25  ",0,0,0,0,"0,25  ","13,25 ","0,75  "
CL-ORG-001,Red Light Processed - Organic,Exported ,"99,00 ","1,00  ","1,25  ","0,75  ",0,0,"1,00  ","1,00  ",0,"2,50  ",0,"1,50  ",0,0,0,"1,00  ",0,"0,51  "
MU-Z35-001,Mung Processed - Sieve 3.5,Exported ,0,"1,00  ","2,25  ",0,0,0,0,0,"0,25  ","0,50  ","0,25  ","0,50  ",0,"0,01  ",0,"0,01  ",0,0
MU-Z35-002,Mung Processed - Sieve 3.5,Exported ,0,"0,50  ","2,00  ",0,0,0,0,0,0,"0,25  ","0,25  ","0,75  ",0,"0,01  ",0,"0,25  ",0,0
MU-Z35-003,Mung Processed - Sieve 3.5,Exported ,0,"1,00  ","2,50  ",0,0,0,"0,25  ",0,0,"1,25  ","0,25  ","0,25  ",0,"0,25  ",0,"0,01  ",0,0
MU-Z35-004,Mung Processed - Sieve 3.5,Exported ,0,"2,00  ","1,50  ",0,0,0,0,0,"0,25  ","0,75  ","0,50  ","11,00 ",0,"0,01  ",0,0,0,0
MU-Z35-005,Mung Processed - Sieve 3.5,Exported ,0,"2,00  ","1,00  ",0,0,0,"0,25  ",0,"0,50  ","0,25  ","0,50  ","4,00  ",0,"0,01  ",0,"0,01  ",0,0
MU-Z35-006,Mung Processed - Sieve 3.5,Exported ,0,"1,00  ","3,50  ",0,0,0,"0,25  ",0,"0,25  ","2,00  ","0,25  ","1,00  ",0,"0,01  ",0,0,0,0
MU-Z35-007,Mung Processed - Sieve 3.5,Exported ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA-Z40-001,NAVY Processed - Sieve 4.0,Pending Authorization ,0,0,"0,75  ","1,00  ",0,0,"7,00  ","7,50  ","0,01  ","0,50  ","0,01  ",0,0,0,0,"1,00  ",0,"0,01  "
NA-Z40-002,NAVY Processed - Sieve 4.0,Pending Authorization ,0,"4,00  ","1,25  ",0,0,0,"6,00  ","6,75  ","0,25  ","0,25  ",0,"0,25  ",0,0,0,"0,25  ",0,"0,25  "
NA-Z40-005,NAVY Processed - Sieve 4.0,Exported ,0,"1,75  ","1,50  ",0,0,0,"3,50  ","5,50  ",0,"0,25  ","0,01  ","1,50  ",0,0,0,"0,50  ",0,"0,50  "
NE-ORG-001,Black Processed - Organic,Authorized,0,"0,50  ",0,0,0,"0,01  ","1,00  ","2,00  ",0,"0,75  ",0,0,0,"0,01  ",0,0,0,0
NE-ORG-002,Black Processed - Organic,Authorized,0,"0,25  ",0,0,"0,50  ",0,"1,50  ","0,25  ","0,25  ","1,00  ","0,25  ",0,"0,25  ",0,0,"0,50  ",0,0
NE-ORG-003,Black Processed - Organic,Authorized,0,"0,25  ",0,0,"0,25  ",0,"1,75  ","0,25  ","0,25  ","1,50  ","0,01  ",0,0,0,0,"0,50  ",0,0
NE-ORG-004,Black Processed - Organic,Exported ,0,"0,25  ",0,0,"0,25  ",0,"2,00  ","0,25  ","0,25  ","0,50  ","0,25  ",0,"0,50  ",0,0,"0,75  ",0,0
NE-ORG-005,Black Processed - Organic,Exported ,0,"0,25  ",0,0,"0,25  ",0,"1,00  ","0,25  ","0,25  ","1,50  ","0,01  ","0,25  ","0,25  ",0,0,"0,25  ","0,02  ",0
NE-ORG-010,Black Processed - Organic,Exported ,0,0,0,0,"0,50  ",0,"1,00  ","0,75  ","0,01  ","1,00  ","0,50  ",0,"0,25  ",0,0,"1,00  ",0,0
NE-ORG-011,Black Processed - Organic,Authorized,0,0,0,0,"0,50  ",0,"1,00  ","0,75  ","0,01  ","1,00  ","0,50  ",0,"0,25  ",0,0,"1,00  ",0,0
NE-ORG-012,Black Processed - Organic,Authorized,0,0,0,0,"0,50  ",0,"1,00  ","0,75  ","0,01  ","1,00  ","0,50  ",0,"0,25  ",0,0,"1,00  ",0,0
NE-ORG-013,Black Processed - Organic,Authorized,0,"0,75  ",0,0,"0,25  ",0,"1,25  ","1,00  ","0,50  ",0,"0,25  ",0,"0,25  ",0,0,"0,50  ",0,0
NE-ORG-014,Black Processed - Organic,Pending Authorization ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-ORG-015,Black Processed - Organic,Exported ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-ORG-016,Black Processed - Organic,Exported ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-ORG-017,Black Processed - Organic,Exported ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-PDO-001,Black Processed - PARTIDO,Pending Authorization ,0,"38,00 ",0,0,"1,75  ",0,0,0,0,0,0,"0,50  ","1,50  ",0,0,"0,50  ",0,0
NE-Z30-001,Black Processed - Sieve 3.0,Exported ,0,"0,50  ",0,0,0,"1,00  ","0,50  ","1,50  ","0,25  ","0,25  ","0,50  ",0,"0,25  ","0,25  ",0,"0,01  ","0,02  ",0
NE-Z30-002,Black Processed - Sieve 3.0,Exported ,0,"2,00  ",0,0,"1,00  ","0,50  ","0,25  ","0,25  ","0,01  ","0,50  ","0,25  ",0,0,"0,01  ",0,0,0,0
NE-Z30-003,Black Processed - Sieve 3.0,Exported ,0,"0,50  ",0,0,0,"1,00  ","0,50  ","1,50  ","0,25  ","0,25  ","0,50  ",0,"0,25  ","0,25  ",0,"0,01  ","0,02  ",0
NE-Z30-004,Black Processed - Sieve 3.0,Exported ,0,"2,00  ",0,0,"1,00  ","0,50  ","0,25  ","0,25  ","0,01  ","0,50  ","0,25  ",0,0,"0,01  ",0,0,0,0
NE-Z30-005,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,75  ","0,25  ","0,75  ","1,00  ","0,25  ",0,"0,25  ","0,25  ",0,0,0,"3,00  ","0,26  ",0
NE-Z30-006,Black Processed - Sieve 3.0,Exported ,0,0,0,0,"0,50  ","0,75  ","0,25  ","0,50  ","0,01  ",0,"0,50  ","0,50  ",0,0,0,"1,25  ","0,01  ",0
NE-Z30-007,Black Processed - Sieve 3.0,Exported ,0,0,0,0,"0,50  ","0,25  ","0,75  ","1,25  ","0,01  ",0,"0,25  ","0,01  ",0,0,0,"1,00  ",0,0
NE-Z30-008,Black Processed - Sieve 3.0,Exported ,0,"0,25  ",0,0,0,"0,25  ","1,75  ","2,50  ","0,25  ","0,01  ",0,0,0,0,0,"0,75  ","0,01  ",0
NE-Z30-009,Black Processed - Sieve 3.0,Exported ,0,"0,25  ",0,0,"0,25  ","0,25  ","1,50  ","2,50  ","0,25  ","0,25  ","0,01  ",0,0,0,0,"1,00  ",0,0
NE-Z30-010,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,50  ",0,0,"1,00  ","0,50  ","1,25  ","0,50  ","0,50  ",0,"0,02  ","1,25  ",0,0,0,"1,00  ",0,0
NE-Z30-011,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,25  ","0,75  ","2,00  ",0,"0,25  ","0,50  ","0,25  ","2,00  ",0,0,0,"1,50  ",0,0
NE-Z30-012,Black Processed - Sieve 3.0,Pending Authorization ,0,0,0,0,0,"0,25  ","0,25  ",0,0,"1,25  ","0,25  ","0,25  ","0,25  ",0,0,"0,75  ",0,0
NE-Z30-013,Black Processed - Sieve 3.0,Pending Authorization ,0,0,0,0,"0,50  ",0,"0,25  ","0,01  ","0,01  ","1,00  ","0,01  ","1,00  ","0,50  ",0,0,"0,50  ",0,0
NE-Z30-014,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,50  ",0,"0,25  ",0,0,"0,50  ","0,01  ","0,25  ","0,50  ",0,0,"1,00  ",0,0
NE-Z30-015,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,50  ",0,"0,25  ","0,25  ",0,"1,25  ",0,"1,00  ","1,00  ",0,0,"1,25  ",0,0
NE-Z30-016,Black Processed - Sieve 3.0,Pending Authorization ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-Z30-017,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,25  ","0,50  ","0,25  ",0,0,"0,25  ","0,01  ","2,00  ","0,75  ",0,0,"0,50  ",0,0
NE-Z30-018,Black Processed - Sieve 3.0,Pending Authorization ,0,0,0,0,"0,50  ",0,"0,25  ",0,0,"1,00  ",0,"0,25  ","1,50  ",0,0,"0,75  ",0,0
NE-Z30-020,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,50  ",0,"0,25  ",0,"0,01  ","1,00  ",0,"2,00  ","0,75  ",0,0,"1,25  ",0,0
NE-Z30-021,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,50  ",0,"0,25  ",0,0,"0,50  ","0,01  ","0,25  ","0,50  ",0,0,"1,00  ",0,0
NE-Z30-022,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,50  ",0,"0,25  ",0,0,"0,50  ","0,01  ","0,25  ","0,50  ",0,0,"1,00  ",0,0
NE-Z30-023,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"1,50  ","0,50  ","0,50  ","0,50  ",0,"1,00  ","0,01  ","0,75  ","0,75  ",0,0,"1,50  ",0,0
NE-Z30-024,Black Processed - Sieve 3.0,Pending Authorization ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-Z30-025,Black Processed - Sieve 3.0,Pending Authorization ,0,"0,25  ",0,0,"0,25  ",0,"0,25  ",0,"0,01  ","0,75  ","0,25  ","0,50  ","0,25  ",0,0,"1,50  ",0,0
