id,type,public_lightpost,aerial_cable,subterranean_cable,other_services,lng,lat,unit_cost,quantity,total_cost
5323,Concrete,False,0,0,1,-58.04854345534896254, -29.7947855253404299," $42,600.00",1," $42,600.00"
7532,Concrete,False,0,0,3,-59.51747553150979542,-30.02509964688219668," $42,600.00",2," $85,200.00"
9381,Wood,False,0,0,8,-58.83137901076766241, -27.4639672011976117," $28,800.00",5," $144,000.00"
5398,Concrete,True,3,0,5,-58.05271261317735565,-29.79469286130243333," $42,600.00",1," $42,600.00"
9090,Concrete,False,0,0,4,-59.52378360319974604,-30.02226868318814468," $42,600.00",5," $213,000.00"
800,Bracket,True,0,0,1,-58.81818009039839268,-27.52285989530478716," $16,900.00",1," $16,900.00"
4662,Wood,False,0,0,0,-58.84093042359167924,-27.47317900077839781," $28,800.00",5," $144,000.00"
1904,Bracket,False,5,0,11,-58.84331908418617729,-27.46483450751221866," $16,900.00",3," $50,700.00"
3425,Concrete,False,0,0,0,-58.05520067743919554, -29.7854517563180714," $42,600.00",4," $170,400.00"
1310,Wood,False,0,0,0,-58.84573593761826515,-27.47113432527560661," $28,800.00",2," $57,600.00"
9666,Wood,False,0,0,0,-58.82946272513921571,-27.47003768568664128," $28,800.00",3," $86,400.00"
3586,Concrete,True,0,0,5,-58.04872916717598486,-29.78533695723283614," $42,600.00",4," $170,400.00"
6411,Wood,False,0,0,7,-58.83651947936748172,-27.46470623662353461," $28,800.00",6," $172,800.00"
322,Bracket,False,0,0,5,-58.85148351016457013, -27.4686359792969732," $16,900.00",1," $16,900.00"
4295,Wood,False,5,0,0,-58.05509191887922071,-29.78955474856744701," $28,800.00",7," $201,600.00"
5838,Concrete,False,4,0,2,-58.04805718575692453,-29.79787113139401455," $42,600.00",5," $213,000.00"
7592,Concrete,False,0,0,0,-59.51970116418974754,-30.02736281950978992," $42,600.00",3," $127,800.00"
1990,Wood,False,0,0,4,-58.84138365703139328,-27.46272019066775272," $28,800.00",5," $144,000.00"
1343,Bracket,True,0,0,6,-58.8456409019805875 , -27.4700091466356433," $16,900.00",2," $33,800.00"
4110,Concrete,False,2,0,2,-58.05781443646465334,-29.78660794608846629," $42,600.00",8," $340,800.00"
6005,Wood,False,0,0,4,-58.83741500806122815,-27.47209527329107459," $28,800.00",8," $230,400.00"
1315,Wood,False,0,0,0,-58.84514429290865678,-27.47130913234204641," $28,800.00",1," $28,800.00"
4828,Concrete,False,2,0,5,-58.04659350377762905,-29.79594347858719061," $42,600.00",4," $170,400.00"
3418,Concrete,True,4,0,0,-58.05777702965318099,-29.78321864989633028," $42,600.00",3," $127,800.00"
8428,Concrete,True,0,0,3,-59.5288849461201508 ,-30.02959398643300659," $42,600.00",4," $170,400.00"
3628,Concrete,True,0,0,0,-58.0452321383529366 ,-29.78921423412329617," $42,600.00",6," $255,600.00"
3538,Concrete,True,2,0,5,-58.05031951725494821, -29.7843587557480447," $42,600.00",3," $127,800.00"
5312,Concrete,False,0,0,0,-58.04880248214175964,4 -29.795919642259868," $42,600.00",8," $340,800.00"
5366,Wood,False,5,0,0,-58.0521725636347341 ,-29.79338545488900891," $28,800.00",2," $57,600.00"
6658,Concrete,False,2,0,0,-59.51088572812696498, -30.0267662066269807," $42,600.00",5," $213,000.00"
7923,Concrete,False,2,0,1,-59.52313982509545554,-30.03071076579658083," $42,600.00",1," $42,600.00"
7623,Concrete,True,0,0,2,-59.51768289512875043,-30.02805126879845332," $42,600.00",3," $127,800.00"
3739,Wood,False,3,0,0,-58.05189434556663031,-29.78621499953353791," $28,800.00",3," $86,400.00"
9352,Wood,True,0,0,6,-58.83157698636713206,-27.46258047518514189," $28,800.00",7," $201,600.00"
202,Concrete,False,3,0,2,-58.5081942794997687 ,-27.37171593124051938," $42,600.00",2," $85,200.00"
8001,Wood,False,0,0,1,-58.83321910381767594,-27.46867005545380991," $28,800.00",8," $230,400.00"
6916,Wood,True,0,0,0,-58.83621740774368192,-27.47271014754176477," $28,800.00",1," $28,800.00"
6567,Concrete,False,4,0,0,-59.50743066427145322,-30.02274193560129945," $42,600.00",1," $42,600.00"
5784,Concrete,False,2,0,0,-58.04640141593289826,-29.79779109222116062," $42,600.00",5," $213,000.00"
