Item Id,Sold Date,Canceled Date,Completed Date,Item Title,Order Status,Shipped to State,Shipped from State,Item Price,Buyer Shipping Fee,Gross Payments,Seller Shipping Fee,Mercari Selling Fee,Payment Processing Fee,Shipping Adjustment Fee,Seller Sales Profit,Sales Tax Charged to Buyer,,West coast
m92562060980,1/12/2021,,1/16/2021,Starbucks Hawaii Tumbler NWT,Completed,California,Minnesota,20,0,20,3.49,2,0.88,0,13.63,1.55,,x
m65782986150,1/21/2021,,1/26/2021,Rare Desert Cactus Venti Tumbler,Completed,California,Minnesota,36,4.6,40.6,0,3.6,1.34,0,31.06,3.51,,x
m78959409991,1/24/2021,,1/29/2021,Skechers Black Loafers Sneakers 13 mens,Completed,California,Minnesota,26,4.99,30.99,0,2.6,1.05,0,22.35,2.02,,x
m11853704628,2/4/2021,,2/9/2021,Adidas Black Womens Joggers small,Completed,California,Minnesota,11,4.99,15.99,0,1.1,0.62,0,9.28,0.85,,x
m88533476582,2/3/2021,,2/9/2021,Columbia Fleece Red Orange Mahogany,Completed,California,Minnesota,18,3.49,21.49,0,1.8,0.82,0,15.38,1.62,,x
m88873014234,2/5/2021,,2/12/2021,Nike Pullover Half Zip Gray Black XS S,Completed,California,Minnesota,20,0,20,3.49,2,0.88,0,13.63,1.55,,x
m13523593848,2/9/2021,,2/13/2021,"16 5"" Squishmallow NWT NWOT HTF 2019",Completed,California,Minnesota,110,4.99,114.99,0,11,3.49,0,95.51,9.08,,x
m85396376459,2/7/2021,,2/16/2021,Nike Air Max Access Black Size 6Y 7,Completed,California,Minnesota,31,0,31,3.49,3.1,1.2,0,23.21,2.4,,x
m38206386051,2/7/2021,,2/16/2021,Nike FlyKnit Zoom HyperSpike Volleyball,Completed,California,Minnesota,39,0,39,3.49,3.9,1.43,0,30.18,3.02,,x
m80205513004,2/11/2021,,2/17/2021,Sweatshirt Hoodie Bundle fleece sherpa,Completed,California,Minnesota,25,9.99,34.99,0,2.5,1.03,0,21.47,1.94,,x
m77760325449,2/15/2021,,2/19/2021,Tommy Hilfiger Sweatpants Joggers NWOT,Completed,California,Minnesota,27,0,27,3.49,2.7,1.08,0,19.73,2.5,,x
m95854743747,2/11/2021,,2/20/2021,7 pc XS Pajama Pants Bundle,Completed,California,Minnesota,15,4.99,19.99,0,1.5,0.74,0,12.76,1.16,,x
m15933886603,2/13/2021,,2/20/2021,Adidas T-Shirt Womens Small Black/White,Completed,California,Minnesota,10,3.49,13.49,0,1,0.59,0,8.41,0.9,,x
m21200576177,2/13/2021,,2/23/2021,Vans Slip On Skate Shoes Black 7,Completed,California,Minnesota,25,0,25,3.49,2.5,1.03,0,17.98,2.31,,x
m15034754470,2/15/2021,,2/23/2021,Nike Blue Ribbon Roche Sneakers Flyknit,Completed,California,Minnesota,15,0,15,3.49,1.5,0.74,0,9.27,1.31,,x
m69751155848,2/20/2021,,2/26/2021,Starbucks Siren Scales Travel Tumbler,Completed,California,Minnesota,10,0,10,3.49,1,0.59,0,4.92,0.78,,x
m34193250228,2/23/2021,,3/1/2021,Converse All Star Chucks Low Top Black,Completed,California,Minnesota,20,0,20,3.49,2,0.88,0,13.63,1.55,,x
m33797198447,2/25/2021,,3/2/2021,NEW Disney Characters Tervis Tumbler 24,Completed,California,Minnesota,28,0,28,3.49,2.8,1.11,0,20.6,2.59,,x
m59282663615,2/24/2021,,3/2/2021,PJ Bundle Joggers + Long Sleeve Small,Completed,California,Minnesota,12,3.49,15.49,0,1.2,0.65,0,10.15,1.05,,x
m55049146966,2/26/2021,,3/3/2021,Nike Air Max Thea Premium Tie Dye 9,Completed,California,Minnesota,20,3.49,23.49,0,2,0.88,0,17.12,1.45,,x
m56873326798,2/24/2021,,3/5/2021,Back to school reserved,Completed,California,Minnesota,10,0,10,3.49,1,0.59,0,4.92,0.95,,x
m53737447772,3/1/2021,,3/6/2021,"Athleta Black Leggings - Large, Sports",Completed,California,Minnesota,26,0,26,3.49,2.6,1.05,0,18.86,2.37,,x
m76407155881,3/2/2021,,3/6/2021,NWT Cordless Auto Hair Curler Conair,Completed,California,Minnesota,47,3.49,50.49,0,4.7,1.66,0,40.64,4.47,,x
m26971715007,3/1/2021,,3/7/2021,World Market Mason Jar Measuring Spoons,Completed,California,Minnesota,6,3.49,9.49,0,0.6,0.47,0,4.93,0.47,,x
m76531356641,3/2/2021,,3/8/2021,Four Starbucks Rainbow Confetti Cold Cup,Completed,California,Minnesota,35,0,35,3.65,3.5,1.32,0,26.53,3.33,,x
m73146778062,3/2/2021,,3/8/2021,Starbucks Grande Honeycomb Studded Cup,Completed,California,Minnesota,38,3.65,41.65,0,3.8,1.4,0,32.8,3.61,,x
m40763028227,3/3/2021,,3/9/2021,Lush Big Blue Ocean Sea Salt Bath Bomb,Completed,California,Minnesota,8,4.99,12.99,0,0.8,0.53,0,6.67,0.74,,x
m10757521949,3/9/2021,,3/15/2021,4 Starbucks Aprons Green and Red,Completed,California,Minnesota,19,3.65,22.65,0,1.9,0.85,0,16.25,1.47,,x
m84865853676,3/11/2021,,3/15/2021,NWOT Lacoste Sports Polo Mens Large,Completed,California,Minnesota,18,3.49,21.49,0,1.8,0.82,0,15.38,1.58,,x
m97454645017,3/11/2021,,3/15/2021,North Face Sherpa Faux Fur Black Jacket,Completed,California,Minnesota,18,3.49,21.49,0,1.8,0.82,0,15.38,1.85,,x
m42632466877,3/8/2021,,3/16/2021,Starbucks Rose Gold Stainless Steel Cup,Completed,California,Minnesota,30,3.65,33.65,0,3,1.17,0,25.83,2.33,,x
m68509234193,3/12/2021,,3/17/2021,Coral HTF Starbucks Hot Cup,Completed,California,Minnesota,10,0,10,3.49,1,0.59,0,4.92,0.95,,x
m53972277919,3/10/2021,,3/18/2021,Starbucks Cold Foam Lids New,Completed,California,Minnesota,25,3.65,28.65,0,2.5,1.03,0,21.47,1.94,,x
m59038426160,3/12/2021,,3/19/2021,Starbucks Venti Honeycomb Studded Cup,Completed,California,Minnesota,55,0,55,5.99,5.5,1.9,0,41.61,5.36,,x
