Shop,Date,Shift,Tickets,Covers,System Sales,Lounge Sales,Delivery Sales,Bar Sales,Delivery Quantity,Lounge Quantity,Sale Fiscal,Visa Card,Visa electron,Pedidos Ya,Mercado Pago,Rappi
CDLM 2,01/01/2023,Noche,48,109,278647,188196,58765,31686,20,7,130311,119194,0,34973,0,0
CDLM 1,01/01/2023,Noche,122,151,527417,346042,159085,22290,55,6,242995,179414,0,"86192,9",0,"16296,6"
CDLM 3,01/01/2023,Noche,75,160,369197,285118,82259,1820,27,1,406380,125105,0,51857,0,1599
CDLM 4,01/01/2023,Noche,59,46,"214559,5","93021,5",111098,10440,39,2,237941,59150,0,53797,0,"22320,4"
CDLM 6,01/01/2023,Noche,134,202,"635095,9","438220,5",154854,"42021,4",59,5,449506,63922,"205610,5",102883,41546,0
CDLM 5,02/01/2023,Mediodía,59,0,189166,189166,0,0,0,0,0,25938,46340,0,13900,0
CDLM 4,02/01/2023,Mediodía,22,18,71785,36895,31335,3555,15,1,0,7290,8890,16983,10500,903
CDLM 6,02/01/2023,Mediodía,32,44,146045,109055,36990,0,16,0,0,57965,0,18785,0,0
CDLM 3,02/01/2023,Mediodía,57,128,303644,263310,40334,0,15,0,0,149013,0,18398,0,"5900,3"
CDLM 1,02/01/2023,Mediodía,65,163,370836,314138,56117,581,19,1,0,158052,0,36699,0,5540
CDLM 2,02/01/2023,Mediodía,29,62,146316,124865,20401,1050,7,1,0,60607,0,"14880,8",0,0
CDLM 1,02/01/2023,Noche,68,150,"398249,5","327085,5",71164,0,24,0,504883,209232,0,46971,0,6850
CDLM 2,02/01/2023,Noche,30,61,181313,139983,37530,3800,12,1,172964,6545,70328,28361,23912,0
CDLM 3,02/01/2023,Noche,58,170,358503,338263,20240,0,9,0,405407,119243,73165,16050,44730,0
CDLM 4,02/01/2023,Noche,25,47,138259,98560,34599,5100,11,1,209273,45220,0,"24888,5",0,0
CDLM 6,02/01/2023,Noche,54,131,315081,275346,37400,2335,14,1,274088,48347,73132,33752,37165,0
