MONTH,YEAR,order_id,billing_state,billing_country,referring_platform,marketing_campaign_source,product_type,product_title, Gross Sale of Products , Customer Shipping Payment , TOTAL GROSS ORDER SALES , gross_profit ,gross_profit margin
JANUARY,2020,2017034534994,New York,United States,alphabet,google,Door Knockers,Dragon Door Knocker, $33.00 , $-   , $33.00 , $16.74 ,51%
JANUARY,2020,2017034534994,New York,United States,alphabet,google,,, $-   , $6.50 , $6.50 , $-   ,0%
JANUARY,2020,2019051470930,Georgia,United States,direct,,,Replacement Bat Pentagram, $-   , $-   , $-   , $-   ,0%
JANUARY,2020,2019926933586,Oklahoma,United States,meta,Facebook,,, $-   , $6.50 , $6.50 , $-   ,0%
JANUARY,2020,2019926933586,Oklahoma,United States,meta,Facebook,Tabletop & Statuary,Silver Skull, $32.50 , $-   , $32.50 , $14.50 ,45%
JANUARY,2020,2020114825298,California,United States,meta,Facebook,Candle Holders,Skull Tealight Holder, $15.00 , $-   , $15.00 , $6.25 ,42%
JANUARY,2020,2020114825298,California,United States,meta,Facebook,,, $-   , $-   , $(15.00), $-   ,0%
JANUARY,2020,2020114825298,California,United States,meta,Facebook,Tabletop & Statuary,Chucky, $15.00 , $-   , $15.00 , $4.00 ,27%
JANUARY,2020,2020114825298,California,United States,meta,Facebook,Tabletop & Statuary,Dr. Hannibal Lecter, $15.00 , $-   , $15.00 , $4.00 ,27%
JANUARY,2020,2020114825298,California,United States,meta,Facebook,Tabletop & Statuary,Trick 'r Treat Sam, $15.00 , $-   , $15.00 , $4.00 ,27%
JANUARY,2020,2020472619090,North Carolina,United States,meta,,Tabletop & Statuary,"See, Hear, Speak No Evil Goblins", $25.00 , $-   , $25.00 , $6.40 ,26%
JANUARY,2020,2020472619090,North Carolina,United States,meta,,,, $-   , $6.50 , $6.50 , $-   ,0%
JANUARY,2020,2021139546194,Oregon,United States,direct,,,, $-   , $6.50 , $6.50 , $-   ,0%
JANUARY,2020,2021139546194,Oregon,United States,direct,,Wall Art & Decor,Bat Wall Decor With Hooks, $22.00 , $-   , $22.00 , $7.00 ,32%
JANUARY,2020,2022881755218,Florida,United States,alphabet,google,,, $-   , $6.50 , $6.50 , $-   ,0%
JANUARY,2020,2022881755218,Florida,United States,alphabet,google,Candle Holders,Skull Tealight Holder, $15.00 , $-   , $15.00 , $6.25 ,42%
JANUARY,2020,2023627063378,Texas,United States,alphabet,google,,, $-   , $6.50 , $6.50 , $-   ,0%
JANUARY,2020,2023627063378,Texas,United States,alphabet,google,Tabletop & Statuary,Cthulhu Statue, $35.00 , $-   , $35.00 , $7.00 ,20%
JANUARY,2020,2024030371922,New Mexico,United States,direct,,,, $-   , $-   , $-   , $-   ,0%
JANUARY,2020,2024030371922,New Mexico,United States,direct,,Rug,Goat Skull Area Rug, $70.00 , $-   , $70.00 , $-   ,0%
JANUARY,2020,2024891875410,Pennsylvania,United States,meta,,,, $-   , $6.50 , $6.50 , $-   ,0%
JANUARY,2020,2024891875410,Pennsylvania,United States,meta,,Doormats,Spirit Board Doormat, $38.00 , $-   , $38.00 , $16.00 ,42%
JANUARY,2020,2025288433746,Florida,United States,meta,,,, $-   , $6.50 , $6.50 , $-   ,0%
JANUARY,2020,2025288433746,Florida,United States,meta,,Tabletop & Statuary,Chucky, $15.00 , $-   , $15.00 , $4.00 ,27%
JANUARY,2020,2026859266130,Washington,United States,meta,Facebook,,, $-   , $6.50 , $6.50 , $-   ,0%
JANUARY,2020,2026859266130,Washington,United States,meta,Facebook,Tabletop & Statuary,Monster & Bride, $19.00 , $-   , $19.00 , $4.00 ,21%
JANUARY,2020,2027228037202,Washington,United States,meta,Facebook,,, $-   , $6.50 , $6.50 , $-   ,0%
JANUARY,2020,2027228037202,Washington,United States,meta,Facebook,Tabletop & Statuary,Horror Statuary - Michael Myers, $15.00 , $-   , $15.00 , $4.00 ,27%
JANUARY,2020,2027228037202,Washington,United States,meta,Facebook,Tabletop & Statuary,Horror Statuary - Jason, $15.00 , $-   , $15.00 , $4.00 ,27%
JANUARY,2020,2027434442834,Washington,United States,meta,,bedding,Spirit Board Blanket, $45.00 , $-   , $45.00 , $17.25 ,38%
JANUARY,2020,2027434442834,Washington,United States,meta,,,, $-   , $6.50 , $6.50 , $-   ,0%
JANUARY,2020,2029187825746,Washington,United States,meta,,Doormats,Baphomet Doormat, $45.00 , $-   , $45.00 , $11.34 ,25%
JANUARY,2020,2029187825746,Washington,United States,meta,,,, $-   , $6.50 , $6.50 , $-   ,0%
JANUARY,2020,2029220495442,Illinois,United States,meta,,,, $-   , $-   , $-   , $-   ,0%
JANUARY,2020,2029220495442,Illinois,United States,meta,,Wall Art,Skeleton Wall Plaque, $27.00 , $-   , $27.00 , $5.75 ,21%
JANUARY,2020,2029220495442,Illinois,United States,meta,,Wall Art,She Skeleton Wall Plaque, $27.00 , $-   , $27.00 , $5.75 ,21%
JANUARY,2020,2029220495442,Illinois,United States,meta,,Tabletop & Statuary,Poe Raven Skull, $32.75 , $-   , $32.75 , $11.50 ,35%
JANUARY,2020,2029554434130,Missouri,United States,alphabet,,Door Knockers,Baphomet Door Knocker, $35.00 , $-   , $35.00 , $18.30 ,52%
JANUARY,2020,2029554434130,Missouri,United States,alphabet,,,, $-   , $6.50 , $6.50 , $-   ,0%
JANUARY,2020,2029658177618,Tennessee,United States,direct,,,, $-   , $6.50 , $6.50 , $-   ,0%
JANUARY,2020,2029658177618,Tennessee,United States,direct,,Tabletop & Statuary,"See, Hear, Speak No Evil Goblins", $25.00 , $-   , $25.00 , $6.40 ,26%
JANUARY,2020,2032189833298,Ohio,United States,meta,Facebook,Tabletop & Statuary,"See, Hear, Speak No Evil Goblins", $25.00 , $-   , $25.00 , $6.40 ,26%
JANUARY,2020,2032189833298,Ohio,United States,meta,Facebook,,, $-   , $7.88 , $7.88 , $-   ,0%
JANUARY,2020,2034457608274,California,United States,meta,Facebook,Wall Art,She Skeleton Wall Plaque, $27.00 , $-   , $27.00 , $5.75 ,21%
JANUARY,2020,2034457608274,California,United States,meta,Facebook,,, $-   , $6.50 , $6.50 , $-   ,0%
JANUARY,2020,2036086964306,Indiana,United States,alphabet,google,,, $-   , $6.50 , $6.50 , $-   ,0%
JANUARY,2020,2036086964306,Indiana,United States,alphabet,google,Door Knockers,Baphomet Door Knocker, $35.00 , $-   , $35.00 , $18.30 ,52%
JANUARY,2020,2038466248786,Florida,United States,meta,,Doormats,Baphomet Doormat, $45.00 , $-   , $45.00 , $11.34 ,25%
JANUARY,2020,2038466248786,Florida,United States,meta,,,, $-   , $6.50 , $6.50 , $-   ,0%
JANUARY,2020,2041527140434,Florida,United States,alphabet,,Wall Art & Decor,Bat Wall Decor With Hooks, $22.00 , $-   , $22.00 , $7.00 ,32%
JANUARY,2020,2041527140434,Florida,United States,alphabet,,Wall Art,Skeleton Wall Plaque, $27.00 , $-   , $27.00 , $5.75 ,21%
JANUARY,2020,2041527140434,Florida,United States,alphabet,,,, $-   , $6.50 , $6.50 , $-   ,0%
JANUARY,2020,2043546665042,Indiana,United States,meta,Facebook,Tabletop & Statuary,Poe Raven Skull, $32.75 , $-   , $32.75 , $11.50 ,35%
JANUARY,2020,2043546665042,Indiana,United States,meta,Facebook,,, $-   , $6.50 , $6.50 , $-   ,0%
JANUARY,2020,2043546665042,Indiana,United States,meta,Facebook,coffee mug,Every Day Is Halloween Mug, $16.00 , $-   , $16.00 , $4.05 ,25%
JANUARY,2020,2044327624786,New Jersey,United States,meta,Facebook,bedding,Spirit Board Blanket, $45.00 , $-   , $45.00 , $17.25 ,38%
JANUARY,2020,2044327624786,New Jersey,United States,meta,Facebook,,, $-   , $7.61 , $7.61 , $-   ,0%
JANUARY,2020,2044589736018,Pennsylvania,United States,meta,,,, $-   , $6.50 , $6.50 , $-   ,0%
JANUARY,2020,2044589736018,Pennsylvania,United States,meta,,Door Knockers,Tree Gargoyle Door Knocker, $20.00 , $-   , $20.00 , $8.33 ,42%
JANUARY,2020,2044809412690,California,United States,meta,Facebook,Spirit Board,Spiritus Colloquium Spirit Board Set, $100.00 , $-   , $100.00 , $40.00 ,40%
JANUARY,2020,2044809412690,California,United States,meta,Facebook,,, $-   , $-   , $-   , $-   ,0%
JANUARY,2020,2048492011602,Maine,United States,direct,,,, $-   , $6.50 , $6.50 , $-   ,0%
JANUARY,2020,2048492011602,Maine,United States,direct,,Tabletop & Statuary,Horror Statuary - Leatherface, $15.00 , $-   , $15.00 , $4.00 ,27%
JANUARY,2020,2048492011602,Maine,United States,direct,,Tabletop & Statuary,Horror Statuary - Michael Myers, $15.00 , $-   , $15.00 , $4.00 ,27%
JANUARY,2020,2048515670098,Maine,United States,direct,,,, $-   , $6.50 , $6.50 , $-   ,0%
JANUARY,2020,2048515670098,Maine,United States,direct,,Tabletop & Statuary,Trick 'r Treat Sam, $15.00 , $-   , $15.00 , $4.00 ,27%
JANUARY,2020,2048683671634,New York,United States,meta,,Door Knockers,Wolf Door Knocker, $25.00 , $-   , $25.00 , $10.00 ,40%
JANUARY,2020,2048683671634,New York,United States,meta,,Curio Boxes,Bat Box, $30.00 , $-   , $30.00 , $11.41 ,38%
JANUARY,2020,2048683671634,New York,United States,meta,,,, $-   , $-   , $-   , $-   ,0%
JANUARY,2020,2049544257618,Michigan,United States,meta,,Tabletop & Statuary,"See, Hear, Speak No Evil Goblins", $25.00 , $-   , $25.00 , $6.40 ,26%
JANUARY,2020,2049544257618,Michigan,United States,meta,,,, $-   , $6.50 , $6.50 , $-   ,0%
JANUARY,2020,2049737556050,Maryland,United States,meta,,Door Knockers,Dragon Door Knocker, $33.00 , $-   , $33.00 , $16.74 ,51%
