Printify ID,Order Status,Date created,Sent to prod,Sales ID,Store name,Order type,Product Cost,Shipping Cost,VAT / Tax cost,Total cost,Currency,Order retail value,Shipping City,Shipping State,Shipping Zip Code,Tracking number,Tracking link,Shipping carrier,Invoices
5874055.216,fulfilled,11/1/2023 0:33,11/1/2023 1:41,3069298806,Higher Ed Threads,api,4.37 USD,4.79 USD,0.00 USD,9.16,USD,15.00 USD,Steamboat Springs,CO,80487,9.40E+21,https://track.easypost.com/djE6dHJrX2I1YmQxYjRkYzcxOTRiOWJiMTkzMWMxY2ExMTdhODJm,USPS,
5874055.217,fulfilled,11/2/2023 2:01,11/2/2023 3:11,3070505856,Higher Ed Threads,api,11.22 USD,5.19 USD,0.00 USD,16.41,USD,33.62 USD,Grand rapids,OH,43522,9.40E+21,https://tools.usps.com/go/TrackConfirmAction?tLabels=9400116903325521343241,USPS,
5874055.218,fulfilled,11/3/2023 0:41,11/3/2023 1:53,3063312727,Higher Ed Threads,api,10.34 USD,4.75 USD,0.00 USD,15.09,USD,33.15 USD,Louisville,KY,40213,9.40E+21,https://track.easypost.com/djE6dHJrXzcwNmY0ZjMyOWQwOTRiYTc4NTUzOWZmNWU3ODQ2Y2Fl,USPS,
5874055.219,fulfilled,11/3/2023 20:32,11/3/2023 21:43,3072581392,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,27.97 USD,Franklin Furnace,OH,45629,9.40E+21,https://tools.usps.com/go/TrackConfirmAction?tLabels=9400136109679617696712,USPS,
5874055.22,fulfilled,11/3/2023 23:22,11/4/2023 0:34,3064490617,Higher Ed Threads,api,11.22 USD,5.19 USD,0.00 USD,16.41,USD,34.08 USD,Richmond Heights,MO,63117,9.40E+21,https://tools.usps.com/go/TrackConfirmAction?tLabels=9400116903325521124000,USPS,
5874055.221,fulfilled,11/5/2023 3:46,11/5/2023 4:54,3074380220,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,31.47 USD,Greenwich,CT,6831,9.40E+21,https://tools.usps.com/go/TrackConfirmAction?tLabels=9400136109679592246131,USPS,
5874055.222,fulfilled,11/7/2023 15:38,11/7/2023 16:41,3077765846,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,28.50 USD,TUALATIN,OR,97062,9.40E+21,https://tools.usps.com/go/TrackConfirmAction?tLabels=9400136109679604726484,USPS,
5874055.223,fulfilled,11/7/2023 15:38,11/7/2023 16:41,3069103339,Higher Ed Threads,api,12.13 USD,4.75 USD,0.00 USD,16.88,USD,34.08 USD,Franklin,MA,2038,9.40E+21,https://track.easypost.com/djE6dHJrXzEzYzdiOGViNDg2ZDRmMjE5M2QxMTY0ODc2YTkyOWU3,USPS,
5874055.224,fulfilled,11/9/2023 19:06,11/9/2023 20:14,3072017201,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,25.32 USD,BOYCE,LA,71409,9.40E+21,https://tools.usps.com/go/TrackConfirmAction?tLabels=9400136109679618623472,USPS,
5874055.225,fulfilled,11/10/2023 3:40,11/10/2023 4:53,3081294950,Higher Ed Threads,api,31.20 USD,13.24 USD,0.00 USD,44.44,USD,85.47 USD,Greenwich,CT,06831-2617,4.20E+29,https://webtrack.dhlecs.com/orders?trackingNumber=420068319361211015300532843629,DHL_eCommerce_Expedited,
5874055.226,fulfilled,11/10/2023 17:59,11/10/2023 19:07,3081945526,Higher Ed Threads,api,11.16 USD,5.19 USD,0.00 USD,16.35,USD,29.00 USD,Monticello,IL,61856-1102,9.40E+21,https://tools.usps.com/go/TrackConfirmAction?tLabels=9400136109679632828839,USPS,
5874055.227,fulfilled,11/10/2023 20:51,11/10/2023 22:06,3073582503,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,35.94 USD,Eugene,OR,97401,9.40E+21,https://tools.usps.com/go/TrackConfirmAction?tLabels=9400136109679623952758,USPS,
5874055.228,fulfilled,11/10/2023 20:51,11/10/2023 22:06,3082165302,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,34.48 USD,Chesterfield,NJ,8515,9.40E+21,https://tools.usps.com/go/TrackConfirmAction?tLabels=9400136109679624379929,USPS,
5874055.229,fulfilled,11/12/2023 21:38,11/12/2023 22:41,3076377671,Higher Ed Threads,api,21.87 USD,8.49 USD,0.00 USD,30.36,USD,51.14 USD,LONGMONT,CO,80503-4127,4.21E+29,https://webtrack.dhlecs.com/orders?trackingNumber=420805039261290316842302992288,DHL_eCommerce_Expedited,
5874055.23,fulfilled,11/14/2023 2:24,11/14/2023 3:36,3078317409,Higher Ed Threads,api,11.04 USD,4.75 USD,0.00 USD,15.79,USD,32.32 USD,Polk,OH,44866,9.40E+21,https://tools.usps.com/go/TrackConfirmAction?tLabels=9400136109679636771285,USPS,
5874055.231,fulfilled,11/16/2023 1:15,11/16/2023 2:24,3081136283,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,33.72 USD,Palm Harbor,FL,34686,9.40E+21,https://tools.usps.com/go/TrackConfirmAction?tLabels=9400136109679650773074,USPS,
5874055.232,fulfilled,11/17/2023 0:20,11/17/2023 1:36,3082422373,Higher Ed Threads,api,11.67 USD,4.75 USD,0.00 USD,16.42,USD,21.57 USD,MCKINNEY,TX,75071,9.40E+21,https://tools.usps.com/go/TrackConfirmAction?tLabels=9400136109679666225291,USPS,
5874055.233,fulfilled,11/17/2023 3:14,11/17/2023 4:24,3082794961,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,31.47 USD,Ridley Park,PA,19078,9.40E+21,https://tools.usps.com/go/TrackConfirmAction?tLabels=9400136109679657895342,USPS,
5874055.234,fulfilled,11/17/2023 20:35,11/17/2023 21:45,3083612503,Higher Ed Threads,api,13.66 USD,4.75 USD,0.00 USD,18.41,USD,24.88 USD,SARATOGA SPRINGS,NY,12866,9.40E+21,https://tools.usps.com/go/TrackConfirmAction?tLabels=9400136109679666172748,USPS,
5874055.235,fulfilled,11/18/2023 2:22,11/18/2023 3:34,3093363844,Higher Ed Threads,api,11.04 USD,4.75 USD,0.00 USD,15.79,USD,28.65 USD,Colchester,VT,5446,9.40E+21,https://tools.usps.com/go/TrackConfirmAction?tLabels=9400136109679663643180,USPS,
