DATE_2018,VAT_2018,GROSS_TOTAL_2018,NET_2018,DATE_2019,VAT_2019,GROSS_TOTAL_2019,NET_2019,DATE_2020,VAT_2020,GROSS_TOTAL_2020,NET_2020,DATE_2021,VAT_2021,GROSS_TOTAL_2021,NET_2021,DATE_2022,GROSS_TOTAL_2022
1-ene,"534,05","3077,05",17/12/1906,1/1/2019,"1321,83","7613,83",23-mar,1-ene,"1915,05","11294,5",4-sept,1-ene,"2693,83","15521,5",,1-ene,"30907,5"
2-ene,"571,85","3294,9",15/6/1907,2/1/2019,"521,1","3002,5",16-oct,2-ene,"1386,38","8118,12",5-jun,2-ene,"2552,62",14708,,2-ene,9930
3-ene,"922,72","5316,4",10/1/1912,3/1/2019,"1183,01","6816,55",3-jun,3-ene,"1154,36","6651,26",17-ene,3-ene,"2371,81","13666,25",,3-ene,12460
4-ene,"1329,93","8008,8",13/4/1918,4/1/2019,"1124,65",6480,29-ago,4-ene,"2537,19",14619,27-ene,4-ene,"1811,91",10440,,4-ene,"29759,5"
5-ene,"1044,88","6020,4",14/8/1913,5/1/2019,"2170,57","12506,44",17-abr,5-ene,"592,89","3416,25",23-sept,5-ene,"3231,19","18617,8",,5-ene,33541
6-ene,"2737,49","15773,21",8/9/1935,6/1/2019,"2119,07",12210,16-ago,6-ene,"1101,53",6412,15-jul,6-ene,"1675,49",9654,,6-ene,20085
7-ene,"1673,05","9639,79",22/10/1921,7/1/2019,"898,33","5176,1",16-sept,7-ene,"1386,03","8056,2",5-abr,7-ene,"3121,2",18064,,7-ene,29622
8-ene,"753,59","4342,05",27/10/1909,8/1/2019,"1150,21","6627,5",29-dic,8-ene,"1685,03","9709,01",18-dic,8-ene,"3315,92",19106,,8-ene,"44848,75"
9-ene,"696,54","4013,45",28/1/1909,9/1/2019,"1887,57",10876,9-ago,9-ene,"673,12","3878,52",9-oct,9-ene,"3194,59",18407,,9-ene,39117
10-ene,"1227,54","7072,8",1/1/1916,10/1/2019,"1189,25","6852,34",3-jul,10-ene,"1234,21","7111,52",2-feb,10-ene,"2956,49",17035,,10-ene,"20911,5"
11-ene,"2105,34","12130,75",12/6/1927,11/1/2019,"1489,84","8584,4",3-jun,11-ene,"1397,03","8049,5",18-mar,11-ene,"2920,03",16825,,11-ene,26610
12-ene,"2253,48","12984,37",17/5/1929,12/1/2019,"1127,27","6495,19",10-sept,12-ene,"1125,24","6483,5",1-sept,12-ene,"1523,88","8780,5",,12-ene,22815
13-ene,"3722,37","21447,57",11/7/1948,13/1/2019,"734,9","4234,49",30-jul,13-ene,"348,62","2008,8",17-jul,13-ene,"2891,77",16662,,13-ene,12201
14-ene,"1444,26","8321,65",29/10/1918,14/1/2019,"651,96","3756,5",30-jun,14-ene,"914,27","5268,02",1-dic,14-ene,"2295,35","13225,51",,14-ene,"56036,5"
15-ene,"1576,23","9081,75",18/7/1920,15/1/2019,"1306,58","7528,45",11-ene,15-ene,"1436,33","8295,91",11-oct,15-ene,"3448,68",19871,,15-ene,38947
16-ene,"2198,59","12667,92",29/8/1928,16/1/2019,"1143,44","6588,42",26-nov,16-ene,"1248,15","7191,81",8-abr,16-ene,"4358,53","25113,5",,16-ene,9065
17-ene,"2597,97","14963,53",7/11/1933,17/1/2019,"1234,02","7110,2",1-feb,17-ene,"1722,97","9927,51",17-jun,17-ene,"2229,12",12844,,17-ene,15972
18-ene,"3130,41","18037,12",22/10/1940,18/1/2019,"1599,82",9218,8-nov,18-ene,"2382,07","13725,31",20-ene,18-ene,"2560,07","14750,9",,18-ene,"16883,5"
19-ene,"3130,41","18037,12",22/10/1940,19/1/2019,"2449,04","14111,1",5-dic,19-ene,"1041,56","6001,35",29-jul,19-ene,"2161,62",12455,,19-ene,35797
20-ene,"2909,29","16763,1",4/12/1937,20/1/2019,"1146,12","6603,85",9-dic,20-ene,"1280,13",7376,7-sept,20-ene,"3452,78","19894,5",,20-ene,29010
21-ene,"1547,51","8916,5",3/3/1920,21/1/2019,"1621,56","9343,4",19-feb,21-ene,"2000,2",11525,27-ene,21-ene,"3458,74","19928,8",,21-ene,25171
22-ene,"1058,45","6098,59",18/10/1913,22/1/2019,"584,89","3370,2",16-ago,22-ene,"2523,47","14610,05",1-feb,22-ene,"2846,98",16404,,22-ene,25546
23-ene,"2641,14","15217,99",6/6/1934,23/1/2019,"1248,47","7193,5",10-abr,23-ene,"3119,53","17974,35",31-ago,23-ene,"4943,5",28484,,23-ene,5345
24-ene,"1561,29","8995,97",8/5/1920,24/1/2019,"2132,03","12284,5",17-oct,24-ene,"1758,08",10270,20-abr,24-ene,"2030,23",11698,,24-ene,"22420,01"
25-ene,"1795,8","10347,3",30/5/1923,25/1/2019,"1424,45","8207,8",27-jul,25-ene,"1490,16",8796,31-dic,25-ene,"3869,56",22296,,25-ene,15771
26-ene,"1711,2","9859,85",22/4/1922,26/1/2019,"1238,55","7136,4",22-feb,26-ene,"2158,72","12438,32",21-feb,26-ene,"1828,28","10534,4",,26-ene,36342
27-ene,"4929,82","855,6",2/11/1888,27/1/2019,"1548,61","8922,8",9-mar,27-ene,"2171,62","12512,6",22-abr,27-ene,"2808,72","16183,6",,27-ene,17431
28-ene,"6778,5","1176,44",27/8/1884,28/1/2019,"1323,5","7625,9",2-abr,28-ene,"2085,06",12014,7-mar,28-ene,"3795,33","21868,5",,28-ene,11536
29-ene,"5025,25","872,17",15/8/1888,29/1/2019,"1256,97","7242,5",20-may,29-ene,"1704,31",9820,20-mar,29-ene,"3946,1",22737,,29-ene,34290
30-ene,5042,"875,08",2/8/1888,30/1/2019,"1890,46","10892,6",23-ago,30-ene,"3709,46","21583,5",7-dic,30-ene,"3023,48",17421,,30-ene,"41863,5"
31-ene,3891,"675,31",11/3/1891,31/1/2019,"1086,96",6263,3-mar,31-ene,"3808,75","22085,77",14-ene,31-ene,"2063,19",11888,,31-ene,12535
1-feb,"1460,09","8412,88",12/1/1919,1/2/2109,"938,74",5409,27-mar,1-feb,"2084,05","12008,15",3-mar,1-feb,"2980,35","17345,5",,1-feb,14135
2-feb,"969,2","5584,5",19/8/1912,2/2/2109,"1605,18",9249,3-dic,2-feb,"1741,17","10032,4",12-sept,2-feb,"3054,37",17599,,2-feb,36635
3-feb,"1665,59","9596,9",17/9/1921,3/2/2109,"1124,45",6479,28-ago,3-feb,"1830,04","10544,61",9-nov,3-feb,"3154,52",18226,,3-feb,19345
4-feb,"782,35","4507,85",13/3/1910,4/2/2109,"1575,5","9077,74",15-jul,4-feb,"2107,76","12214,62",1-sept,4-feb,"3870,26",22300,,4-feb,43514
5-feb,"1005,37","5792,79",7/2/1913,5/2/2109,"687,42","3960,9",16-dic,5-feb,"2681,5","15450,5",16-dic,5-feb,"3515,84",20258,,5-feb,46155
6-feb,"807,44","4652,4",10/7/1910,6/2/2109,"893,55","5148,55",25-ago,6-feb,"1901,35","10955,41",14-oct,6-feb,"4546,56",26197,,6-feb,19011
7-feb,"790,42","4554,35",20/4/1910,7/2/2109,"1067,79","6152,5",1-dic,7-feb,"2680,91","15447,05",13-dic,7-feb,"2747,55",15831,,7-feb,15355
8-feb,"1098,75",6331,28/4/1914,8/2/2109,"1131,75","6521,1",2-oct,8-feb,"2693,37",15519,10-feb,8-feb,"3524,08","20305,5",,8-feb,14445
9-feb,"599,15","3452,25",23/10/1907,9/2/2109,"1302,73","7506,3",24-dic,9-feb,"1039,42",5989,19-jul,9-feb,"4244,99",24459,,9-feb,10006
10-feb,"130,17",750,10/9/1901,10/2/2109,"1474,18",8494,20-mar,10-feb,"1162,13",6906,21-sept,10-feb,"3178,8",18316,,10-feb,"21265,5"
11-feb,"1191,3","6864,2",12/7/1915,11/2/2109,"1091,98",6292,27-mar,11-feb,"1519,77","8756,95",24-oct,11-feb,"2740,08",15788,,11-feb,"24601,5"
12-feb,"1132,99","6528,4",8/10/1914,12/2/2109,"829,4",4779,23-oct,12-feb,"1490,47","8657,81",15-ago,12-feb,"3005,14","17315,15",,12-feb,14255
13-feb,"1240,95","7150,3",5/3/1916,13/2/2109,"820,39",4727,10-sept,13-feb,"2044,51","11780,27",26-ago,13-feb,"4183,36","24243,5",,,
14-feb,"827,17","4766,05",12/10/1910,14/2/2109,"2021,88",11650,11-may,14-feb,"1433,9","8262,02",10-sept,14-feb,"4945,49","28495,5",,14-feb,14925
15-feb,"535,89","3087,75",25/12/1906,15/2/2109,"3322,72",19145,26-abr,15-feb,"2659,06","15531,2",29-mar,15-feb,"3699,14",21314,,15-feb,10219
