BAR_CODE,PRODUCT_NAME,SHELF_NAME,MEASURE_UNIT,PACKAGE_QUANTITY,COST,TAX,COST w/tax,MARGIN,SALE_PRICE,last_price_modification,BRAND,CATEGORY
750043501922,MAGISTRAL LEMON DETERGENT MAGISTRAL  300 ML,MAGISTRAL DETERGENTE,1,0,86.99,21.0,105.258,52.01,160.0,17-Jan-22 19:12:49,1.0,House Cleaning
779170800148,VINEZIANA WHOLE WHEAT BREAD,VENEZIANA PAN INTEGR,360,0,595.041,21.0,720.0,50.0,1080.0,23-Nov-23 09:35:26,6.0,Groceries
779025005684,SUSSEX CLASSIC KITCHIN ROLL X3,SUSSEX ROLLO COC.SUS,1,0,746.305,21.0,903.029,47.28,1330.0,05-Dec-23 11:07:10,7.0,House Cleaning
301426027391,GILLETTE SHAVING CREAM GILLETTE 312 GRS,GILLETTE CREMA AFEIT,312,0,115.248,21.0,139.45,54.18,215.0,  -   -  : :,12.0,Personal hygiene
779129302416,REXONA TOILET SOAP REXONA  X 3,REXONA JABON TOCADOR,125,0,551.24,21.0,667.0,49.93,1000.0,29-Nov-23 13:13:06,15.0,Personal hygiene
779082810154,KINIA TOILET SOAP X 1 KINIA,KENIA JABON TOCADOR,90,0,42.008,21.0,50.83,57.39,80.0,06-Jul-22 16:02:50,16.0,House Cleaning
779313800341,QUALI BEST DISHWASHER SOAP QUALI BEST 1 K,QUALI BEST JABON P/L,1,0,0.0,21.0,0.0,0.0,137.0,  -   -  : :,18.0,House Cleaning
779090001511,AIR PUR ANTIH.DEOD. LAVINDER MINI   2 IN 1,AIR PUR DES.ANTIH.LA,75,0,0.0,21.0,0.0,0.0,51.0,  -   -  : :,19.0,House Cleaning
779090001517,AIR PUR ANTIH.DEOD. CEDAR MINI 3 IN 1,AIR PUR DES.ANTIH.CE,75,0,0.0,21.0,0.0,0.0,51.0,  -   -  : :,19.0,House Cleaning
779090001530,AIR PUR ANTIH.DEOD. SPARE 2 IN 1,AIR PUR DES.ANTIH.RE,250,0,0.0,21.0,0.0,0.0,75.0,  -   -  : :,19.0,House Cleaning
779090001690,AIR ANTIHUMIDITY PUR. INVOLCABLE LAVINDER 2 IN 1,AIR PUR ANTIHUMEDAD,250,0,0.0,21.0,0.0,0.0,75.0,  -   -  : :,19.0,House Cleaning
779090001692,AIR ANTIHUMIDITY PUR. INVOLCABLE PINE 2 IN 1,AIR PUR ANTIHUMEDAD,250,0,0.0,21.0,0.0,0.0,75.0,  -   -  : :,19.0,House Cleaning
779090001693,AIUR ANTIHUMIDITY INVOLCABLE ANTI MOTH.3 IN 1,AIUR ANTIHUMEDAD INV,250,0,0.0,21.0,0.0,0.0,75.0,  -   -  : :,21.0,House Cleaning
779090001691,AIR PU ANTIHUMIDITY INVOLCABLE LEMON 2 IN 1,AIR PU ANTIHUMEDAD I,250,0,0.0,21.0,0.0,0.0,75.0,  -   -  : :,19.0,House Cleaning
779090001608,AIR ANTIHUMIDITY PUR.  SHOES AIR PUR,AIR PUR ANTIHUMEDAD,36,0,0.0,21.0,0.0,0.0,190.0,  -   -  : :,19.0,House Cleaning
789103504070,VANISH STAIN REMOVER VANISH,VANISH QUITA MANCHAS,450,0,0.0,21.0,0.0,0.0,78.75,  -   -  : :,22.0,House Cleaning
789103505060,VANISH STAIN REMOVER CRYSTAL WHITE VANISH,VANISH QUITA MANCHA,450,0,0.0,21.0,0.0,0.0,78.75,  -   -  : :,22.0,House Cleaning
779113000174,VANISH STAIN REMOVER DOY PACK VANISH,VANISH QUITA MANCHA,400,0,82.985,21.0,100.412,49.38,150.0,20-Dec-21 15:13:46,22.0,House Cleaning
779129000809,VIVERE FABRIC SOFTENER FOR EASY IRONING VIVER,VIVERE SUAVIZANTE P/,900,0,11.992,21.0,14.51,78.5,25.9,  -   -  : :,23.0,House Cleaning
779113000135,WOOLITE LIQUID SOAP FOR HAND WASH WOOLITE,WOOLITE JABON LIQ.LA,120,0,15.818,21.0,19.14,56.74,30.0,  -   -  : :,24.0,House Cleaning
779113000133,WOOLITE LIQUID SOAP SILK AND WOOL WOOLITE,WOOLITE JABON LIQ. S,120,0,15.818,21.0,19.14,56.74,30.0,  -   -  : :,24.0,House Cleaning
800058020490,FINISH DISHWASHER POLISHER FINISH 50,FINISH ABRILLANTADOR,500,0,0.0,21.0,0.0,0.0,400.0,  -   -  : :,26.0,House Cleaning
779129000694,ALA LIQUID SOAP ALA 1.5 LTS,ALA JABON LIQUIDO AL,150,0,0.0,21.0,0.0,0.0,105.8,  -   -  : :,28.0,House Cleaning
779129001169,ALA POWDER DETERGENT ALA 1.50 KGS,ALA JABON EN POLVO A,150,0,46.992,21.0,56.86,52.13,86.5,  -   -  : :,28.0,House Cleaning
779129001119,ALA LIQUID SOAP ALA  PODER ACELERADOR 1.50,ALA JABON LIQUIDO AL,150,0,63.992,21.0,77.43,51.1,117.0,  -   -  : :,28.0,House Cleaning
779006400026,ESTRELLA COTTON 75 GRS,ESTRELLA ALGODON EST,75,0,302.479,21.0,366.0,50.27,550.0,06-Nov-23 14:49:42,30.0,House Cleaning
779152000967,VERITA CLASSIC TALCUM VERITA 120 GRS,VERITA TALCO CLASICO,120,0,184.37,21.0,223.088,52.41,340.0,18-Oct-22 19:11:13,31.0,Personal hygiene
779129302776,REXONA EFFICIENT TALCUM REXONA 200 GRS,REXONA TALCO EFFICIE,200,0,133.884,21.0,162.0,54.32,250.0,13-Oct-21 11:30:01,15.0,Personal hygiene
78924468,DOVE ORIGINAL DEODORANT FOR WOMEN 50 CC,DOVE DESODORANTE MUJ,50,0,545.455,21.0,660.001,50.0,990.0,21-Nov-23 11:25:31,3.0,Personal hygiene
779046300008,BLEM SPRAY ORIGINAL BLEM 300 GRS,BLEM AEROSOL ORIGINA,302,0,117.355,21.0,142.0,54.93,220.0,  -   -  : :,39.0,House Cleaning
779046300009,BLEM SPRAY ORANGE BLEM,BLEM AEROSOL NARANJA,302,0,117.355,21.0,142.0,54.93,220.0,  -   -  : :,39.0,House Cleaning
779046300010,BLEM SPRAY LAVENDER BLEM,BLEM AEROSOL LAVANDA,302,0,135.372,21.0,163.8,52.63,250.0,  -   -  : :,39.0,House Cleaning
779046300011,CERAMICOL SPRAY FURNITURE POLISH 294 G,CERAMICOL AEROSOL LU,360,0,340.496,21.0,412.0,52.91,630.0,22-Jun-23 19:39:31,40.0,House Cleaning
779052050860,RAID RAID FOR FLIES AND MOSQUITOES ODORLESS,RAID RAID MATA MOSCA,360,0,44.992,21.0,54.44,50.62,82.0,  -   -  : :,41.0,House Cleaning
779052001744,RAID RAID FOR FLIES AND MOSQUITOESY ZANC. 5 IN 1,RAID RAID MATA MOSCA,360,0,1198.347,21.0,1450.0,49.66,2170.0,04-Dec-23 19:53:36,41.0,House Cleaning
779052001742,RAID RAID FOR FLIES AND MOSQUITOES5 IN 1,RAID RAID MATA MOSCA,360,0,704.132,21.0,852.0,49.06,1270.0,26-Sep-23 19:07:23,41.0,House Cleaning
779052001757,RAID EXTERMINATES COCKROACHES,RAID RAID EXTERMINA,390,0,464.1,21.0,561.561,95.88,1100.0,13-Nov-23 12:36:05,41.0,House Cleaning
779238900033,X 5 DESINFECTANT SPRAY X5 - 360 CC,X 5 DESINFECTANTE AE,360,0,0.0,21.0,0.0,0.0,28.5,  -   -  : :,42.0,House Cleaning
779052001731,CERAMICOL PACK CERAMICOL,CERAMICOL AUTOBRILLO,450,0,59.421,21.0,71.9,80.81,130.0,  -   -  : :,40.0,House Cleaning
779238900132,X 5 BLEACH IN GEL X 5 500 CC,X 5 LAVANDINA EN GEL,500,0,0.0,21.0,0.0,0.0,27.5,  -   -  : :,42.0,House Cleaning
779113068138,HARPIC HARPIC SCALE REMOVER 500 CC,HARPIC HARPIC REMOVE,500,0,0.0,21.0,0.0,0.0,26.5,  -   -  : :,47.0,House Cleaning
779129000844,CIF  CREAM ORIGINAL 750 CC,CIF CIF CREMA ORIGIN,500,0,528.926,21.0,640.0,50.0,960.0,21-Nov-23 10:27:48,45.0,House Cleaning
779129078536,CIF CIF FOR BATHROOM,CIF CIF BANO A GATIL,500,0,74.38,21.0,90.0,66.67,150.0,  -   -  : :,45.0,House Cleaning
779113068139,HARPIC HARPIC POWER PLUS,HARPIC HARPIC POWER,500,0,0.0,21.0,0.0,0.0,26.5,  -   -  : :,47.0,House Cleaning
779129001035,SUN DISHWASHER DETERGENT SUN 1 KG,SUN JOBON PARA LAVAV,1,0,140.413,21.0,169.9,50.09,255.0,  -   -  : :,49.0,House Cleaning
779129000160,SUN TABLETS  1 SUN,SUN TABLETAS TODO EN,288,0,0.0,21.0,0.0,0.0,173.8,  -   -  : :,49.0,House Cleaning
779202300002,MANCHESTER FLUID MANCHESTER 350 CC,MANCHESTER FLUIDO MA,350,0,127.901,21.0,154.76,74.46,270.0,  -   -  : :,50.0,House Cleaning
779090000492,IBERIA Naphthalene LAVENDER,IBERIA NAFTALINA LAV,200,0,0.0,21.0,0.0,0.0,41.9,  -   -  : :,51.0,House Cleaning
779011706053,SEPARATA ALUMINUM FILM ROLL X 5 MTS,SEPARATA ROLLO FILM,1,0,0.0,21.0,0.0,0.0,29.9,  -   -  : :,52.0,House Cleaning
779082800206,GIGANTE SOAP BAR BCO. GIGANTE,GIGANTE PAN JABON BC,200,0,50.802,21.0,61.47,62.68,100.0,26-Jul-22 12:51:17,55.0,House Cleaning
779801793149,RAYITA PLASTIC CLIPS,RAYITA BROCHES PLAST,12,0,10.595,21.0,12.82,134.01,30.0,  -   -  : :,56.0,House Cleaning
780650073095,BABYSEC WET WIPES BB 50 U,BABYSEC TOALLITAS HU,70,0,208.364,21.0,252.12,46.76,370.0,21-Sep-22 09:55:27,58.0,House Cleaning
779129001084,DRIVE POWDER DETERGENT DRIVE  ROSE AND LILAS,DRIVE JABON EN POLVO,800,0,18.182,21.0,22.0,150.0,55.0,  -   -  : :,59.0,House Cleaning
779129001190,ALA POWDER DETERGENT ALA  W/VIVERE 800 GRS,ALA JABON EN POLVO A,800,0,77.446,21.0,93.71,49.4,140.0,  -   -  : :,28.0,House Cleaning
779309010251,KOMILI LIQUID SOAP FOR HANDS ROSES KOMILI,KOMILI JABON LIQ.P/M,330,0,16.496,21.0,19.96,50.3,30.0,  -   -  : :,60.0,House Cleaning
779309010254,KOMILI LIQUID SOAP FOR HANDS ALOE VERA KOMILI,KOMILI JABON LIQUIDO,330,0,16.496,21.0,19.96,50.3,30.0,  -   -  : :,60.0,House Cleaning
779094021615,DONCELLA WOMENS PADSNORMAL 8 U,DONCELLA TOALLITAS F,8,0,103.538,21.0,125.281,51.66,190.0,21-Jun-23 15:02:44,65.0,House Cleaning
779310013008,ODOL DENTAL CREASM ODOL 70G,ODOL CREMA DENTAL OD,1,0,47.24,21.0,57.16,57.45,90.0,  -   -  : :,66.0,House Cleaning
779077304100,QSOFT FLEXIBLE Q-TIPS X 100 UNID.,QSOFT HISOPOS FLEXSI,100,0,14.992,21.0,18.14,51.6,27.5,  -   -  : :,67.0,House Cleaning
779472800202,VEGETAL WAX FOR HAIR REMOVAL,VEGETAL CERA DEPILAT,150,0,0.0,21.0,0.0,0.0,44.0,  -   -  : :,68.0,House Cleaning
779077000252,CALIPSO WOMENS PADS FOR NIGHT CALIPSO,CALIPSO TOALLITAS FE,8,0,37.19,21.0,45.0,66.67,75.0,  -   -  : :,69.0,House Cleaning
691002100720,COLGATE TOOTHBRUSH,COLGATE CEPILLO DE D,1,0,176.14,21.0,213.129,54.84,330.0,28-Nov-23 10:50:16,70.0,Personal hygiene
400590017099,PLASTIC FABRIC BAND AIDS,CURITAS TELA PLASTI,8,0,68.3,21.0,82.643,45.2,120.0,02-Nov-22 19:21:48,27.0,Personal hygiene
779310011155,COLGATE CREAM DENTAL 70 GRS,COLGATE CREMA DENTAL,70,0,205.785,21.0,249.0,52.61,380.0,06-Mar-23 09:52:18,70.0,Personal hygiene
779094023324,DONCELLA DAILY PADS  DONCELLA,DONCELLA PROTECTORES,20,0,259.504,21.0,314.0,49.68,470.0,04-Dec-23 19:28:42,65.0,Personal hygiene
779245900063,LA GAUCHITA TILE BRUSH,LA GAUCHITA CEPILLO,1,0,513.967,21.0,621.9,51.15,940.0,20-Oct-23 13:24:40,74.0,House Cleaning
779129302641,SUAVE CONDITIONER SUAVE LAVENDER AND BAMBOO,SUAVE ACONDICIONADOR,1,0,16.992,21.0,20.56,50.78,31.0,  -   -  : :,76.0,House Cleaning
779129302624,SUAVE SHAMPOO GREEN APPLE  1 LTS,SUAVE SHAMPOO MANZAN,1,0,384.0,21.0,464.64,52.81,710.0,08-Nov-23 10:30:22,76.0,Personal hygiene
779129302714,SEDAL CONDITIONER SEDAL  BALANCE,SEDAL ACONDICIONADOR,350,0,204.962,21.0,248.004,53.22,380.0,14-Mar-23 13:13:42,77.0,Personal hygiene
779747012968,ESENCIAL TOILET PAPER ESENCIAL 4 X 30 MTS,ESENCIAL PAPEL HIGIE,4,0,141.88,21.0,171.675,39.8,240.0,16-Apr-23 11:20:53,80.0,House Cleaning
