Shop,Supplier,Date,Invoice Number,Supply,Quantity,Unit Price,Price,Tag
CDLM 2,Thinkion S.A.S. (1913 - THINKION),01/01/2023,0001-00011446,SERVICIO THINKION - NIVEL 1,6,11800,85668,Servicios
CDLM 2,Thinkion S.A.S. (1913 - THINKION),01/01/2023,0001-00011417,MENSUAL SERVICIO THINKION FOOD CDM,6,8300,60258,Servicios
CDLM 2,Thinkion S.A.S. (1913 - THINKION),01/01/2023,0001-00011446,FACTURA ELECTRONICA,6,2400,17424,Servicios
CDLM 1,Thinkion S.A.S. (1913 - THINKION),01/01/2023,0001-00011450,MENSUAL KDS THINKION,1,4400,5324,Servicios
CDLM 2,Thinkion S.A.S. (1913 - THINKION),01/01/2023,0001-00011482,MENSUAL THINK FOOD SALON,5,1800,10890,Mantenimiento
CDLM 3,Open Mall S.A. (1678 - PALMARES),02/01/2023,0005-00045451,FONDO PROMOCION LOCACION MINIMO,1,"64870,2","78492,942",Alquiler
CDLM 3,Open Mall S.A. (1678 - PALMARES),02/01/2023,0005-00045292,ALQUILER LOCACION,1,432468,"523286,28",Alquiler
CDLM 2,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0167-00026054,GLADE AUTOMATIC PARAISO AZUL X 175,1,"569,392","688,96432",Limpieza
CDLM 2,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),02/01/2023,0003-02012023,POMELO - KILO,1,500,500,Verduleria
CDLM 2,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),02/01/2023,0003-02012023,NARANJA - KILOS,2,250,500,Verduleria
CDLM 2,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),02/01/2023,0003-02012023,MENTA - ATADO,4,80,320,Verduleria
CDLM 2,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),02/01/2023,0003-02012023,TOMATE  - CAJÓN,2,3200,6400,Verduleria
CDLM 2,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),02/01/2023,0003-02012023,PEPINO - KG,1,250,250,Verduleria
CDLM 2,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),02/01/2023,0003-02012023,CEBOLLA DE VERDEO - FARDO,6,250,1500,Verduleria
CDLM 2,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),02/01/2023,0003-02012023,ZAPALLO COREANO - BOLSA,2,1500,3000,Verduleria
CDLM 2,Mercado De Guaymallen (1082 - MERCADO DE GUAYMALLEN),02/01/2023,0003-02012023,PEREJIL - ATADO,4,50,200,Verduleria
CDLM 2,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0167-00026054,MAGISTRAL ULTRA MARINA 750 ML,5,"553,8101","3350,551105",Almacen
CDLM 2,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0167-00026054,VARIEDAD NUEVO MIX X 590 GR,3,"374,6515","1359,984945",Almacen
CDLM 2,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0167-00026054,PALO DE PISO COSTERO BLANCO PROF XG,10,"220,286","2665,4606",Almacen
CDLM 2,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0167-00026054,ARVEJAS INALPA X 350 GRS,3,"61,788","224,29044",Almacen
CDLM 2,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0167-00026054,TE GREEN HILLS X 50 SAQ. ENSOBRADO,1,"237,728","287,65088",Almacen
CDLM 2,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0167-00026054,COCA COLA S/AZUCAR BOT X 500 ML,2,"28,6805","69,40681",Almacen
CDLM 2,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0167-00026054,DULCE LECHE ILOLAY X 1 KG CLASICO,1,"647,8715","783,924515",Almacen
CDLM 2,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0167-00026054,PIM. MORRONES CARACAS X 793 GR,2,"728,1085","1762,02257",Almacen
CDLM 2,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0167-00026054,KETCHUP HELLMANS X 3000 GR,1,"1380,616","1670,54536",Almacen
CDLM 2,Oscar Ruben David (0017 - OSCAR DAVID),02/01/2023,0167-00026054,JUGO LIMON MINERVA X 1 LT,24,"309,5271","8988,666984",Almacen
