P1 flow,P1 press,PT1 flow,PT1 press,PT2 flow,PT2 press,Shaft rpm,Shaft torque,Temp,Time stamp
"9,2","535,4","3,5","246,6",0,"2,8","201,3","64,8","82,4",1615563457666209
"10,5",534,"3,4",248,0,"4,2","203,4","66,6","82,4",1615563457944743
"10,4","545,2","3,9","249,4","-0,1","1,4","247,3","66,4","82,4",1615563458226411
"11,7","545,2",4,"249,4",0,0,"247,3","67,1","82,4",1615563458507751
"11,7","552,2","4,5","249,4",0,0,"289,1","67,1","82,4",1615563458846707
"13,1","552,2","4,5",248,"0,1",0,"288,4","68,1","82,5",1615563459127486
"13,1","567,6",5,255,0,"2,8","334,4","68,5","82,4",1615563459409725
"14,5","566,2",5,"250,8","0,1","5,6","333,7","68,5","82,3",1615563459705101
"14,5","567,6","5,5","256,4","-0,1","-1,4","372,7","68,7","82,4",1615563459986295
"15,7","566,2","5,6",255,0,"-1,4","371,3","70,2","82,5",1615563460265731
"15,7","570,4","6,1","253,6",0,"1,4","397,8",70,"82,3",1615563460531996
"16,7","574,6","6,1",255,0,"1,4","399,2","71,1","82,4",1615563460810433
"16,7",583,"6,5","263,4",0,0,"415,9","70,7","82,4",1615563461091481
"17,8",583,"6,5","260,6",0,0,"429,9","70,7","82,4",1615563461386697
"17,9","591,4","6,9","259,2",0,"4,2","430,6","71,1","82,5",1615563461668088
"19,2",590,7,262,0,"-2,8",457,"71,6","82,4",1615563461948196
"19,2","592,8",7,"266,2",0,"4,2","456,3","72,1","82,5",1615563462229487
20,"591,4","7,3","263,4",0,"1,4","475,1","72,8","82,5",1615563462507886
20,"603,9","7,5","260,6","0,1",0,"475,1","72,8","82,4",1615563462786185
20,"603,9","7,9","263,4","0,1",0,503,"72,7","82,3",1615563463067866
"21,1","608,1","7,9",262,"0,1","-1,4","503,7","73,2","82,5",1615563463393006
"21,4","608,1","8,1","263,4",0,"1,4","518,3","72,8","82,5",1615563463677234
"21,7","606,7","8,1","267,6",0,"-5,6",517,"72,3","82,6",1615563463956927
"21,8","606,7","8,4","270,4","-0,1",0,533,"74,1","82,4",1615563464268056
"22,3","606,7","8,5",269,0,0,"533,7","73,5","82,4","1,61556E+15"
"22,3","613,7","8,8","270,4","-0,1","1,4","555,3","73,7","82,5",1615563464832796
"23,3","616,5","8,7",269,"0,1","1,4",556,"73,9","82,4","1,61556E+15"
"23,4","613,7",9,"273,2",0,"1,4",565,"74,1","82,4",1615563465396098
"23,7","615,1",9,269,"-0,1","-1,4","567,8","73,9","82,4",1615563465681381
"23,7","613,7","9,3","271,8",0,"1,4","586,6","74,1","82,4",1615563465981592
"24,5","613,7","9,4","270,4","-0,1","2,8","586,6","74,1","82,5",1615563466294752
"24,6","613,7","9,6","270,4",0,0,"596,4","73,9","82,1",1615563466572083
"24,8","615,1","9,6","263,4",0,"1,4","596,4","73,7","82,4",1615563466857486
"24,8","620,7","9,8","274,6",0,0,"612,4","73,7","82,4",1615563467139569
"25,6","622,1","9,8","274,6","0,1","-2,8","612,4","74,9","82,4",1615563467408731
"25,7","620,7",10,"271,8",0,"1,4","619,4","74,7","82,4",1615563467704938
26,"619,3","10,1","270,4",0,"1,4","619,4","74,9","82,3",1615563467988161
"25,9","622,1","10,3","271,8",0,"2,8","643,8","74,9","82,4",1615563468316357
"26,9","622,1","10,3","267,6",0,"1,4","642,4","74,7","82,4",1615563468600248
27,"627,7","10,6","270,4",0,"2,8",657,"74,6","82,4",1615563468883659
"27,6","629,1","10,6","271,8",0,0,"658,4","75,6","82,4",1615563469166732
"27,6","630,5",11,276,0,"5,6",657,"75,8","82,5",1615563469449182
"28,3","629,1",11,276,0,0,"676,5","75,8","82,4",1615563469726284
"28,3","634,7","11,1","277,4","-0,1","1,4","677,9","75,6","82,5","1,61556E+15"
"28,9","637,5","11,2","278,8",0,0,"688,3","75,8","82,4",1615563470316728
29,"643,1","11,1","278,8",0,"-2,8","688,3","75,8","82,4",1615563470598966
"29,6","636,1","11,6","278,8",0,"-1,4","705,8","75,8","82,5",1615563470867246
"29,6","637,5","11,6","280,2",0,"1,4","707,2","75,8","82,4",1615563471146711
"29,5","637,5","11,7",276,"-0,1","1,4","710,6","75,8","82,4",1615563471427751
"29,7","637,5","11,7","277,4",0,"-5,6","711,3",76,"82,5","1,61556E+15"
30,"640,3","11,8","278,8",0,"2,8","723,9","75,8","82,6",1615563472036116
"30,1","636,1","11,8","280,2",0,0,"722,5","75,6","82,4",1615563472316375
"30,1","638,9","11,9",276,0,"-2,8","721,8","75,6","82,2",1615563472595866
"30,1","636,1","11,9","278,8",0,0,"722,5","74,7","82,5",1615563472879111
"30,2","637,5","11,9",276,0,"1,4","722,5","74,7","82,5",1615563473160161
"30,2","634,7","11,9","278,8",0,0,"722,5","75,8","82,4",1615563473439414
"30,2","636,1",12,276,0,"4,2","721,8","75,3","82,5","1,61556E+15"
