ID,Trash_Can_Size,Pet_Station_Available,Access_Code_Required,Pool,Trash_Compactor_Available,Number_of_Valets,Number_of_Bins
gLwpRdBD4,Small,Yes,No,Yes,Yes,2,2
jZW0Zh9JG,Small,Yes,No,Yes,Yes,2,3
6vL6RFv9Z,Small,Yes,No,No,Yes,2,2
gI2YdeiYF,Medium,Yes,Yes,No,Yes,2,2
XELUa1gtc,Small,No,Yes,Yes,Yes,2,3
HP2be53yd,Medium,No,No,Yes,Yes,2,3
zIIVSJOOv,Small,Yes,Yes,No,No,2,2
F40bREe9H,Medium,No,Yes,Yes,No,1,3
xeGajnXUg,Small,No,Yes,Yes,No,2,2
MQilIPmc8,Large,No,Yes,No,No,1,2
4WdVNPcgg,Medium,No,No,No,No,2,2
0DDuFNTGC,Large,Yes,Yes,No,Yes,1,2
ScG8a11M6,Medium,No,Yes,No,Yes,2,2
5AjQuZ6Db,Large,Yes,No,No,No,2,2
Iu9A83mtx,Small,No,Yes,Yes,No,2,2
chpfiuxwR,Medium,Yes,Yes,Yes,Yes,2,3
MMAOrBMs0,Medium,Yes,Yes,Yes,No,1,2
q4TAB32Ag,Large,Yes,No,No,Yes,1,2
GJRY3pebz,Small,Yes,No,No,No,2,2
TNi4IG1FA,Medium,No,Yes,No,No,1,2
eu62U2Zkr,Large,No,No,No,No,1,3
3l8B3x5yj,Large,Yes,No,No,No,1,2
2bdlwUEqO,Large,Yes,Yes,No,Yes,2,2
80mR8bzg5,Medium,Yes,No,Yes,No,1,2
IfTRbvB5v,Small,Yes,No,No,Yes,2,2
32rNvCyUW,Medium,Yes,Yes,Yes,Yes,2,2
vs8i9uE9W,Medium,No,Yes,No,No,2,2
waj7jQtBt,Small,Yes,Yes,No,Yes,1,3
z2GphJ9uk,Medium,No,No,No,Yes,1,3
4ILoGSmOS,Medium,Yes,No,Yes,No,2,2
DK2f3vVKx,Large,Yes,No,No,No,1,2
i4lorPRGM,Small,No,No,No,No,2,3
0XxFbw1H0,Large,Yes,Yes,Yes,Yes,2,3
YU6ZoQ3L6,Large,No,Yes,Yes,No,1,3
KxAIBmFQ9,Large,Yes,No,Yes,No,1,2
1yUT9ZxVv,Medium,No,Yes,No,Yes,1,2
ZKVhnzlrk,Medium,Yes,No,Yes,Yes,2,3
DE6NZqn4s,Small,No,No,No,Yes,2,3
676FVM6Hn,Medium,Yes,No,No,No,1,2
h2MqvE1Pf,Medium,Yes,Yes,No,Yes,2,3
Z4YfTwQUP,Large,Yes,No,No,No,2,2
RaWocrINc,Medium,No,Yes,No,No,2,3
ctn5RYeYl,Medium,Yes,Yes,Yes,Yes,2,2
gIEhBqoPv,Small,Yes,Yes,No,No,1,3
hWHru3ykz,Large,Yes,Yes,No,Yes,2,3
VBOCpfx5e,Large,No,No,Yes,Yes,2,2
iphZSIUK7,Small,Yes,No,Yes,No,2,3
cTGpQEVFw,Large,Yes,Yes,No,Yes,1,3
OA2EHzHaA,Small,Yes,Yes,Yes,Yes,1,2
x8sT13UdU,Large,No,No,No,No,1,3
VrxGd1TmZ,Small,Yes,Yes,Yes,No,1,2
oLnXpqpNd,Large,No,No,No,Yes,1,2
TCEItisc2,Large,No,Yes,Yes,Yes,1,2
XZAuQFb6S,Medium,No,Yes,Yes,No,1,3
fb8O9UCOV,Small,No,No,Yes,Yes,1,3
RJTkv5nXt,Small,No,Yes,Yes,No,1,2
RZVfvUlpq,Medium,Yes,No,Yes,Yes,1,3
a2TFfgPeo,Medium,No,No,No,No,2,2
Vc7xh4tT3,Medium,No,Yes,Yes,Yes,2,2
9SYFt4kHD,Medium,Yes,No,Yes,Yes,1,3
EQ0DUnnnQ,Small,No,No,No,Yes,2,3
9NCymEEqF,Large,No,No,Yes,Yes,1,3
iDO6xCBGL,Large,No,No,No,No,1,3
BXguLPTJQ,Medium,No,Yes,Yes,Yes,1,3
2F8YFPWve,Large,No,No,No,No,2,3
dpmq9vJ39,Small,Yes,No,Yes,Yes,1,3
1P3H6htSk,Medium,No,No,No,No,1,3
MBOrP6RDB,Small,Yes,Yes,Yes,Yes,1,2
5JjTdrVHx,Small,No,No,No,No,1,3
YuvUefmKx,Large,Yes,No,Yes,No,1,3
wIgRujsho,Medium,No,No,No,Yes,1,2
caxVsCyQ4,Large,No,Yes,No,Yes,1,2
hJBIuVIhD,Medium,Yes,No,No,Yes,1,3
775p38bmz,Small,Yes,Yes,Yes,Yes,1,2
BdXvbGQj6,Medium,No,Yes,No,No,1,2
sdZoC5kmo,Large,No,No,No,No,1,3
Yv2CXGJhG,Small,No,No,No,No,2,2
hWH7kZONO,Medium,No,No,No,No,2,3
R3sa7WVS4,Medium,Yes,No,Yes,Yes,1,2
UejIQQACM,Large,Yes,No,Yes,Yes,1,2
