location_country,location_region,location_city,total_visitors,total_sessions
United States,,,56,57
United States,California,Los Angeles,24,31
United States,Washington,Seattle,19,20
United States,Illinois,Chicago,15,17
United States,Florida,Orlando,9,16
Australia,New South Wales,Sydney,12,16
United States,New York,New York,13,16
United States,Virginia,Ashburn,16,16
United States,Ohio,Columbus,15,15
United States,Arizona,Phoenix,14,14
Canada,Ontario,Toronto,13,13
United States,Indiana,Indianapolis,10,13
United States,Missouri,St Louis,10,12
United States,California,San Diego,6,10
United States,New York,Brooklyn,10,10
United States,Texas,San Antonio,7,10
United States,Florida,Miami,9,9
United States,Oregon,Boardman,9,9
Australia,Victoria,Melbourne,8,9
United States,Texas,Dallas,7,9
United States,Minnesota,Minneapolis,9,9
United States,California,Sacramento,8,9
United States,Ohio,Celina,2,8
United States,Wisconsin,Verona,3,8
United States,Wisconsin,Madison,4,8
United States,Colorado,Denver,8,8
United States,Nevada,Las Vegas,8,8
United States,Texas,Houston,7,8
Canada,Quebec,Montreal,7,8
United States,Pennsylvania,Philadelphia,6,7
Canada,Ontario,Kincardine,1,7
United States,California,San Francisco,7,7
Canada,Manitoba,Winnipeg,7,7
United States,Florida,Tampa,7,7
United States,Georgia,Atlanta,7,7
United States,Nebraska,,6,7
Singapore,,,7,7
United States,Alabama,Birmingham,6,6
United States,Minnesota,Lamberton,5,6
United States,Illinois,,6,6
United States,Oregon,Portland,4,6
United States,District of Columbia,Washington,6,6
United States,Vermont,Shelburne,1,6
United States,Texas,Fort Worth,5,6
United States,Texas,,5,6
Canada,Alberta,Edmonton,6,6
Russia,Moscow,Moscow,5,5
United Kingdom,,,5,5
United States,Michigan,Lansing,1,5
United States,Pennsylvania,Pittsburgh,4,5
India,Haryana,Gurgaon,2,5
United States,New York,Yonkers,4,5
Canada,Saskatchewan,Saskatoon,4,5
United States,North Dakota,Fargo,3,5
United States,California,Roseville,3,5
United States,North Carolina,Charlotte,5,5
United States,Utah,Salt Lake City,5,5
United States,Florida,Jacksonville,5,5
United States,Tennessee,Nashville,5,5
United States,Oregon,Medford,4,5
Canada,Alberta,Calgary,5,5
United Kingdom,England,Leeds,5,5
Netherlands,North Holland,Amsterdam,5,5
India,National Capital Territory of Delhi,Delhi,5,5
Australia,Queensland,Brisbane,3,4
United States,Wisconsin,Milwaukee,3,4
United States,California,Long Beach,2,4
United States,Ohio,Cleveland,4,4
United States,Georgia,,4,4
United States,Oregon,Halfway,1,4
Canada,Ontario,Windsor,4,4
United States,Tennessee,,3,4
United States,Iowa,Council Bluffs,4,4
United States,Colorado,Colorado Springs,4,4
Russia,St.-Petersburg,St Petersburg,3,4
United States,California,Santa Rosa,2,4
United States,Michigan,Ann Arbor,4,4
United States,Oklahoma,Oklahoma City,4,4
United States,California,Riverside,3,4
United States,Kentucky,Hazard,1,4
United States,New York,Buffalo,4,4
United States,Wisconsin,Appleton,1,4
United States,Pennsylvania,Pittston,2,4
United States,North Carolina,Durham,1,4
United States,South Carolina,North Charleston,4,4
United States,South Carolina,Greer,2,4
United States,California,Oakland,3,4
United States,Illinois,Mount Prospect,2,3
United States,Illinois,Naperville,1,3
Finland,Uusimaa,Helsinki,3,3
United States,Massachusetts,Malden,1,3
United States,Massachusetts,Hingham,3,3
United States,Arizona,Scottsdale,3,3
Gibraltar,,,3,3
United States,Pennsylvania,Coraopolis,1,3
United States,Wisconsin,Alma,1,3
United States,Pennsylvania,Stroudsburg,2,3
United States,Pennsylvania,Punxsutawney,2,3
United States,Louisiana,New Orleans,3,3
United States,New York,Clifton Park,2,3
United States,Indiana,Zionsville,2,3
Canada,Ontario,Hamilton,3,3
United States,Virginia,Herndon,2,3
United States,Nebraska,Omaha,3,3
United States,New Hampshire,Newbury,1,3
Canada,Ontario,Listowel,2,3
United States,Georgia,Cumming,3,3
Germany,Bavaria,Munich,3,3
United States,Ohio,Cincinnati,3,3
United States,Missouri,,2,3
United States,Michigan,Detroit,3,3
United States,Utah,,3,3
United States,Utah,Ogden,1,3
Germany,,,3,3
United States,Ohio,Kent,2,3
Canada,British Columbia,Vancouver,2,3
Canada,British Columbia,Surrey,2,3
United States,West Virginia,Berkeley Springs,1,3
